,ID,text,tag_tamara,tag_katja,comments_tamara,comments_katja,flagged_tamara,flagged_katja,chair,final_tag
10,ParlaMint-SI_2016-07-11-SDZ7-Redna-21.u2,"Spoštovani poslanke in poslanci! Aprila tega leta je prišlo do pozebe do vremenskega pojava, kakršen ni bil prisoten zadnjih 60 let v državni Sloveniji. Na ministrstvu in na Vladi, skupaj z nevladnimi organizacijami smo pripravili predlog, osnutek interventnega zakona, ki z štirimi ukrepi pomaga tako kmetijam kakor kmetijskim gospodarstvom. Ker je treba z izvajanjem prvega ukrepa začeti že avgusta, vas prosim, da sprejmete širitev dnevnega reda. Hvala.",P_Neutral,P_Neutral,A request for something. ,"Speaker calls for action and acceptance of the expansion of the agenda. Gives a statement rather than position, not exactly filled with sentiment. But I can see that it could also be interpreted differently.",,True,False,
11,ParlaMint-SI_2014-11-17-SDZ7-Redna-02.u313,"Hvala lepa. Besedo ima ministrica za delo, družino, socialne zadeve in enake možnosti dr. Anja Kopač Mrak.",P_Neutral,P_Neutral,Procedural ,,,,True,
12,ParlaMint-SI_2021-11-18-SDZ8-Redna-27.u180,Hvala lepa. Še? Andreja Zabret v imenu poslanske skupine.,P_Neutral,P_Neutral,Procedural,,,,True,
13,ParlaMint-SI_2004-03-25-SDZ3-Redna-35.u233,"Hvala lepa, gospod predsedujoči. Ta program - kako se mu že reče -, odlok o sprejemu strategije prostorskega razvoja Slovenije je pravzaprav nek predvolilni kampanjski program, ki bi ga lahko podpisal tudi Spielberg. Dejstvo je, da gre za precej brezkonceptno pisanje, ki pa je polno zvenečih in pametnih besed, besedi, besedičenja in podobnih zadev. Žal glede na poslovnik ne moremo do potankosti pregledati vse problematike, ki je tukaj navedena, ampak pojdimo kar vsaj k nekaterim. Govori se o skladnem razvoju. Kakšnem skladnem razvoju? Še vedno se uporabljajo pesticidi, insekticidi in gnojila brez kakršnegakoli omejevanja. Nivo talnice pada - ministrstvo miži. Nič se ne naredi, vse skupaj je brez koncepta in ko se o usmeritvah za ohranjanje arhitekturne prepoznavnosti po drugi strani Združena lista socialnih demokratov gradi islamski center v Ljubljani oziroma ga bo v kratkem zgradila, v kratkem bomo dobili še 13 do 14 drugih po Sloveniji. Po drugi strani pa smo priče prepovedi gradnje rimoskokatoliške cerkve v Velenju, ravno tako s strani Združene liste socialnih demokratov. Kje je tukaj ohranjanje arhitekturne prepoznavnosti? Morda pri tem, da bomo dobili celo vrsto minaretov v Sloveniji? Ne vem, zelo čudno. Ko gremo naprej in govorimo o železniškem omrežju, nikjer ni videti, da bi ministrstvo sploh vedelo, kaj se dogaja s petim in desetim panevropskim koridorjem. Že zdavnaj je znano, da je ministrstvo za promet in zveze pravzaprav ""zašuštralo"" skorajda oba koridorja. Tukaj notri še vedno nekaj pišemo o nekakšnih povezavah, ne vem s čim vse. In naprej, ko se govori o letališčih in heliportih se je treba zavedati, da ima Slovenija zelo razvito infrastrukturo letališč, vendar nič ne vemo, kaj bi delali z njimi, tako da je ureditev na tem področju na Hrvaškem, ki ne bo vstopila v Evropo zdaj s 1. majem, bistveno boljša, bistveno bolj liberalna in bistveno bolj okoljsko naravnana. Pri nas se gremo zopet neka modrovanja - ne vem česa vsega tukaj. Govori se o kolesarskem omrežju, spominja me na čase, ko so bili v parlamentu še Zeleni in ko je Leo Šešerko v imenu Zelenih to imel kot eno od glavnih potez in glavnih alternativ. Kolesarske poti po vsej Sloveniji - dodatno asfaltiranje slovenske krajine. In potem, ko se govori o omrežju pešpoti, to se pravi, bomo asfaltirali tudi pešpoti. Dajmo, izgladimo pešpot in usekajmo še za stolpe, na katere bomo obesili žičnico, ki bo šla na Triglav. Naprej, imamo celo vrsto nesmislov, ki jim bi težko našel primerov. Govori se o oskrbi z vodo. Govori se, kaj je treba narediti, kaj bomo naredili, kaj naj bi naredili, kaj bi radi naredili; nič pa ne bomo naredili. Gospodje, to je predvolilni program, ki naj bi lepo izgledal, vendar niti ene konkretne rešitve ni tukaj notri. Niti ene same!. Niti enega stavka ni, ki bi rekel, kakšna nevarnost okuženja oziroma onesnaženja s pesticidi v Sloveniji je - ne, da nam grozi, ampak je. Ničesar. Ko govorimo o radioaktivnih odpadkih, mislim, da ni noben problem vedeti, kakšni so, kako se delijo na nizko, srednje in visokoradioaktivne. Niti ne piše, koliko jih imamo, niti kam naj bi jih dali, niti kako. Verjetno je pa že vsem znano, da smo Hrvatom že pokleknili in rekli, saj bomo mi spravili tudi vaše radioaktivne odpadke. Nič se ni storilo! Po drugi strani pa imamo ideje in želje oziroma že skoraj dirigirane želje, da naj bi se na Krasu, na Vremščici, na Čebulovici in na Selivcu gradile vetrne električne centrale. Če je gospod Drnovšek španskemu kralju obljubil, da bo špansko podjetje gradilo in postavljalo te vetrnice in da bodo nekatera LDS-ovska podjetja pri tem krasno služila, naj to izvaja sam ali pa naj obljublja komu drugemu. Ne pa, da bomo uničevali najlepši predel, enega od najlepših predelov Slovenije, to se pravi Kras. Kje so tukaj načrti o prihodnjem razvoju Krasa? Jih ni. In namesto da bi ministrstvo pripravilo koncept, kako zmanjšati potrošnjo električne energije, so pripravljeni, verjetno za dobrobit nekaterih, postavljati nove vire. Biotska raznovrstnost v Sloveniji je ena od zadev, s katero se lahko pohvalimo. Vendar, kako dolgo še? Verjetno ne več dolgo. In tisto, kar nam Evropa zavida, bomo kmalu uničili sami. Ali je že kdo naredil na ministrstvu kakšen program o rešitvi Ljubljanskega barja? Nič! Po dolgem in po širokem se postavljajo črne gradnje in nihče nič ne stori. Nobenega koncepta ni pri gradnji objektov v Sloveniji. Pojdite pogledat Slovenijo iz letala - kot sračje gnezdo, razmetano po dolgem in počez. Kjer ima kdo kakšnega prijatelja na občini, da dobi dovoljenje, da bo lahko tam gradil. Grozljivo in strašljivo. Skratka, žalostno. Žalostno. In take žalosti, takega fantazijskega projekta, pri katerem je gospodu Spielbergu verjetno pomagal tudi George Lucas - tega zagotovo ne bomo podprli.",Negative,Negative,"Very clear negative, spiteful sentiment. ",Hahahahahahaha,,,False,
14,ParlaMint-SI_2003-07-14-SDZ3-Redna-28.u183,Gospod Pukšič.,P_Neutral,P_Neutral,Procedural? Nothing to judge.,,,,True,
15,ParlaMint-SI_2002-11-25-SDZ3-Redna-20.u58,"Hvala lepa. Dopolnilno vprašanje, kolega Janša. Se lahko izklopite, gospod predsednik vlade? Hvala.",P_Neutral,N_Neutral,Procedural. ,,,,True,
16,ParlaMint-SI_2001-05-24-SDZ3-Redna-06.u19,"Hvala lepa. Želi razpravljati predstavnik še katere druge poslanske skupine? Ker ne želi, dajem besedo poslankam in poslancem. Besedo ima poslanec dr. Bajuk [[vaša razprava je omejena na pet minut, glede na to, da se niste prijavili]] .",P_Neutral,N_Neutral,Procedural,,,True,True,
17,ParlaMint-SI_2002-12-18-SDZ3-Redna-21.u153,"Hvala. S tem bi smatral, da je razprava pri tej točki zaključena, izčrpana. Ker bomo čez nekaj časa začeli naslednjo točko, ki je povsem identična, samo da gre za leto 2003, bomo lahko še marsikaj slišali in tudi povedali, zato bi sklenil to razpravo. O predlogu odloka oziroma soglasja k temu programu bomo glasovali v okviru skupnega glasovanja po končani 14. točki dnevnega reda. Zato sedaj to točko dnevnega reda prekinjam. Ob 17.30 nadaljujemo s predlogom odloka o letnem planu razvoja in vzdrževanja avtocest za leto 2003 [[točka 14 dnevnega reda]] . Hvala lepa za sodelovanje do sedaj.",P_Neutral,P_Neutral,Procedural,,,,True,
18,ParlaMint-SI_2011-05-04-SDZ5-Redna-27.u118,"Hvala lepa za besedo, gospod predsednik. Sam se redko vključujem v razprave pri kadrovskih odločitvah Državnega zbora. Tokrat sem se pa odločil tudi s tega vidika, glede na to, kakšen odnos kaže Državni zbor do pozitivnih selekcij, pozitivnih imenovanj ljudi, in kakšno sporočilo daje Državni zbor ljudem, ki bodo se vključevali v nadaljnje kandidature odgovornih državnih funkcij. Če tako z lahkoto prezremo vso strokovnost, če tako z lahkoto prezremo vso karierno pot posameznika, ki se je dokazal v svojem strokovnem področju tako s teoretičnim kot s praktičnim delom, če lahko slišimo iz različnih koncev mnenja, ki govorijo o korektnosti, strokovnosti in poštenosti kandidata, potem v Državnem zboru zelo z lahkoto najdemo razloge, da takšnim ljudem, našim, slovenskim ljudem, v slovenski družbi, ki se zavzema za to, da naj temelji na znanju, da naj bo mednarodno konkurenčna, damo jasno vedeti, da bomo hitro našli razlog za to, da bomo takšnim ljudem postavili pod vprašaj njihove moralne norme, njihove etične norme, njihovo – na osnovi tega lahko sklepam – tudi pristranost v tistih pomembnih državnih organih, za katere si vsi želimo, da bi obravnavali ljudi neodvisno od katere koli njihove značilnosti, če začnemo tudi od članstva ali nečlanstva v kateri politični skupini, v katerem koli društvu ali v kateri koli drugačni interesni skupini. Torej želimo si pravno državo, želimo si na teh ključnih pomembnih funkcijah ljudi, katerim gre zaupati. Sam si želim, da imamo tukaj srečno roko pri izbiri. Gospoda Fišerja jemljem skozi vse gradivo, ki ga je bilo mogoče pregledati, skozi vso razpravo, ki jo je bilo mogoče slediti in tudi skozi njegovo držo na Komisiji za mandatno-volilne zadeve, ki je jasno predstavil svoja stališča tudi do tistih dogodkov, v katerih je bil sam v preteklosti udeležen in je do njih zavzel kritično distanco. Zato si želim, da smo do takšnih ljudi izredno pazljivi, kajti ob tem, ko govorimo o tem posamezniku gospodu Fišerju, govorimo pravzaprav o vseh ljudeh, kakšen odnos imamo do njih. Meni se zdi, da bi Državni zbor moral pokazati veliko več zaupanja, veliko več odgovornosti in verovanja v te ljudi, da bodo na funkciji, ki jo bodo opravljali, deležni širokega, najširšega, po možnosti absolutnega zaupanja ljudi, ki bodo zelo lahko povezani z ukrepi tega organa, katerega bo kot generalni državni tožilec, recimo, gospod Fišer lahko prevzel. Upam, da bo Državni zbor večinsko odločil v njegovo podporo in seveda z željo, da bo državno tožilstvo z njegovim vodenjem opravljalo to nalogo, ki gre v zadovoljstvo, v zaupanje v pravno državo in objektivnost postopkov, če in ko bodo vodeni. Hvala lepa.",M_Positive,M_Positive,"In the first part some negative part - očitanje, but explicitly expressed support for change and the candidate. ","First part negative, second part goes into positive (very last part). But could also be Negative",,True,False,
19,ParlaMint-SI_2006-05-03-SDZ4-Redna-16.u128,"Najlepša hvala, gospod predsednik. Jaz obžalujem, da tu na moji levi ni naših kolegov, ki so se odločili, da dvorano zapustijo. Sicer to ne prispeva k kvalitetni razpravi in iskanju boljših rešitev, ampak to je njihova odločitev. Prepričan sem, da bo še mnogo priložnosti, da o prometu govorimo. Pred nami so sprejemi izvedbenih programov, nacionalnih programov in upam, da takrat bodo pripravljeni bolj aktivno sodelovati. Jaz bi mogoče okrog te pripombe, da je ta program presplošen, preveč načelen, premalo natančen, pokazal dva primera, ki kažeta na to, da mogoče ni res vse tako, kot nekateri hočejo prikazati. Tukaj je bilo malo prej povedano ali pa nekaj prej povedano, da je evropska politika bila sprejeta leta 2000 in da velja do leta 2010 in da v letu 2006 praktično že rahlo zastarela in da bo zaradi tega prišlo do razprave o nekih spremembah. In seveda spremembe bodo verjetno večje ali manjše in jaz sem prepričan, da ta naš dokument v primeru nekih normalnih sprememb je dovolj okvirno ohlapen, da ga ne bo potrebno spreminjati, da bomo te spremembe lahko spremenili ali spremljali skozi te izvedbene programe. In to je prednost tega dokumenta, saj pravim, dovolj velika fleksibilnost v današnjem svetu, ki se tako hitro spreminja. Druga pripomba, ki je bila tudi podana konkretno od našega kolega, je ta, da je v pomorstvu pomanjkljivo obdelan, hkrati pa v oči bode razkorak med teorijo in prakso. In v praksi se potem navaja zamenjava članov nadzornega sveta in sto direktorjev luke, povečanje števila članov uprave, zamenjava direktorja pomorskega direktorata in tako naprej. Jaz vse to razumem, da je potem želja po konkretizaciji tega programa to, da bomo napisali, kdo bo direktor luke, kdo bo v nadzornem svetu in kdo bo direktor direktorata in tako naprej. Jaz mislim, da v tak program v nobenem primeru ne spada. In še tretje, da ni bilo na področju prometa prometne politike doslej nič narejenega, da zaradi tega nastaja škoda in tako naprej. Jaz se s tem absolutno ne morem strinjati, to sicer izpade tako, kot da se je prometno ministrstvo ves ta čas ukvarjalo samo s pripravo dokumenta o resoluciji v prometni politiki, da na drugih področjih ni bilo nič storjenega. Jaz bom samo spomnil na to, ker toliko govorimo o tem drugem tiru, ta vlada je sprejela lokacijski načrt za drugi tir. Ta vlada in to je pomemben korak k temu naprej, da pristopimo k izgradnji. Drugo, če govorimo zopet še o tem drugem tiru, poteka projekt modernizacije obstoječega tira, ki je težak 20 in več milijard slovenskih tolarjev, ki bo omogočil, da bo v tem prehodnem obdobju, dokler ne bo izgrajen drugi tir ali celo druga proga, da bo ta obstoječi tir lahko te povišane kapacitete tudi prevzel. Če grem naprej na avtocestni program. Ta vlada, to ministrstvo si je zastavilo zelo ambiciozen avtocestni program, ga pospešilo in tudi ta avtocestni program se uspešno izvaja po terminskem načrtu tudi tam, kjer so prej bili zaostanki, govorim o Prekmurju, govorimo o Pyhrnski avtocesti in Slivnica-Gruškovje pa še več bi lahko teh odsekov naštel. Državne ceste. Državne ceste so bile popolnoma zanemarjene. Z rebalansom proračuna za lansko leto in za letošnje leto smo vsaj te luknje, ki so bile, na nek način poskušali zakrpati. Je pa res, da se v enem letu ne da popraviti to, kar se je dogajalo prej v desetih ali pa še več letih. Kar se tiče Luke Koper. Luka Koper se je znašla na evropskem zemljevidu. To, da smo prišli v projekt pomorskih avtocest, to se ni zgodilo samo. Za to je bilo potrebno vložiti precej truda. In nenazadnje naj spomnim še to, da smo v tem parlamentu pred kratkim sprejeli tudi poroštveni zakon, ki bo tudi finančno omogočil, da se bo ta projekt izgradnje avtocest tudi v teh in naslednjih letih dejansko izvajal, in to kaže na to, da se na tem področju nekaj premika, da bomo pa ostali v nekih okvirih, pa nujno potrebujemo ta dokument, ki se imenuje resolucija prometne politike, in v nadaljevanju tudi vse izvedbene akte, ki bodo temu sledili. Hvala lepa.",Negative,M_Positive,Disagreement with some things and stance of other people.,"Sentiment shifts relatively frequently, as the speaker defends the work they have done and adresses the criticisms they are facing. However, the overall tone, especially in the last part is very positive. But I can also see that this could also be purely Positive.",,True,False,
20,ParlaMint-SI_2010-11-23-SDZ5-Redna-22.u339,"Tudi meni se kdaj zgodi in še kateremu drugemu, ko daš kartico, nekoliko ne pritisneš, pa ne gori lučka.",P_Neutral,N_Neutral,Procedural,,,,True,
21,ParlaMint-SI_2012-12-17-SDZ6-Redna-09.u287,"Gospod minister, izvolite.",P_Neutral,P_Neutral,Procedural,,,,True,
22,ParlaMint-SI_2007-09-26-SDZ4-Redna-31.u310,"Hvala. Gospa Potrata, izvolite.",P_Neutral,P_Neutral,Procedural,,,,True,
23,ParlaMint-SI_2010-06-14-SDZ5-Redna-18.u213,Ustni odgovor želim.,N_Neutral,N_Neutral,"This could really be anything, but since there is nothing to go on… N_N. Based on my gut. ",Seems vaguely negative.,True,,False,
24,ParlaMint-SI_2008-05-21-SDZ4-Redna-39.u106,"Hvala lepa. No, predlagal bom, gospod minister, nekaj drugega. Prepričan sem, da to lahko uredite še vi. Ne glede na to, da gre dejansko za številne nepremičnine, je pa globalno gledano finančni učinek relativno majhen, če gledam z vidika potreb ministrstva. Moje mnenje je tudi, da je upravljanje s tem premoženjem za ministrstvo neko breme. Tudi verjetno ni naloga tega ministrstva, da bi se ukvarjalo z nekimi posli, ki so po naravi neke vrste nepremičninski posli. Glede na to, da je že 18 let preteklo, odkar se te stvari urejajo, je tudi kar nekaj škode nastalo s tem, ko to premoženje na eni strani ni operativno, na drugi strani se mu pa zmanjšuje vrednost s tem, ko propada. Iz tega razloga in zaradi tega, da bi se ta vprašanja dejansko dokončno uredila, dajem gospod minister pobudo, da ponovno preverite realnost potreb nepremičnin, s katerimi razpolaga ministrstvo in da, prvič, v primerih, ko gre za nepremičnine, ki so dolgoročno pomembne za Slovensko vojsko oziroma za potrebe države, zagotovite njihovo učinkovito upravljanje. In drugič, za vse ostale nepremičnine, ki pa so za ministrstvo nepotrebne, naj se jih v skladu z novo zakonodajo, ki omogoča prenos lokalnim skupnostim, neodplačno prenese le tem z namenom njihove adaptacije in oddaje v neprofitni najem, ko gre za stanovanja oziroma za rast razvojnega potenciala, ko gre za ostale nepremičnine. V okoljih, kjer pa lokalne skupnosti, zaradi stroškov prenove, ne bodo zainteresirane za takšne prenose, pa naj se te nepremičnine proda. Jaz mislim, gospod minister, da za to ni potrebno čakati naslednjega mandata. Prepričan sem, da ste z ustrezno organizacijo službe na ministrstvu sposobne to zadevo urediti v roku, ki ne more biti daljši od treh mesecev. Hvala lepa.",Negative,Negative,"A bit sarcastic, teasing.","Accusatory, the negative sentiment might not be very strong, but it is still negative.",True,,False,
