ID,Term,Date,utt_annotations,labels,sentiment,Speaker_party,Party_status,Party_orientation
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u135,Term 5,2008-11-07,2.45,Neutral Negative,Neutral,SLS,Coalition,Centre-right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u16,Term 5,2008-11-07,4.94,Positive,Positive,LDS,Opposition,Centre to centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u108,Term 5,2008-11-07,3.01,Neutral Positive,Neutral,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u106,Term 5,2008-11-07,4.99,Positive,Positive,LDS,Opposition,Centre to centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u73,Term 5,2008-11-07,3.34,Neutral Positive,Neutral,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u104,Term 5,2008-11-07,3.46,Neutral Positive,Neutral,DeSUS,Coalition,Centre to centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u100,Term 5,2008-11-07,2.14,Neutral Negative,Neutral,SDS,Coalition,Right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u98,Term 5,2008-11-07,3.06,Neutral Positive,Neutral,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u96,Term 5,2008-11-07,3.02,Neutral Positive,Neutral,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u93,Term 5,2008-11-07,1.85,Neutral Negative,Neutral,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u91,Term 5,2008-11-07,4.94,Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u89,Term 5,2008-11-07,4.8,Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u87,Term 5,2008-11-07,0.0,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u85,Term 5,2008-11-07,4.14,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u83,Term 5,2008-11-07,3.76,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u81,Term 5,2008-11-07,1.39,Mixed Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u79,Term 5,2008-11-07,1.41,Mixed Negative,Negative,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u77,Term 5,2008-11-07,0.29,Negative,Negative,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u102,Term 5,2008-11-07,3.13,Neutral Positive,Neutral,Zares,,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u14,Term 5,2008-11-07,3.12,Neutral Positive,Neutral,SLS,Coalition,Centre-right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u133,Term 5,2008-11-07,0.35,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u10,Term 5,2008-11-07,4.93,Positive,Positive,DeSUS,Coalition,Centre to centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u12,Term 5,2008-11-07,0.38,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u131,Term 5,2008-11-07,3.59,Mixed Positive,Positive,,,
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u159,Term 5,2008-11-07,3.77,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u157,Term 5,2008-11-07,0.04,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u155,Term 5,2008-11-07,2.76,Neutral Positive,Neutral,,,
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u151,Term 5,2008-11-07,2.11,Neutral Negative,Neutral,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u149,Term 5,2008-11-07,4.95,Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u147,Term 5,2008-11-07,4.3,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u153,Term 5,2008-11-07,2.83,Neutral Positive,Neutral,,,
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u143,Term 5,2008-11-07,3.81,Mixed Positive,Positive,Zares,,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u141,Term 5,2008-11-07,2.42,Neutral Negative,Neutral,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u139,Term 5,2008-11-07,3.34,Neutral Positive,Neutral,LDS,Opposition,Centre to centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u8,Term 5,2008-11-07,4.83,Positive,Positive,Zares,,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u137,Term 5,2008-11-07,0.0,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u2,Term 5,2008-11-07,4.03,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u4,Term 5,2008-11-07,4.86,Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u6,Term 5,2008-11-07,0.0,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-07-SDZ5-Izredna-01.ana.u145,Term 5,2008-11-07,0.08,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u60,Term 5,2008-11-11,0.17,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u58,Term 5,2008-11-11,0.86,Mixed Negative,Negative,Zares,,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u50,Term 5,2008-11-11,0.41,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u54,Term 5,2008-11-11,0.76,Mixed Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u52,Term 5,2008-11-11,0.23,Negative,Negative,,,
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u62,Term 5,2008-11-11,0.0,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u56,Term 5,2008-11-11,1.8,Neutral Negative,Neutral,,,
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u64,Term 5,2008-11-11,2.1,Neutral Negative,Neutral,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u82,Term 5,2008-11-11,2.66,Neutral Positive,Neutral,SDS,Coalition,Right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u68,Term 5,2008-11-11,0.0,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u70,Term 5,2008-11-11,2.83,Neutral Positive,Neutral,SDS,Coalition,Right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u72,Term 5,2008-11-11,2.76,Neutral Positive,Neutral,SDS,Coalition,Right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u74,Term 5,2008-11-11,1.52,Neutral Negative,Neutral,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u76,Term 5,2008-11-11,0.4,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u78,Term 5,2008-11-11,2.33,Neutral Negative,Neutral,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u80,Term 5,2008-11-11,2.42,Neutral Negative,Neutral,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u48,Term 5,2008-11-11,0.12,Negative,Negative,,,
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u66,Term 5,2008-11-11,0.04,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u46,Term 5,2008-11-11,3.92,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u26,Term 5,2008-11-11,0.0,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u42,Term 5,2008-11-11,1.69,Neutral Negative,Neutral,SDS,Coalition,Right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u4,Term 5,2008-11-11,4.53,Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u6,Term 5,2008-11-11,5.0,Positive,Positive,Zares,,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u8,Term 5,2008-11-11,4.96,Positive,Positive,DeSUS,Coalition,Centre to centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u10,Term 5,2008-11-11,3.88,Mixed Positive,Positive,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u12,Term 5,2008-11-11,4.21,Mixed Positive,Positive,SLS,Coalition,Centre-right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u14,Term 5,2008-11-11,4.01,Mixed Positive,Positive,LDS,Opposition,Centre to centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u16,Term 5,2008-11-11,0.16,Negative,Negative,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u18,Term 5,2008-11-11,2.02,Neutral Negative,Neutral,SDS,Coalition,Right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u44,Term 5,2008-11-11,0.97,Mixed Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u20,Term 5,2008-11-11,2.07,Neutral Negative,Neutral,,,
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u24,Term 5,2008-11-11,2.38,Neutral Negative,Neutral,DeSUS,Coalition,Centre to centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u28,Term 5,2008-11-11,4.02,Mixed Positive,Positive,SLS,Coalition,Centre-right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u30,Term 5,2008-11-11,4.39,Mixed Positive,Positive,LDS,Opposition,Centre to centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u32,Term 5,2008-11-11,4.04,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u34,Term 5,2008-11-11,0.37,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u36,Term 5,2008-11-11,4.09,Mixed Positive,Positive,Zares,,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u38,Term 5,2008-11-11,2.67,Neutral Positive,Neutral,Zares,,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u40,Term 5,2008-11-11,0.61,Mixed Negative,Negative,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u22,Term 5,2008-11-11,2.85,Neutral Positive,Neutral,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u2,Term 5,2008-11-11,3.77,Mixed Positive,Positive,,,
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u84,Term 5,2008-11-11,3.25,Neutral Positive,Neutral,,,
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u136,Term 5,2008-11-11,0.0,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u152,Term 5,2008-11-11,1.5,Neutral Negative,Neutral,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u150,Term 5,2008-11-11,0.13,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u148,Term 5,2008-11-11,0.28,Negative,Negative,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u146,Term 5,2008-11-11,0.51,Mixed Negative,Negative,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u144,Term 5,2008-11-11,0.14,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u142,Term 5,2008-11-11,0.2,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u140,Term 5,2008-11-11,0.03,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u138,Term 5,2008-11-11,0.0,Negative,Negative,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u118,Term 5,2008-11-11,0.0,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u134,Term 5,2008-11-11,0.0,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u132,Term 5,2008-11-11,0.09,Negative,Negative,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u130,Term 5,2008-11-11,0.0,Negative,Negative,SDS,Coalition,Right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u128,Term 5,2008-11-11,0.0,Negative,Negative,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u126,Term 5,2008-11-11,1.16,Mixed Negative,Negative,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u124,Term 5,2008-11-11,0.45,Negative,Negative,SLS,Coalition,Centre-right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u122,Term 5,2008-11-11,0.12,Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u120,Term 5,2008-11-11,4.25,Mixed Positive,Positive,DeSUS,Coalition,Centre to centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u98,Term 5,2008-11-11,3.89,Mixed Positive,Positive,SLS,Coalition,Centre-right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u96,Term 5,2008-11-11,0.64,Mixed Negative,Negative,SNS,Opposition,Right to far-right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u94,Term 5,2008-11-11,2.52,Neutral Positive,Neutral,SDS,Coalition,Right
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u92,Term 5,2008-11-11,4.32,Mixed Positive,Positive,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u90,Term 5,2008-11-11,2.68,Neutral Positive,Neutral,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u88,Term 5,2008-11-11,2.14,Neutral Negative,Neutral,SD,Opposition,Centre-left
ParlaMint-SI_2008-11-11-SDZ5-Izredna-01.ana.u100,Term 5,2008-11-11,4.99,Positive,Positive,LDS,Opposition,Centre to centre-left
