ID,Text
ParlaMint-SI_2009-05-19-SDZ5-Redna-06.u185,"Hvala za besedo. Lepo pozdravljeni! Poslanski klub LDS bo novelo zakona o finančnem poslovanju, postopkih zaradi insolventnosti in prisilnem prenehanju podprl, ker prinaša kar nekaj sprememb: uskladitev s stališči, izraženimi v odločbi Ustavnega sodišča, in opozorilo informacijske pooblaščenke glede varstva osebnih podatkov in zagotavljanja sorazmernosti zakonskega posega v pravico do varstva osebnih podatkov insolventnih dolžnikov; zagotovitev ustrezne pravne podlage za posredovanje podatkov o postopkih zaradi insolventnosti v informacijski obliki; zagotovitev učinkovitejšega vodenja postopkov zaradi insolventnosti; uskladitev z ureditvijo v zakonu o spremembah in dopolnitvah zakona o pravdnem postopku; ureditev možnosti vložitve presoje za začetek osebnega stečaja na zapisnik pri sodišču ter spremembe, ki so potrebne zaradi jasnejšega in redakcijskega, dosledne pravne ureditve. Na sami seji Odbora za notranjo politiko, javno upravo in pravosodje je odbor obravnaval in sprejel nekaj amandmajev, ki so nastali na podlagi usklajevanja z Zakonodajno-pravno službo Državnega zbora, in osnovni tekst novele zakona še tako izboljšal. Na podlagi navedenih ugotovitev in dejstev, da za drugo obravnavo na seji Državnega zbora niso bili vloženi amandmaji, bomo v Poslanskem klubu LDS predlog novele zakona podprli. Hvala."
ParlaMint-SI_2002-02-15-SDZ3-Izredna-14.u2,"Zdaj bomo pa tretjič poskusili z ugotavljanjem sklepčnosti. Ali vas lahko prosim, da tisti, ki ste v bližini dvorane, da se nam pridružite? Gospe in gospodje! Ugotavljamo prisotnost v dvorani tretjič. ""Kvorum"". Ugotavljam, da je navzočih 49 poslank in poslancev. Zbor je sklepčen in lahko odloča. Na današnje nadaljevanje seje so vabljeni predstavniki Vlade Republike Slovenije in jih lepo pozdravljam. Današnje nadaljevanje 14. izredne seje državnega zbora bomo pričeli z obravnavo PREKINJENE 9. TOČKE DNEVNEGA REDA, TO JE PREDLOG ZAKONA O SPREMEMBAH ZAKONA O ZAGOTOVITVI NAMENSKIH SREDSTEV ZA GRADITEV DRŽAVNIH CEST, DOLOČENIH V NACIONALNEM PROGRAMU IZGRADNJE AVTOCEST V REPUBLIKI SLOVENIJI. Zatem bomo prešli na obravnavo predlogov zakonov o ratifikacijah mednarodnih pogodb ter na obravnavo drugih točk po vrstnem redu, tako kot so zapisane. Smo v drugi obravnavi. Zboru predlagam, da skladno z zadnjo alineo 189. člena poslovnika razpravlja in glasuje o vseh členih zakona skupaj. Predlagani sklep ne bo sprejet, če mu bo nasprotovala najmanj ena tretjina navzočih poslancev. Torej glasujemo o tem proceduralnem sklepu. Glasujmo prosim! Od 48 prisotnih je za glasovalo 37 poslank in poslancev. 6 jih je bilo proti. [[Za je glasovalo 37.]] [[Proti 6.]] Ugotavljam, da je sklep sprejet. Prehajamo na razpravo o vseh členih zakona. Želi kdo besedo? [[Nihče.]] Ker ne želi nihče razpravljati, lahko preidemo na odločanje o vseh členih skupaj. Torej glasovali bomo o vseh členih zakona skupaj. Glasujmo, prosim! 44 nas je v dvorani. Jaz vas prosim, če lahko poskrbimo za to [[...]]Ker nas je ravno toliko, da lahko delujemo. Glasujmo o vseh členih skupaj, drugič. Glasujmo prosim! Ugotavljam, da nas je samo 44. Torej nismo sklepčni. Odrejam 10 minut odmora. Nadaljujemo ob 10.44."
ParlaMint-SI_2016-03-04-SDZ7-Redna-16.u135,"Hvala za besedo, predsedujoči. Dopoldne so me klicali z enega radia, ki ga imajo nekateri v ustih, pa ga ne bom omenjal, da ne bodo tvitali med sejo takoj. In sem rekel, glejte, glede okoljske in ekološke problematike v sestavi sedanjega parlamenta je senzibilnost, je to področje, s katerim se žal ukvarjata zgolj Združena levica in Poslanska skupina nepovezanih poslancev. Malo sem takrat prejudiciral, ampak če bi šli zdaj gledat magnetogram, bi to ugotovili. Povedal sem tudi, da je stanje in senzibilnost glede tega slabša, kot je bila tam sredi devetdesetih let. Žal je temu tako. Zdaj me začudeno gledate, lahko grem tudi kakšne magnetograme ven vleči, pa vam bom to dokazoval, glede na vaša izjavljanja tipa, recimo, nek gospod poslanec, ki je sedaj sicer odstoten, reče, ""ja, naši kmetje ne morejo tekmovati z ameriškimi, ker ne futramo goveda z rasnimi hormoni"" in tako naprej. Zdaj se bom pa vrnil k samemu zakonu, Violeta je že nekako povedala. Združena levica ima povezave z večino, v bistvu z vsemi civilnodružbenimi akterji, ki delujejo na tem področju. Ni to nekaj, da mi zdaj iz inata hočemo delati. S celo vrsto ljudi, ki se v tej državi trudi s to problematiko tudi na znanstvenoraziskovalnem področju. Gospod Zorčič je rekel, ja, tako ali tako. Ampak kolega Zorčič, mogoče se pa v osmih ali pa desetih letih izkaže, da je še kaj strupeno. Mogoče pridemo do kakšnih novih spoznanj, mogoče bi bilo dobro že zaradi tega to narediti. Sočasno skozi to možno vrzel in skozi takšno ureditev se izločajo ti številni ljudje, ki sem vam jih prej omenil oziroma se jim otežuje sodelovanje v teh procesih. Sploh da ne pridem do nekih teh zgodb. Vi rečete, letos je Schlagwort administrativne ovire. To je upravičena administrativna ovira. A veste, to je isto, kot piti metanol ali etanol. Dajmo potem odpraviti administrativno oviro, pa bomo zbrisali nalepko, pa ne bomo vedeli, ali je eno ali je drugo. Če boste pili napačno, boste slepi, kot je ekološko in okoljsko slepa večina v tem parlamentu. Mi bomo glasovali proti tovrstnemu zniževanju okoljskih standardov. Hvala za besedo."
ParlaMint-SI_2018-03-19-SDZ7-Redna-39.u216,"Hvala lepa za besedo, gospod podpredsednik. Hvala za vprašanje. Zagotovo se strinjava tudi s spoštovanim gospodom poslancem, da je problematika prenesenih deviznih vlog nasledstveno vprašanje, ki ga je treba reševati v skladu s Sporazumom o vprašanjih nasledstva in memorandumom o soglasju, ki je bil sklenjen v letu 2013. Slovenija si je ves čas aktivno prizadevala za rešitev tega vprašanja, vendar žal dogovora med državama naslednicama v vseh letih od podpisa Sporazuma o vprašanjih nasledstva ni bilo mogoče doseči. Omenila sem že memorandum o soglasju, na podlagi katerega se je Hrvaška zavezala, da bo do končne rešitve prenesenih deviznih vlog zagotovila ustavitev vseh sodnih postopkov pred hrvaškimi sodišči v zvezi s prenesenimi deviznimi vlogami, vendar žal te svoje mednarodne zaveze ne spoštuje. In upoštevaje to situacijo je vlada v mesecu februarju ponovno potrdila svoje dosedanje stališče, da tovrstne sodbe v Sloveniji nimajo pravne podlage, so nasprotne slovenskemu pravnemu redu in mednarodnim pogodbam, ki jih je Slovenija sklenila; in tako ne morejo biti predmet izvršbe. Seveda pa lahko na ta način vplivamo samo na dogajanje v Sloveniji, medtem ko je treba v primeru, če pride do izvršbe v drugih državah, ukrepati na drugačne načine. In ravno v tem času tečejo zelo intenzivni pogovori na strokovni in politični ravni, ki bi zagotovili, da do tovrstnih dogodkov, ki niso skladni s slovenskim pravnim redom, ne bi več prihajalo. Poti je več, treba je izbrati tisto, ki bo dala hiter in konkreten rezultat. Hvala lepa."
ParlaMint-SI_2018-12-21-SDZ8-Izredna-18.u6,"Spoštovani predsednik, spoštovane poslanke, spoštovani poslanci! Danes bomo odločali o odloku o spremembah Odloka o okviru za pripravo proračunov sektorja država za obdobje 2018–2020, ki ga je potrdil Odbor za finance 17. 12. 2018. Sprememba se nanaša le na leto 2019 in temelji na fiskalnih projekcijah na podlagi realizacije v tekočem letu, zadnjih napovedih Urada za makroekonomske analize in razvoj, Zakona o spremembah in dopolnitvah Zakona o izvrševanju proračunov za leti 2018 in 2019 ter drugih sprejetih ukrepih ter obveznostih. Na spremembo zgornjih mej odhodkov posamezne blagajne pomembno vpliva tudi dejstvo, da so letošnje napovedi gospodarskih gibanj ugodnejše, kot so bila pričakovanja ob pripravi trenutno obstoječega okvira. Dovolite, da vam na kratko podam nekaj ključnih poudarkov. V državnem proračunu bodo prihodki v letu 2018 za 2,6 oziroma 495,0 višji kot leta 2017. Zvišanje zgornje meje odhodkov državnega proračuna z 9,6 milijarde na 10 milijard 160 milijonov evrov je predvsem posledica upoštevanja novosprejetih ukrepov z veljavnostjo v letu 2019. Zvišanje najvišjega obsega izdatkov za občinski proračun je posledica zvišanje prihodkov občin, in sicer iz naslova dohodnine, finančne izravnave ter prejetih sredstev iz proračuna Evropske unije. Na podlagi realizacije odhodkov pokojninske blagajne v obdobju januar–oktober 2018, nove ocene odhodkov za leto 2018 ter nove ocene rasti uživalcev pravic iz obveznega pokojninskega in invalidskega zavarovanja za leto 2017 bo višina odhodkov ZPIZ za izvajanje obveznega pokojninskega in invalidskega zavarovanja v višini 5,53 milijarde evrov, a so načrtovani skupni prihodki v letu 2018 za 219 milijonov evrov višji v primerjavi z oceno realizacije 2018. Z višanjem najvišjega obsega izdatkov za zdravstveno blagajno po denarnem toku za leto 2019 z 2,94 milijarde evrov na 3,055 milijarde evrov bo lahko ZZZS za izvajanje obveznega zdravstvenega zavarovanja namenil 111 milijonov evrov več sredstev glede na trenutno veljavni najvišji obseg izdatkov za leto 2019, glede na oceno realizacije za leto 2018 pa za 173 milijonov evrov več sredstev. Presežek sektorja država je posledica pozitivnih ekonomskih trendov, znižanja obrestnih mer ter do letošnjega leta zajezenih javnih izdatkov. S spremembo zagotavljamo pozitiven nominalni saldo sektorja država, ki bo po ocenah znašal 0,45 odstotka BDP v letu 2019 in nadaljujemo skrb za vzdržnost javnih financ. Vlada Republike Slovenije bo v mandatu 2018–2022 postopno in osredotočeno na prioritetnih področjih nadaljevala s fiskalno konsolidacijo s ciljem srednjeročne uravnoteženosti kot tudi s poudarkom na zagotavljanju rasti. Glede na dosedanjo fiskalno konsolidacijo v letih 2015–2019, je ta cilj do leta 2022 realno dosegljiv in bo predstavljen v programu stabilnosti za naslednje triletno obdobje. Fiskalna konsolidacija je bila v preteklem obdobju izvedena z začasnimi namesto trajnimi sistemskimi ukrepi, zato so se izzivi prenesli v novo srednjeročno obdobje. Spoštovane poslanke, spoštovani poslanci, naša hiša stoji na trdnih temeljih. Ključno je, da imamo presežek, da nadaljujemo z javnofinančno konsolidacijo, zmanjšujemo javni dolg, kar pomeni, da smo manj zadolženi in več ustvarimo, pri tem pa nismo pozabili na ljudi, ki smo jih postavili na prvo mesto. Zdaj je pravi trenutek, da skupaj zavihamo rokave in še naprej delamo v dobro vseh državljank in državljanov. Tu ni bližnjic. Želim si, da bi bili v tako odlični formi, kot so vrhunski športniki, da bi bili polni vneme, zagona in ekipnega ter zmagovalnega duha, osredotočeni na samo en in edini cilj, to je delati dobro za državljanke in državljane, za našo skupno državo. Hvala."
ParlaMint-SI_2017-06-20-SDZ7-Redna-31.u75,"Za predstavitev stališča do predloga matičnega delovnega telesa dajem besedo predstavniku predlagatelja predloga zakona gospodu Mihi Kordišu. Izvolite, imate besedo."
ParlaMint-SI_2017-01-27-SDZ7-Redna-26.u4,"Vsem prav lep pozdrav! Spoštovani! Med ljudmi se vse bolj krepi spoznanje, da postajamo državljanke in državljani v lastni državi drugorazredni. Prvorazredni pa so tisti, ki vanjo vstopijo nelegalno. Po ugotovitvah Računskega sodišča stane mesečno vsak ilegalni migrant naše davkoplačevalce tisoč 930 evrov, zraven pa piše celo – najmanj. To se pravi, da davkoplačevalci Republike Slovenije vsak mesec za vsakega ilegalnega migranta namenijo najmanj tisoč 930 evrov. Tisti delavec, ki dela za minimalno plačo, plačuje tega migranta, kar pomeni, da so trije delavci, trije zaposlenih v podjetjih potrebni za to, da plačujejo ta luksuz, ki ga vlada namenja ilegalnim migrantom, tistim, ki kršijo zakone; na škodo lastnih državljank in državljanov. Nekdo je delal za trakom 40 let, pustil tam zdravje, pustil tam svoje življenje, prejema 500 evrov penzije; in neka stranka si to še pripenja. 500 evrov penzije, gospe in gospodje, ali pa nekateri še manj. En ilegalec, ki pride nezakonito v to državo, po zaslugi vlade in njene politike, dobi štirikrat toliko denarja. V 2. členu Ustave Republike Slovenije piše, da je Slovenija pravna in socialna država. To je očitna kršitev slovenske Ustave, gospe in gospodje. Ne samo, da je nečloveško, ampak je očitna kršitev Ustave. To s socialno državo nima več ničesar skupnega, ima pa veliko s človeško pokvarjenostjo in z ustvarjanjem pogojev, v katerih najsposobnejši, mladi odhajajo v tujino, podjetniki odhajajo v tujino; uvaža pa se ilegalne migrante, menja se volilno telo. Največji socialni eksperiment po padcu nacizma in socializma oziroma komunizma v zgodovini se odvija pred našimi očmi. Letos spomladi so nevladne organizacije opozorile, da kar 30 tisoč slovenskih otrok ne bo moglo iti na morje, pa si to želijo; ker so v revnih družinah odraščali svojo mladost in so že zato deprivilegirani. Kaj je naredila vlada? Uvozila je migrante in jih je peljala na morje, da se je slikala z njimi. Gospe in gospodje, tako se ne dela. Za vrhunec vsega ste sedaj naredili razpis za stanovanja, kjer se zahteva LED TV, usnjeni sedeži, steklokeramične plošče; tisto, kar zagotovo polovica slovenskih družin sploh nima sama doma. Kako je to mogoče, gospe in gospodje? Zanima me: S čim opravičujete politiko, da je ilegalen tujec več vreden kot lasten državljan?"
ParlaMint-SI_2019-05-28-SDZ8-Redna-08.u5,"Hvala, gospod državni sekretar. S tem, spoštovane poslanke, spoštovani poslanci, prehajamo na predstavitev stališč poslanskih skupin. Prvi imate besedo gospod Tomaž Lisec, Poslanska skupina Slovenske demokratske stranke. Izvolite."
ParlaMint-SI_2019-03-20-SDZ8-Izredna-20.u74,"Hvala lepa. Gospod Brglez, izvolite."
ParlaMint-SI_2013-11-21-SDZ6-Redna-19.u161,"Hvala lepa. Če preberemo 129. člen Zakona o dedovanju, piše: ""Republika Slovenija ali občina, iz proračuna katerega se je financirala pomoč zapustniku v skladu s predpisi o socialnem varstvu, se lahko do konca zapuščinske obravnave odpove pravici do povračila te pomoči …"" – lahko pa ne; se lahko odpove, lahko pa ne. Mi pa želimo samo eno stvar, da se odpove tej pravici, če so dediči upravičeni do socialnih pomoči. Mislim, da je to bistveno bolj predvidljiva norma, se točno ve potem, za kaj gre, kot pa ena taka splošna določba, ki ponuja diskrecijo različne interpretacije in ne nazadnje tudi različno prakso; nekdo se bo tako odločil, drugi se bo drugače odločil. Zato tudi v smislu neke bolj določene določbe predlagamo amandma in ga s tem tudi obrazložimo in ga bom osebno tudi podprl."
ParlaMint-SI_2012-07-18-SDZ6-Izredna-16.u192,Hvala lepa tudi za ta zaključek. Zdaj je pa na vrsti gospod Jožef Kavtičnik.
