id,text,timestamp_tamara,flagged_tamara,comment_tamara,tag_tamara,timestamp_katja,flagged_katja,comment_katja,tag_katja,rev_tamara,rev_katja,final_tag,disagreement6
511,Tudi v sodelovanju z Obrtno zbornico bomo morali tukaj narediti več za promocijo poklicev.,2023-04-05 20:22:17,,"No opinion, positive theme, or a goal to do something.",P_Neutral,2023-04-05 09:09:53,,"Statement, nothing inherently negative",P_Neutral,,,P_Neutral,0
512,Že v antiki so poznali pregovor: Dolores sedarum opus divinum est – bolečino lajšati je božansko delo.,2023-04-05 20:23:14,,"This could also very well be N_Neutral. Atm I feel like there is no clear opinion, but it is just a statement about a quote. Maybe lacks context.",P_Neutral,2023-04-05 09:10:39,,"Statement, factual even, nothing negative, but not enough for me to say it is positive.",P_Neutral,,,P_Neutral,0
513,"V nadaljevanju sem sejo prekinila ter pozvala Vlado, da predloži pisno stališče Vlade do ocene Fiskalnega sveta, ki smo ga potem tudi dobili.",2023-04-05 20:24:26,,She asked for something and received it. There is no indication of her opinion regarding anything and also no statement of whether it is negative or positive.,P_Neutral,2023-04-05 09:12:47,,"First part could also be interprted as slight negative and then the second as slightly positive, but it is still too neutral to use M labels (at least for me).",P_Neutral,,,P_Neutral,0
514,"Na spletišču Ministrstva za delo, družino, socialne zadeve in enake možnosti je ta področna zakonodaja predstavljena tudi v znakovnem jeziku in v zvočni obliki.",2023-04-05 20:25:13,,A statement about something positive.,P_Neutral,2023-04-05 09:12:57,,,P_Neutral,,,P_Neutral,0
515,"Aspirin in nekatera druga sredstva proti bolečinam, povzročajo krvavitve.",2023-04-05 20:26:00,,A statement about something negative.,N_Neutral,2023-04-05 09:14:06,1.0,"Factual statement, negative consequences. Could also be entitely negative.",N_Neutral,,,N_Neutral,0
516,"In ta preverjanja ste počeli, gospodje, tudi z nelegalnimi in nelegitimnimi sredstvi tajnih policij, preverjanj, z raznimi vohuni, dokler niste ugotovili stoodstotne lojalnosti.",2023-04-05 20:26:30,,"Very negative sentance, no opinion really, maybe implied.",Negative,2023-04-05 09:16:18,,,Negative,,,Negative,0
517,"Pravzaprav smo v Pozitivni Sloveniji, še preden smo prišli na oblast, začeli z obsežnim razmislekom o tem, kako napasti sivo ekonomijo, imeli smo tudi posebno delovno skupino.",2023-04-05 20:27:02,,"Expressed opinion, seems positive - a goal that they are actively working on.",Positive,2023-04-05 09:17:11,,Explicit opinion with doing positive changes.,Positive,,,Positive,0
518,"Veliko je bilo besed, dejanja pa so bila negativna, prej kot pozitivna.",2023-04-05 20:27:44,1.0,"A negative statement. Seems rather neutral, but kinda hard call.",N_Neutral,2023-04-05 10:50:03,,"Could also be just a statement, but given the accusatory tone, I can hardly say it is neutral (also, ok implied opinion)",Negative,,,N_Neutral,1
519,"S to politiko, ki jo trenutno vodite, ne morete obljubiti, ampak jo pomagate odpravljati.",2023-04-05 20:28:21,,"This could very well be negative, but it just seems kinda weak to me.",N_Neutral,2023-04-05 10:50:46,,"I am not sure what the topic is, sounds accusatory, but not enough to be purely negative",N_Neutral,,,N_Neutral,0
520,"Mislim, da je bilo 30 ali še več aktivnih let v politiki od zveze komunistov dalje dovolj in da se mogoče malo osvobodi ozračje.",2023-04-05 20:28:56,,"Although a bit weak, the sentiment is negative and the opinion is clearly stated.",Negative,2023-04-05 10:51:07,,"Explicit opinion, negative",Negative,,,Negative,0
521,In z mislijo na skupno evropsko prihodnost sta praktično pred nekaj dnevi premierja Milanović in Janša podpisala sporazum o varčevalcih Ljubljanske banke.,2023-04-05 20:29:59,,Nothing inherently negative as is. Could also be sarcastic ''praktično''. No actual opinion was stated.,P_Neutral,2023-04-05 10:51:49,,"Statement, nothing inherently negative",P_Neutral,,,P_Neutral,0
522,"Jaz nisem navdušenec nad Evropo, ampak nekaj zadev pa imajo dobro urejenih.",2023-04-05 20:30:42,,"First part is negative, second part positive. Second part is stronger and thus positive.",M_Positive,2023-04-05 10:52:13,,"Explicit opinion, positive.",Positive,,Absolutely agree with Tamara; change to M_Positive,M_Positive,1
523,410 tisoč ljudi na robu socialne vzdržnosti in to lahko rešimo samo z gospodarsko rastjo ob učinkoviti podpori bančnega sistema.,2023-04-05 20:31:45,1.0,"Could also be N_Neutral if we consider this as a positive plan for the better future, but to me just seems soo negative. No opinion though..",N_Neutral,2023-04-05 10:54:52,1.0,"First part negative, second part positive, and offers positive solutions.",M_Positive,,I think this is still very statement-like and that it deviatesin to negative; N_Neutral,N_Neutral,1
524,"Egregio Vice Presidente della Camera di Stato, grazie per la parola.",2023-04-05 20:32:30,1.0,A mistake maybe? It's in Italian. The sentance sounds (based on my understanding of Italian) rather ambiguous and positive.,P_Neutral,2023-04-05 10:59:13,1.0,"Italian...so I think the speaker is of the minority representative.but as far I understand italian, positive and very procedural,.",P_Neutral,,,P_Neutral,0
525,"Ne razumem tega, kako lahko to spregledate, pa ste inteligentni ljudje tukaj notri, sem prepričan, sicer ne bi bili poslanci ali poslanke, se opravičujem.",2023-04-05 20:32:53,,Opinion stated. Negative theme.,Negative,2023-04-05 14:13:54,,"Accusatory, explicit opinion, but sentiment is shifting. Even so, it is still negative.",Negative,,,Negative,0
526,"Naključno je ta trenutek tudi, da upoštevamo, koliko čakalne dobe stanejo državni proračun, koliko stanejo delodajalce in koliko tudi samozaposlene osebe.",2023-04-05 20:34:30,,"Maybe transcription problem. Maybe the first word should have been ''Ključno''. Something that needs to be known. No opinion, nothing inherently negative.",P_Neutral,2023-04-05 14:14:55,,"Statement, implied opinion, but negative connotation.",N_Neutral,I would change to N_Neutral; as the topic is slightly negative,,N_Neutral,1
527,"Če bi uveljavili tak zakon, kot je danes pred nami, potem seveda pomeni, da bi veterinarski kontrolni laboratorij na nek način prenehal s svojim delom.",2023-04-05 20:34:58,,"Negative consequences and vibe, no opinion.",N_Neutral,2023-04-05 14:15:34,,"Statement (if scenario), negative consequences",N_Neutral,,,N_Neutral,0
528,"Ampak ne morete pa pričakovati, da bomo takrat tiho, ko prihaja do očitnih zlorab, ki ste si jih vi samovoljno drznili vzpostaviti.",2023-04-05 20:35:33,,"Strong words, very negative.",Negative,2023-04-05 14:15:40,,,Negative,,,Negative,0
529,"Takšen splet je po mnenju poslanske skupine SDS zelo dobrodošel in koristen, saj nas v prihodnjih letih ravno na področju lokalne samouprave in regionalizma čaka veliko dela.",2023-04-05 20:36:51,,Question whether the speaker is a part of the party or not. Positive theme though '' dobrodošel in koristen.'',P_Neutral,2023-04-05 14:16:32,,"Party opinion, that the law could bring positive changes.",Positive,,"I would change to P_Neutral, as we do not know whether the speaker is also part of the SDS party.",P_Neutral,1
530,"Lahko seveda trdite, da je bila v lanskem letu naložba zaradi nekaterih odkupov večja, ne vem, bili so nekateri odkupi izvedeni v preteklem letu, večji.",2023-04-05 20:38:04,1.0,Very confusing and hard to understand. No opinion.,N_Neutral,2023-04-05 14:17:23,,"Implied opinion, but still a statement, with negative connotation",N_Neutral,,,N_Neutral,0
531,"Mislim, da ta stvar kliče po teorijah zarote.",2023-04-05 20:38:25,,Opinion expressed and it is negative.,Negative,2023-04-05 14:17:28,,,Negative,,,Negative,0
532,"Ko govorimo seveda o proračunskih sredstev, govorimo večinoma res o investicijskem denarju v največji možni meri.",2023-04-05 20:39:27,,"No opinion, but nothing inherently negative.",P_Neutral,2023-04-05 14:18:37,,"Statement (factual), but nothing inherently negative",P_Neutral,,,P_Neutral,0
533,Kakor da bi na zemljo prišla nebesa neposredno v treh ali štirih korakih.,2023-04-05 20:42:55,,Could be sarcastic. Nothing inherently negative though.,P_Neutral,2023-04-05 14:20:12,1.0,"Either sarcastic or negative neutral, lacks context.",Negative,"I definetly think that it is sarcastic, and does not have positive sentiment, chage to Negative(S)",,Negative(S),1
534,"Mene, kar me dejansko boli tukaj, kot da se folku ne da delati, neka takšna intelektualna lenoba.",2023-04-05 20:43:20,,"Opinion clear, very negative.",Negative,2023-04-05 14:20:26,,,Negative,,,Negative,0
535,"V polni meri bo ta sistem mogoče uveljavljen v trenutku, ko bo uvedena integrirana vozovnica, to bo v letu 2014.",2023-04-05 20:43:43,,"Just a statement about something, nothing inherently negative.",P_Neutral,2023-04-05 14:22:07,,"Statement, maybe even factual, nothing inhherently negative.",P_Neutral,,,Negative,0
536,"Vzpostavlja se en drug mehanizem, da so to res prava gojišča, ne pa naravni biotop za divje živali, kjer bi se vršila tudi naravna selekcija.",2023-04-05 20:45:27,,"Negative theme, no opinion.",N_Neutral,2023-04-05 14:25:21,1.0,"Not really sure of the topic in question, but the first part seems negative, second positive and the second sentiment prevailes, though could be the other way around.",M_Negative,,Really not sure what made me think to be M; I think it is N_Neutral,N_Neutral,1
537,"To je, da se oseba osvobodi prekomernih obveznosti, ki jih nikakor ne more do konca življenja poravnati in da se nekako usposobi za normalno življenje.",2023-04-05 20:45:52,,Statement. Something is missing. Positive theme.,P_Neutral,2023-04-05 14:27:01,,"Very positive topics, as we lack additional context (that could give negative connotation) I see it as positive.",Positive,,"Very statement like, so I would change to P_Neutral",P_Neutral,1
538,"Jaz osebno sem prepričan, da gre tudi v sedanjih zaostritvah vendarle za napenjanje mišic, in da na koncu kakšnih hujših posledic ne bo.",2023-04-05 20:46:17,,"Opinion clear. This can't be positive, so it is negative.",Negative,2023-04-05 14:27:45,,"Explicit opinion, hopeful in resolving conflicts in a positive manner.",Positive,,"Looking at the sentence again, M_Positive seems better",M_Positive,1
539,"Namesto preiskave o domnevnem varnostnem zapletu je nepričakovan dogodek, ki govori o tem, da se lahko v fazi zdravljenja dogajajo dogodki, ki niso povezani s samo boleznijo.",2023-04-05 20:47:18,,"No opinion, negative theme.",N_Neutral,2023-04-05 14:28:24,,"Statement, negative connotation.",N_Neutral,,,N_Neutral,0
540,"V zvezi z vašim vprašanjem, ki sem ga vzorno prebral in z marsičem kar je tam zapisano tudi soglašam, bi rekel naslednje.",2023-04-05 20:48:08,,"Could be a sarcastic ''vzorno''. But atm this is just a statement, with nothing negative.",P_Neutral,2023-04-05 14:29:30,,"Not really an opinion, and even though the speaker agrees, I cannot say it is strong enough for me to consider it positive.",P_Neutral,,,P_Neutral,0
541,"Moram reči, da sem sicer vesel, da si je kolega Jožef Horvat vzel čas in je prebiral številke skupnih zneskov.",2023-04-05 20:48:44,,Opinion clear and positive.,Positive,2023-04-05 14:30:35,1.0,"Seems like a part of sentence is missing, but as is, I say it is positive. But could also be very sarcasic if read with different intonation.",Positive,,,Positive,0
542,"Ker ne moremo šteti, da so oproščene obresti, kadar se ta depozitna pogodba sklene za ime družinskega člana.",2023-04-05 20:49:16,,"'Ne moremo'' denial of something. Just a statement, no opinion, but seems negative.",N_Neutral,2023-04-05 14:31:21,,"Statement, negative connotation (also not enough context)",N_Neutral,,,N_Neutral,0
543,"Ta dopis je prišel bistveno prej, 12. decembra, in tudi v tem so ugotovitve zelo podobne, niso kronološko taksativno napisane, ampak tekstualno pa povzema isto vsebino.",2023-04-05 20:50:05,,"We don't know what the statements are like (P or N), no opinion by the speaker and nothing really negative.",P_Neutral,2023-04-05 14:33:18,,"As I am not sure about one specific word (taksativno), I think it a statement with nothing inherently negative.",P_Neutral,,,P_Neutral,0
544,"Zato bom podprla ta amandma, ki upošteva tudi število šolajočih otrok v drugem kraju.",2023-04-05 20:50:27,,The opinion is clear and seems positive.,Positive,2023-04-05 14:33:55,,"Explicit ""opinion"" with positive changes.",Positive,,,Positive,0
545,"Niste dvignili recimo povprečnin občinam, čeprav je bila konjunktura.",2023-04-05 20:50:50,,Someone didn't do something - negative. No opinion though.,N_Neutral,2023-04-05 14:35:17,,"Does not make a lot of sense,but it does seem negative and accusatory. As we do not have enough context, I think it should be neutral",N_Neutral,,,N_Neutral,0
546,"Tudi zato, ker imamo več pravic, ki seveda se med sabo tepejo, ampak ki jih imamo ustoličene in jih moramo spoštovat.",2023-04-05 20:51:51,1.0,' Ki se med sabo tepejo'' gives this snetance negative connotation. Could also be P_Neutral.,N_Neutral,2023-04-05 14:36:02,,"First part negative, second positive.",M_Positive,"I agree with Katja. 1/3 and 3/3, 2/3 is negative. I'd change to M_positive. ",,M_Positive,1
547,Spodbujanje uporabe klinično in stroškovno učinkovitih alternativnih materialov in spodbujanje najboljših okoljskih praks z namenom zmanjšanja sproščanja živega srebra.,2023-04-05 20:52:15,,"Just a statement, but ''spodbujaje'' seems positive.",P_Neutral,2023-04-05 14:38:24,1.0,"Just a statement, but with positive best practices. Could also be just p_neutral, as opinion is not direct.",Positive,,"It is very statement-like, so I would change to P_Neutral",P_Neutral,1
548,"Kar se pa tiče naših herojev, pa se je največji heroj spremenil v vodjo, ki vsakogar, ki misli drugače, po kratkem postopku obeleži za nacionalnega izdajalca.",2023-04-05 20:52:36,,"Very negative, with implied opinion by the speaker.",Negative,2023-04-05 14:39:31,,"Heavily implied opinion, and very negative.",Negative,,,Negative,0
549,"Jaz sicer ne vem, ali je bilo takrat najbolj pametno, da smo obnovili tanke T55, je pa res, da so bili edina ognjena moč.",2023-04-05 20:53:59,1.0,This one is very hard for me. I'm just gonna choose on random and wait for Katja's opinion.,M_Negative,2023-04-05 14:40:19,,"First part negative, second positive, which also prevailes.",M_Positive,"I agree with Katja, although the topic is negative, the last part (P) trumps the entire sentiment. ",,M_Positive,1
550,"Ureditev področja varstva zdravstvenih delavcev pred ionizirajočim sevanjem je nespremenjena že vrsto let, če ne že desetletij.",2023-04-05 20:54:42,,"No opinion, just a statement, but seems negative, especially because of the theme and the last part ''če ne že desetletja''.",N_Neutral,2023-04-05 14:41:06,,Opinion is only implied and has negative connotation.,N_Neutral,,,N_Neutral,0
551,"Vsi vemo, da je recimo varnost pomemben izziv in velik problem v Evropski uniji, uvajajo se ponovno notranje meje, dogajajo se teroristični napadi.",2023-04-05 20:56:16,,Very negative expressed opinion.,Negative,2023-04-05 16:43:58,,"While the opinion is heavily implied and with negative topic, it is still not strong enough to be fully negative",N_Neutral,I agree with Katja. This is a statement-like sentance and I'd change to N_neutral. ,,N_Neutral,1
552,"Recimo v Marezigah so leta 1920 ljudje v spontani bitki pobili dva fašista kar s kamni, ker jim niso pustili, da volijo.",2023-04-05 20:56:32,,To me this is very negative.,Negative,2023-04-05 16:44:37,,Very negative topic,Negative,,,Negative,0
553,"Gospod minister, slike iz Planice nakazujejo, da Slovenija počasi, a vztrajno izgrajuje modern nordijski center.",2023-04-05 20:56:58,,"No opinion, positive sentiment.",P_Neutral,2023-04-05 16:47:39,,"Explanation of positive improvements, opinion implied, but still not strong enough for me to consider it fully positive.",P_Neutral,,,P_Neutral,0
554,"Ko nam očitajo populizem in željo po všečnosti, istočasno naštevajo argumente, ki ne zdržijo resne presoje.",2023-04-05 20:57:18,,,N_Neutral,2023-04-05 16:48:08,,Explicit negative opinion.,Negative,"Implied opinion, with negative sentiment, I agree with Katja. ",,Negative,1
555,"V času islamske revolucije v Iranu, ko so ovrgli šaha, je imel Iran dobrih 30 milijonov prebivalcev, zdaj jih ima 75 milijonov.",2023-04-05 20:58:16,1.0,This just seems too neutral.,P_Neutral,2023-04-05 16:49:52,,"Factual statement, maybe implied negative connotation",N_Neutral,,"I agree with Tamara, it is very neutral, but still does not have anything explicitly negative ",P_Neutral,1
556,"Ampak tudi takrat so nekateri, bom rekel, te prihode horde ilegalnih migrantov smatrali kot prijateljski obisk; »Refugees welcome!«, so nekateri tvitali.",2023-04-05 20:58:45,,Very negative and opinion is heavily implied.,Negative,2023-04-05 16:50:26,,"Explicit opinion, sarcastic",Negative,,,Negative,0
557,"Na Odboru za finance je bil sprejet amandma, ki izboljšuje jasnost nove določbe, zato ga Vlada tudi podpira.",2023-04-05 20:59:33,,"Positive statement, we don't know if the speaker is in vlada, so whos opinion this is, is not clear.",P_Neutral,2023-04-05 16:51:23,,"Unclear whether the speaker is part of the government, so not clear on statement authorship.",P_Neutral,,,P_Neutral,0
558,"Kljub temu da v trenutku ne dajo odgovora na vsa vprašanja samega izvajanja zakona, pa je pravi odgovor na današnjo kritično stanje na tem področju.",2023-04-05 21:00:16,1.0,"Makes no sense to me. First part negative, second positive.",M_Positive,2023-04-05 16:52:13,,"First part slightly negative, second positive",M_Positive,,,M_Positive,0
559,"Potrebujemo islandsko razmišljanje, skandinavsko razmišljanje, ki je odporno proti korupciji, potrebujemo pravega človeka, ki bo vodil to institucijo.",2023-04-05 21:00:58,,I think that ''Potrebujemo'' expresses opinion.,Positive,2023-04-05 16:57:27,,"Statement of what positive changes we need, but not strong enough to convince me that it is fully positive.",P_Neutral,"I agree with Katja, although I still think that there might be implied opinion, this is too weak to be positve. ",,P_Neutral,1
560,Od leta 2000 pa do odhoda prejšnje vlade je bilo okrog Rimskih Toplic precej živahno.,2023-04-05 21:01:34,,"This could also be P_Neutral, but I think this has a negative connotation.",N_Neutral,2023-04-05 16:59:49,,"Statement, without further context, p_neutral. Could also be meant as negative, has several interpretations.",P_Neutral,,"I fully agree that it has more negative connotation, rather than positive",N_Neutral,1
561,"Zelo me je pa spodbudila razprava in moram priznati, da sem ogorčen nad dosedanjimi razpravljavci in tudi s strani predlagatelja.",2023-04-05 21:01:51,,Opinion expressed and it is negative.,Negative,2023-04-05 17:00:01,,"Explicit opinion, negative.",Negative,,,Negative,0
562,"Združenje delodajalcev Slovenije nam je očitalo, da s tem ščitimo ljudi, ki bi kradli svojemu podjetju ali spolno nadlegovali sodelavce.",2023-04-05 21:02:21,,"Very, very negative and strong words.",Negative,2023-04-05 17:00:35,,"Others opinion, but very negative topic.",Negative,,,Negative,0
563,"Kvečjemu potrebujemo določeno izobrazbo zaradi narave sodelovanja v mednarodnih misijah in vsem drugem, kar bo Slovenija kot odgovorna članica mednarodne skupnosti pravzaprav morala početi.",2023-04-05 21:03:22,1.0,This could very well be N_Neutral.,N_Neutral,2023-04-05 17:02:06,,Statement with nothing inherently negative,P_Neutral,I agree with Katja. ''We need something'' is positive and not negative. ,,P_Neutral,1
564,"Pomembno je, da je guverner ekonomist, z dobrim znanjem mednarodne makroekonomije, kar potrjujejo življenjepisi in izkušnje guvernerjev drugih centralnih bank držav, ki so prevzele evro.",2023-04-05 21:04:01,,What is needed for something good.,P_Neutral,2023-04-05 17:02:47,,"Statement, nothing inherently negative without further context.",P_Neutral,,,P_Neutral,0
565,"Sicer je občina Kočevje že dolgo nekje na dnu lestvice uspešnosti slovenskih občin, z mnogimi težavami, ki se jih kljub dolgoletnemu županovanju gospoda Vebra ni uspela otresti.",2023-04-05 21:04:45,,"No opinion so it could be N_Neutral, but just seems very negative.",Negative,2023-04-05 17:07:18,1.0,"Statement, with negative topic, but could also be n_neutral.",Negative,,,Negative,0
566,"Predlagatelj po 17 letih ponovno predlaga naborniški sistem, ki se je že takrat izkazal za neučinkovitega, saj ni znal odgovoriti na spremenjene družbene okoliščine in sodobne varnostne izzive.",2023-04-05 21:05:02,,"No opinion, negative theme.",N_Neutral,2023-04-06 12:47:47,,"Others opinion, negative connotation",N_Neutral,,,N_Neutral,0
567,"Torej, iz filiale cenejši kot iz matične tovarne in to lahko utemeljim na treh sklopih primerov iz prakse.",2023-04-05 21:05:17,1.0,,N_Neutral,2023-04-06 12:49:21,,"Transcript error? Neutral, nothing inherently neutral",P_Neutral,,"I agree with Tamara, it has more of a negative connotation than positive, N_Neutral",N_Neutral,1
568,"To se pravi, da dve najmočnejši stranki prevzameta odgovornost in skušata rešiti Slovenijo.",2023-04-05 21:05:34,,Statement. Could also be N_Neutral.,P_Neutral,2023-04-06 12:51:25,,"Statement, nothing inherently negative",P_Neutral,,,P_Neutral,0
569,"Navedena jama kazi ter onesnažuje okolje, predvsem pa grozi z možno ekološko katastrofo.",2023-04-05 21:05:51,,Very negative ''katastrofo''.,Negative,2023-04-06 12:51:34,,,Negative,,,Negative,0
570,"Sigurno, da je del od Postojne v Rupe tudi nekako bil zapostavljen in pozabljen v vseh teh obdobjih ampak Slovenija se mora nekako uravnovešeno, zelo harmonično razvijati.",2023-04-05 21:06:34,,"First part is negative, second part is positive. Could also be M_Negative.",M_Positive,2023-04-06 12:53:30,,,M_Positive,,,M_Positive,0
571,"Jaz se strinjam z državno sekretarko in pozdravljamo, da se enostavno zamrzne za 2014 in 2015, da se ne ukvarjamo s temi izračuni.",2023-04-05 21:06:48,,Agreement.,Positive,2023-04-06 12:53:41,,,Positive,,,Positive,0
572,"Pri izvedbi stresnih testov so bila tako za osnovni scenarij uporabljena konzervativna makroekonomska gibanja, temelječa na zimski makroekonomski napovedi Evropske komisije iz leta 2014.",2023-04-05 21:07:15,,"A statement, nothing negative.",P_Neutral,2023-04-06 12:54:09,,,P_Neutral,,,P_Neutral,0
573,"S tem se sprosti konkurenca na slovenskem trgu glede dobave zdravil, raznih dopolnil, ki lajšajo bolečine, in drugih pripomočkov, ki so na voljo v lekarnah.",2023-04-05 21:08:01,1.0,"Maybe I don't understand this, but nothing inherently negative.",P_Neutral,2023-04-06 12:55:09,,,P_Neutral,,,P_Neutral,0
574,"Jaz zadnje čase dosti razmišljam – dobro, Franjo, nisi ravno najbolj pameten na svetu, daleč od tega, kdo ti je vzor v slovenski politiki.",2023-04-05 21:08:28,1.0,What is this?,Negative,2023-04-06 12:56:07,,Sarcasm,Negative,,,Negative,0
575,"Vendar pa je to zakon, ki je že dalj časa vključen v državni program za prilagajanje naše zakonodaje evropski in kot tak seveda pomemben s tega vidika.",2023-04-05 21:09:13,,A statement seems positive.,P_Neutral,2023-04-06 12:56:34,,,P_Neutral,,,P_Neutral,0
576,"Poglejmo samo dva primera, ki ju je navedel Državni sekretar.",2023-04-05 21:09:34,,Lacks context or continuation. Nothing inherently negative.,P_Neutral,2023-04-06 12:57:09,,,P_Neutral,,,P_Neutral,0
577,"Prijel se je nek spin, pustite nam vladati, opozicija nas moti.",2023-04-05 21:10:05,,Could also be negative.,N_Neutral,2023-04-06 12:58:10,1.0,"Only implied opinion, but could be fully negative",N_Neutral,,,N_Neutral,0
578,"Tudi je bilo prej slišati dobro in pa korektno priporočilo, da nepoznavanje prava škoduje.",2023-04-05 21:11:19,,"First part trumps the second, and I don't feel this is mixed.",P_Neutral,2023-04-06 12:59:41,,"Negative consequences, first part positive",M_Negative,First part is positive and second part is negative. I'd change my label to M_Positive. ,"On second thought, it is more M_Positive, as it does say that this is a good recommendation",M_Positive,1
579,"Mogoče se bo to komu ali pa tudi predlagateljem zdelo kot neka znanstvena fikcija, ampak to so enostavna dejstva, ki jih javnosti doslej nismo tukaj notri še predstavili.",2023-04-05 21:11:51,1.0,,N_Neutral,2023-04-06 13:00:07,,,N_Neutral,,,N_Neutral,0
580,"To je bilo v letu, preden je Slovaška uvedla enotno davčno stopnjo.",2023-04-05 21:16:35,,"Nothing negative, just a statement.",P_Neutral,2023-04-06 13:01:21,,,P_Neutral,,,P_Neutral,0
581,"Poslanec Lavrinc: ""Ne samo, da lažete, gospod Janša, mojster insinuacij ste.",2023-04-05 21:17:15,1.0,"Is this a mistake, because the speaker is there??? Clear, strong, negative opinion.",Negative,2023-04-06 13:02:15,,Sarcasm,Negative,,,Negative,0
582,"Podpredsednik, kolegice in kolegi, predstavniki Vlade še enkrat lep pozdrav z moje strani!",2023-04-05 21:17:32,,Just a nice greeting.,P_Neutral,2023-04-06 13:03:11,,,P_Neutral,,,P_Neutral,0
583,"Ker bom prvič nekaj kuhal, bom zažgal kuhinjo.",2023-04-05 21:18:15,,Maybe sarcastic. Could be N_Neutral.,Negative,2023-04-06 13:05:43,1.0,Sarcasm?,Negative,,,Negative,0
584,"Pri pogonskih gorivih je to jasno, ker se tisti, ki vozijo skozi državo, odločijo, da tankajo drugje in tukaj mislim, da delamo katastrofalno napako.",2023-04-05 21:18:54,,"Strong words, very negative.",Negative,2023-04-06 13:06:19,,,Negative,,,Negative,0
585,"Naj vam citiram, zelo zanimivo, delček pogovora, ki ga ima naš glavni junak v tej knjigi, Sodnik, s sekretarjem komiteja.",2023-04-05 21:19:47,,I think this is sarcastic. Could also be negative.,N_Neutral,2023-04-06 13:07:44,,Need further context...,N_Neutral,,,N_Neutral,0
