id,text,timestamp_tamara,flagged_tamara,comment_tamara,tag_tamara,timestamp_anze,flagged_anze,comment_anze,tag_anze,timestamp_katja,flagged_katja,comment_katja,tag_katja,rev_tamara,rev_anze,rev_katja,final_tag
411,"Zakaj ni tukaj definiran ta znesek na drugačen način, recimo, kjer se bo lahko ta znesek potem določal na podlagi uspešnosti te zavarovalnice.",2023-03-23 10:22:23,1.0,"The second part might seem positive and this could be mixed, but in my opinion it is far to weak of a positive statement for me to put it as mixed.",N_Neutral,2023-03-23 09:26:59,,,N_Neutral,2023-03-23 10:21:17,1.0,"Seems like a question, but is isnt. First part accusation/accusative question, negative, second part relatively neutral, but nothing inherently negative... Could also be mixed.",N_Neutral,We're in agreement - N_Neutral,We're in agreement - N_Neutral,We're in agreement - N_Neutral,N_Neutral
412,Stališče do predloga deklaracije je v imenu Komisije za mednarodne odnose in Evropske zadeve v Državnem svetu predstavil tudi gospod Vincenc Otoničar.,2023-03-23 10:23:46,,Neutral statement with nothing negative.,P_Neutral,2023-03-23 09:27:30,,"No direct opinion, just a statmment",P_Neutral,2023-03-23 10:22:30,,"Factual statement, very neutral and procedural and as there is no explicit negative connotation, I would say it is P_Neutral",P_Neutral,We're in agreement - P_Neutral,We're in agreement - P_Neutral,We're in agreement - P_Neutral,P_Neutral
413,"Naj samo omenim, da so svetniški in županski kandidati začeli nizati uspehe že na lokalnih volitvah 2002.",2023-03-23 10:25:04,,"Only implied opinion, but positive sentiment.",P_Neutral,2023-03-23 09:28:48,,Positiv topic and direct opinion ''Naj samo omenim'',Positive,2023-03-23 10:25:09,1.0,"Implied opinion, with positive connotations, but not strong enough to be considered positive.",P_Neutral,"I agree with Katja that ''Naj somo omenim'' doesn't really represent an opinion by the speaker. The speaker is simply offereing a statement. The sentiment is positive, so I remain with P_Neutra.",Positiv topic and direct opinion ''Naj samo omenim''. That why i chose Positiv becasue for me it's direct speker opinion. Positiv,"""Naj samo omenim"" to me at best symbolizes implied opinion, and still it is more of an addition to the sentence rather than an opinion. I would say that it is not strong enough to be considered positive; P_Neutral",P_Neutral
414,"S tem smo tudi ti dve kategoriji objavljanja izenačili, da ne bo nikakršnega dvoma.",2023-03-23 10:27:02,1.0,"Very neutral statement, but with a positive sentiment. Could also be N_Neutral, but lacks context.",P_Neutral,2023-03-23 09:30:21,,Positiv opinion and topic,Positive,2023-03-23 10:26:41,,"Not explicitly an opinion, more of a statement, the fact that something has been balanced seems positive",P_Neutral,"Very neutral statement, but with a positive sentiment. P_Neutral.","Positiv topic and weak opinion, I had a problem to chose in this statment, It could be easy be P_Neutral","I do not think this is an explicit opinion and is more a statement, with positive connotations; P_Neutral",P_Neutral
415,"V poslanski skupini Liberalne demokracije Slovenije pričakujemo ob obravnavi tega zakona jasno izraženo politično podporo, saj preprečevanje, odkrivanje in preganjanje korupcije brez jasno izražene politične podpore ni možno.",2023-03-23 10:30:18,,"Despite very harsh words being used in this sentiment and opinion sort of implied, this is still a positive sentance, but neutral label.",P_Neutral,2023-03-23 09:32:23,,"Positiv statment, with no direct opinion, because it's a party statment no MP him self",P_Neutral,2023-03-23 10:29:53,1.0,"Not explicit opinion, very much a statement of their expectation, where the sentiment was really hard to detect.",P_Neutral,We're in agreement - P_Neutral,We're in agreement - P_Neutral,We're in agreement - P_Neutral,P_Neutral
416,"Dovolite, da vam tukaj pojasnim, da sindikalna svoboda je že ustavna kategorija in že zakon jasno določa, kdaj morajo policisti opravljati naloge tudi v času stavke.",2023-03-23 10:31:35,,"Very negative sentiment, but neutral lable.",N_Neutral,2023-03-23 09:34:08,,Direct opinion (da vam tukaj pojasnim).,Positive,2023-03-23 10:32:18,1.0,"Seems preachy and patronizing, def deviation into negative. Even though, this is not explicit opinion just clarification. So, neutral.",N_Neutral,"Although I can see how this could be percieved as positive, I still agree with Katja's initial comment that the sentance seems preachy and patronizing. N_Neutral.",Direct opinion (da vam tukaj pojasnim). But it can be negativ for sure it is depend how you read statment. Positiv,"I would stick with my initial label, N_Neutral",N_Neutral
417,"To pa je prvi korak na pogreb demokracije, zmagoslavje sovraštva iz zlobe.",2023-03-23 10:32:59,,"No opinion, but very negative sentance.",Negative,2023-03-23 09:35:18,,"Negativ topic and statment with no direct opinion, with S for me",N_Neutral,2023-03-23 10:32:32,,,Negative,"Very , very negative statement with no opinion. Negative. ","Negativ topic and statment with no direct opinion, with S for me","I agree that it is maybe more of a statement than a direct opinion, but it is so negative I cannot say it could be neutral. I will stick with Negative",Negative
418,"člen določa pridobivanje in uživanje lastnine tako, da je zagotovljena njena gospodarska, socialna in ekološka funkcija.",2023-03-23 10:34:59,,Very positive consequence.,Positive,2023-03-23 09:35:52,,,P_Neutral,2023-03-23 10:33:33,,"This is a statement, but it explicitly covers very positive consequences.",Positive,"No opinion, but sentance with positive theme and consequences. Positive. ",As Katja wrote it's positiv topic and it's a statment. And it's positiv consequence i could say it's Positiv. Positiv,"As per my comment, it is more of a sentence, but it has very positive consequences, so I would think it is more Positive than P_Neutral. I would stick with my initial label; Positive",Positive
419,"Rad bi povedal, da za razliko od sedanje je prejšnja vlada precej časa namenila pogajanjem s sindikati, se z njimi usklajevala, upoštevala predloge in državo upravljala s konsenzom.",2023-03-23 10:36:53,,"Not actual opinion and despite second part being positive, the first part ""za razliko od sedanje"" trumps the entire sentance.",N_Neutral,2023-03-23 09:36:18,,,Negative,2023-03-23 10:35:38,,"Explicit opinion of the speaker regarding positive work of the previous government, in comparison to the current one - even though a small part of the sentence is negative, the overall sentiment toward the subject of the sentence is positive.",Positive,"Well I could see Katja's positive view, especially if we only looked at the first part of the sentance. However I still think that the notion behind this sentance is negative and a bit condescending. I remain with N_Neutral.","Negativ statment and topic, mostly first part. I couldnt and cant see direct opinion. Thats why i would change it to N_Neutral","Note to self: NO, NOT POSITIVE; FAR FROM IT! I can see both Tamara's and Anže's perspective, but yeah, I would consider it more Negative than N_Neutral. So, I would change my label to Negative.",N_Neutral
420,"Takšen predlog ima podlago tudi v številnih mednarodnih pogodbah in drugih dokumentih, ki govorijo o obveznosti držav, da so dolžne omejevati pojave širjenja sovraštva in nestrpnosti v javnosti.",2023-03-23 10:39:25,,"Positive consequences, but very neutral stance.",P_Neutral,2023-03-23 09:36:52,,Very negativ topic thats why N,Negative,2023-03-23 10:37:13,,"Statement regarding the new amendment, positive connotation, but not strong enough and lacking explicit opinion.",P_Neutral,I stick with my initial label P_Neutral. ,"Positive consequences, but very neutral stance. Agree with Tamara. P_Neutral","As per my comment, I would stick with P_Neutral",P_Neutral
421,"Jaz sem vam pa sedaj z datumi in številkami dokazal, da nimate prav.",2023-03-23 10:39:45,,Clearly expressed opinion with negative sentiment.,Negative,2023-03-23 09:37:21,,Negativ direct opinion and argumment,Negative,2023-03-23 10:40:26,,Proving wrong the other speaker.,Negative,Agreement - Negative,Agreement - Negative,Agreement - Negative,Negative
422,"Nujno potrebujemo nek ambiciozen načrt, nek ambiciozen pristop in s tem povezane kadre, povezana sredstva, infrastrukturo in tako naprej.",2023-03-23 10:41:21,,Clearly expressed opinion with positive sentiment.,Positive,2023-03-23 09:37:58,,Positiv topic with opinion,Positive,2023-03-23 10:42:54,,"Nujno potrebujemo- explicit opinion, urging people for positive changes.",Positive,Agreement - Positive,Agreement - Positive,Agreement - Positive,Positive
423,"Kljub temu da je ponekod napredek zelo počasen, so bili drugod v zadnjih letih narejeni koraki, kakršni kakšnih deset let nazaj niso bili niti v teoriji predstavljivi.",2023-03-23 10:43:05,,"First part may be considered negative (very weak),but second part is clearly positive, but neutral.",P_Neutral,2023-03-23 09:39:52,1.0,"Neutral, but it could be on negativ side, but I think it's positiv",P_Neutral,2023-03-23 10:43:32,,"First part negative, second part very very positive.",M_Positive,"Although I could see the possibility of this being mixed, I still think that the sentance is overwhelmingly positive, but neutral. P_Neutral.","Neutral, but it could be Mixed because first part it's negativ  (zelo počasen) and the second it's positiv (narejeni napredki). M_Positive",I can see why it could be P_Neutral; and I would change my label to P_Neutral,P_Neutral
424,"Zdaj ne vem, ali sem jaz nor ali jaz nekaj ne razumem.",2023-03-23 10:43:55,,"Clear opinion, negative + sarcasm.",Negative,2023-03-23 09:40:10,,Negtiv topic and opinion,Negative,2023-03-23 10:43:54,,Rethorical question. Maybe even sarcasm?,Negative,Agreement - Negative,Agreement - Negative,Agreement - Negative,Negative
425,"In to niso bogati odvisniki, to vse bolj postajajo ljudje, ki si v igralnicah na začetku najprej najdejo zabavo, nato pa se znajdejo v brezizhodni spirali odvisništva.",2023-03-23 10:44:54,,"Despite no clear opinion, the theme and sentiment ia very negative.",Negative,2023-03-23 09:41:02,,Negativ topic but no direct opinion,N_Neutral,2023-03-23 10:44:21,,"Statement, but very negative topic.",Negative,A very negative and condescending sentance. Negative. ,Agree with Tamara and Katja. Negativ,"I agree that it is a statement and that opinion might not be direct, but the topic and wording is so negative, that I would stick with my initial label - Negative",Negative
426,"Te smernice v predlog zakona, po nekaterih mnenjih, niso vgrajene v povsem zadovoljivi meri.",2023-03-23 10:45:57,,"Could also be negative if we consider the ""po nekaterih mnenjih"" as the speakers opinion. But as is this is more neutral with negative sentiment.",N_Neutral,2023-03-23 09:41:30,,,N_Neutral,2023-03-23 10:46:17,,"Others opinion, so neutral, but negative connotation",N_Neutral,Agreement - N_Neutral,Agreement - N_Neutral,Agreement - N_Neutral,N_Neutral
427,"Seveda pa to nekatere zelo boli, ker ta dogovorna ekonomija je za marsikoga v tej državi super molzna krava.",2023-03-23 10:46:54,,Very negative + sarcasm,Negative,2023-03-23 09:42:28,,Negativ statment but no direct opinion,N_Neutral,2023-03-23 10:46:50,,Sarcasm.,Negative,I agree with Anže's comment. Negative + sarcasm.,Negative and sarcastic - I would stick with Negative,Negative and sarcastic - I would stick with Negative,Negative(S)
428,Po drugi strani pa imamo najbolj strogo fiskalno pravilo v vsej Evropski uniji.,2023-03-23 10:47:46,,"May be implied opinion,but very neutal negative statement.",N_Neutral,2023-03-23 09:42:46,,,N_Neutral,2023-03-23 10:48:32,1.0,"Statement, maybe implied opinion of the speaker, but I do not think it is strong enough to be considered negative...also, would probably need additional context.",N_Neutral,Agreement - N_Neutral,Agreement - N_Neutral,Agreement - N_Neutral,N_Neutral
429,"V poslanski skupini SLS podpiramo inštitut ljudske iniciative znotraj 90. člena in menimo, da je pomemben institut sodelovanja ljudstva v zakonodajnem procesu.",2023-03-23 10:48:23,,Clear positive opinion.,Positive,2023-03-23 09:43:48,,"Postiv statment, but no direct opinion (party statment)",P_Neutral,2023-03-23 10:49:25,,"Explicit opinion of the political party, expressing support and positive opinion toward another institution.",Positive,Clearly expressed positive opinion by a member of the mentioned party. Positive. ,Expressed opinion (V stranki menimo) and support - initial label: Positive,Expressed opinion (V stranki menimo) and support - initial label: Positive,Positive
430,"Še vedno mislim, da bo kriza presežena in da bomo ostali znotraj koncepta razvoja, ki smo mu bili priča tudi pred krizo.",2023-03-23 10:49:04,,Opinion is clear with positive sentiment there.,Positive,2023-03-23 09:44:13,,,Positive,2023-03-23 10:50:25,,"Expressed opinion, hopeful, that we will be successful in combating the crisis and returning to growth",Positive,Agreement - Positive,Agreement - Positive,Agreement - Positive,Positive
431,"Glede na sprejete amandmaje je pripravljeno besedilo dopolnilnega predloga zakona, ki je sestavni del tega poročila.",2023-03-23 10:49:48,,"Very neutral statement, positive sentiment.",P_Neutral,2023-03-23 09:44:43,,Positiv topic no direct opinion,P_Neutral,2023-03-23 10:51:24,,"Statement regarding amandments, very neutral, nothing inherently negative...",P_Neutral,Agreement - P_Neutral,Agreement - P_Neutral,Agreement - P_Neutral,P_Neutral
432,Danes na območju nekdanjega samostana žalostno samevajo le ruševine.,2023-03-23 10:50:50,,"No opinion, negative sentiment.",N_Neutral,2023-03-23 09:44:57,,,N_Neutral,2023-03-23 10:52:10,,"Implied opinion, but expressed sadness regaring the topic of the sentence.",Negative,I also agree with Anže in this case. A neutral statement. N_Neutral.,"Negativ topic ''žalostno samevajo'', but i cant sens any direct opinion. N_Neutral","I agree with Anže, that it is more a statement with a negative topic. I would change my label to N_Neutral",N_Neutral
433,"Stopnjevanje sovražnosti govora iz mandata v mandat se prenaša na naše ulice, v naše domove, to je dejstvo.",2023-03-23 10:51:15,,Very negative sentance.,Negative,2023-03-23 09:45:16,,Very negativ topic,Negative,2023-03-23 10:52:49,,"Implied opinion, but very negative consequences and topic.",Negative,Agreement - Negative,Agreement - Negative,Agreement - Negative,Negative
434,"Je pa pomembno zavedanje samega upravljavca kopališča, da se kot odgovoren za dobro počutje in varnost svojih strank zaveda pomembnosti primerne usposobljenosti svojih zaposlenih.",2023-03-23 10:52:45,,"Statement, but carries positive consequences.",P_Neutral,2023-03-23 09:45:57,,statment with no direct opinion,P_Neutral,2023-03-23 10:54:20,1.0,"Statement, very long, stating some things twice, I would consider it neutral and as there is nothing inherently negative, I would say P_Neutral",P_Neutral,Agreement - P_Neutral,Agreement - P_Neutral,Agreement - P_Neutral,P_Neutral
435,"To je zlasti Cankarjeva in bela krizantema, slovensko ljudstvo in slovenska kultura - to se boleče tiče našega časa.",2023-03-23 10:54:27,1.0,Between Negative and N_Neutral. Seems a bit too neutral for strict Negative.,N_Neutral,2023-03-23 09:46:29,1.0,statment with no direct opinion,N_Neutral,2023-03-23 10:56:14,1.0,"Not sure about the topic of the first part, but the second part heavily implies the speaker opinion and reveals his/her negative opinion regarding the subject.",Negative,"I was a bit indecisive here, but after reading the comments by Anže and Katja, I'd stick with N_Neutral.","I have the same problem as Katja wrote the first part has no direct opinion, but the second it's very negativ and iIt could be sperker opinion, I put it in N_Neutral, but can easy be Negativ. N_Neutral",I think further discussion here is required - I am between Negative and N_Neutral.,N_Neutral
436,"Slovenska tehnična inteligenca odhaja v Nemčijo, Avstrijo, Švico, v Ameriko, kjer imajo dobro poslovno okolje.",2023-03-23 10:55:10,,"Neutral statement (a bit weak), but negative sentiment.",N_Neutral,2023-03-23 09:46:52,,statment with no direct opinion on negativ topic,N_Neutral,2023-03-23 10:58:58,1.0,"Could potentially also be mixed, but it is still a statement, thr second part in the context of the sentence still feels more neutral than positive...",N_Neutral,Agreement - N_Neutral,Agreement - N_Neutral,Agreement - N_Neutral,N_Neutral
437,Pokazal je leseno uro in je govoril o dodani vrednosti.,2023-03-23 10:55:57,,"Just a statment, nothing inherently negative.",P_Neutral,2023-03-23 09:47:25,,,P_Neutral,2023-03-23 11:00:23,1.0,"Could be negative and sarcastic, but there is not enough context, so it could also be neutral and negative...",Negative,"Lacks context, but I also see that with it, this could very well be negative and sarcastic. However without the context  this is P_Neutral. ",Its just a statment no direct opinion. I put it in P_Neutral,"I sensed this to be very negative and sarcastic, but I agree that without further context it is hard to jump to conclusions - I would change my inital label to P_Neutral",P_Neutral
438,"Vlada Republike Slovenije je predlagala nadomestitev besedila, da bi s tem zagotovili čimbolj ekonomično obravnavanje tega zakona.",2023-03-23 10:58:07,,"Just a statement, but nothing really negative.",P_Neutral,2023-03-23 09:47:52,,statment with no direct opinion and positiv topic,P_Neutral,2023-03-23 11:01:27,,"Statement, positive consequences, but not strong enough to be considered positive.",P_Neutral,Agreement - P_Neutral,Agreement - P_Neutral,Agreement - P_Neutral,P_Neutral
439,"Kajti vemo, da so v Avstriji zbrali že prek 180.000 podpisov za referendum in nihče ne ve, kakšen bo izid referenduma.",2023-03-23 10:59:56,1.0,Very weird and confusing sentance and I don't see the point.,N_Neutral,2023-03-23 09:48:39,,statment with no direct opinion positiv topic,Positive,2023-03-23 11:03:26,1.0,"Statement, very neutral, I guess that 'nihce ne ve' could be interpreted as negative, but maybe also as positive (as I would say this is just purely neutral sentence)",N_Neutral,"This either makes no sense or I don't understand it. Seem negative though, so I'd stick with N_Neutral. ",I had a problem with this statment because something is missing. Yuo can not tell if the topic is positiv or negativ. So here it can be Neutral positiv or negativ. I stay with positiv but I am easily convinced otherwise. Positiv,"I would stay with my initial label, as it is really neutral and  as Tamara wrote, really confusing. ",N_Neutral
440,"Seveda pa tisti, ki je naredil usluge drugemu, nekako pričakuje lojalnost do njega in morda neke posebne bonitete tudi v bodočnosti.",2023-03-23 11:00:32,,"No opinion, negative theme.",N_Neutral,2023-03-23 09:50:04,1.0,I don't know what the text is talking about or something good or about bribes. It could be postiv.,N_Neutral,2023-03-23 11:05:53,1.0,"Neutral statement, I guess nothing inherently negative, but also nothing explicitly positive.",P_Neutral,I completly agree with Katja's first and second comment. N_Neutral. ,I don't know what the text is talking about or something good or about bribes. It could be postiv. But defenetlly Neutral. N_Neutral,"I agree that the underlying context is likely to be about bribes, but further context is required. I would, however, change my label to N_Neutral",N_Neutral
441,"Ker pač do tega, kot ste vi razložili, ne čuti dovolj veliko.",2023-03-23 11:01:03,,"No opinion, but negative sentiment.",N_Neutral,2023-03-23 09:50:55,,No direct opinion and just a statment on negativ side,N_Neutral,2023-03-23 11:06:24,,"Others opinion, accusation, negative connotation.",N_Neutral,Agreement N_Neutral,Agreement N_Neutral,Agreement N_Neutral,N_Neutral
442,"Želim samo pojasniti nekaj netočnosti, ki so bile izrečene že na zaprtem delu seje, pa danes ponovno.",2023-03-23 11:03:18,1.0,"No opinion, but negative sentiment.",N_Neutral,2023-03-23 09:51:31,,Just opinion,Positive,2023-03-23 11:07:52,,"Implied opinion, not really expressed, negative connotation",N_Neutral,"Negative, but neutral. N_Neutral.",Agree with Tamara and Katja. N_Neutral,"As per my comment, I would stick with N_Neutral",N_Neutral
443,"Občudujem in se vedno znova sprašujem, kje so le zbrali pogum vsi tisti, ki so šli v partizane in se bojevali za svobodo slovenskega naroda kljub tako velikem sovražniku.",2023-03-23 11:03:41,,Expressed positive opinion.,Positive,2023-03-23 09:51:47,,,Positive,2023-03-23 11:10:02,1.0,"Could also be positive, depends on the intonation, but the 'kje so le' wording I would say that it is Negative and sarcastic.",Negative,"This could be negative for sure, but I just don't have it in me to believe that someone would be soo nasty as to joke about this topic. I agree with Anže wholeheartedly - Positive. ","I think the topic it self its very positiv and with opinion. So Positiv for me, i can+t agree with Katja. Positiv.","I was on the fence with it and upon re-reading the sentence, I agree with Tamara and Anže that it is indeed Positive",Positive
444,"Zato apeliramo na pristojno ministrstvo, da poostri nadzor nad uporabo fitofarmacevtskih sredstev in spodbuja uporabo naravnih sredstev za odstranitev škodljivcev in bolezni rastlin.",2023-03-23 11:06:13,,"No opinion, but negative sentinent ""poostri"".",N_Neutral,2023-03-23 09:52:17,,Negativ statment with no direct opinion,N_Neutral,2023-03-23 11:12:24,,"Apeliramo is not really explicit opinion, more like positive suggestions and so I would say it is more neutral",P_Neutral,I stand by my first label: N_Neutral.,Negativ statment with no direct opinion. N_Neutral,I agree that it is more on the negative side (as per Tamara's comment); N_Neutral,N_Neutral
445,"Zato jaz bom podprl vse te zakonske spremembe, ki so bile danes predstavljene in dane.",2023-03-23 11:06:30,,expressed opinion and support.,Positive,2023-03-23 09:52:44,,direct opinion and just a positiv statment,Positive,2023-03-23 11:12:32,,,Positive,Agreement - Positive,Agreement - Positive,Agreement - Positive,Positive
446,"Marca letos smo tako v obravnavo prejeli Predlog zakona o debirokratizaciji, ki je s spremembami in dopolnitvami posegal v 20 zakonov in razveljavil nekaj več kot 200 zakonov.",2023-03-23 11:07:58,1.0,"It could also be positive sentiment, but I think in this case its more negative.",N_Neutral,2023-03-23 09:53:28,,Negativ statment and topic with no direct opinion (party statment),N_Neutral,2023-03-23 11:15:24,,"Statement, 'smo' here could be interpreted as we but not necessarily as expression of the speakers opinion, but it seems more just statement and negative consequences. Depends on the context, it could also be P_Neutral.",N_Neutral,Agreement - N_Neutral,Agreement - N_Neutral,Agreement - N_Neutral,N_Neutral
447,"Spremembe Zakona o glavnem mestu so na dnevnem redu zato, ker je zakon iz leta 2004 s svojim namenom dosegel samo polovico želenega.",2023-03-23 11:09:43,,"Very neutral statement, but negative sentiment.",N_Neutral,2023-03-23 09:54:02,,No direct opinion and just a statment,N_Neutral,2023-03-23 11:15:38,,,P_Neutral,"Yes, as Anže pointed out, that specific part makes this sentance negative. N_Neutral.",No direct opinion and just a statment but on negativ side because of the part ''dosegel samo polovico želenega'' N_Neutral,"Ups, did not see the ""samo polovico"" so yes, I agree with N_Neutral",N_Neutral
448,"Zahtevno delo, a izvedljivo seveda ob prvem pogoju, ki še vedno ostaja – stabilizaciji javni financ.",2023-03-23 11:12:07,,"Neutral statement, but with hopeful connotation.",P_Neutral,2023-03-23 09:54:22,,,P_Neutral,2023-03-23 11:19:15,1.0,"Statement, i think that it is very neutral.",P_Neutral,Agreement - P_ Neutral,Agreement - P_ Neutral,Agreement - P_ Neutral,P_Neutral
449,Spoštovanje oziroma zanikanje veljavne zakonodaje podrejate svoji hipni volji in osebnim interesom.,2023-03-23 11:12:57,,"Very negative sentance ""podrejate""",Negative,2023-03-23 09:55:34,,Negativ topic with no direct opinion,N_Neutral,2023-03-23 11:19:43,,"Accusation, negative.",Negative,Very negative sentance. Negative. ,Yes i can agree with Katja it's an argumment or Accusation. Negativ,"I would stick with my initial label, Negative",Negative
450,"Minister mu je razložil, da ti programi ne morejo biti predmet odloka, dokler ne gredo skozi proceduro oziroma skozi Svet za visoko šolstvo Republike Slovenije.",2023-03-23 11:15:25,,Denial of something.,N_Neutral,2023-03-23 09:56:09,,Just a statment with no direct opinion,P_Neutral,2023-03-23 11:20:06,,"Statement, negative connotation",N_Neutral,Agree with Katja. N_Neutral.,Just a statment with no direct opinion. I would flag this statment. It can easily be N_Neutral. N_Neutral,I would remain by my first label - N_Neutral,N_Neutral
451,"Odziv je, kolikor sem sedaj iz teh najnovejših podatkov slišal, zelo obetaven in dober.",2023-03-23 11:16:00,,"Maybe no opinion, but very positive sentiment.",Positive,2023-03-23 09:56:22,,,Positive,2023-03-23 11:22:49,,"Statement, as it does have positive things in ti, but not as strong.",P_Neutral,"Weak for sure, but in itself very positive. Positive. ","Statment with weak opinion, but i would stick it with Positiv. Positiv","I would change my label to Positive, as it does include weak opinion",Positive
452,"Vstaje, ki so bile tudi nasilne; in vi danes nam govorite, da mi nek parlamentarni instrument izkoriščamo za destabilizacijo države.",2023-03-23 11:16:59,,Very negative sentance.,Negative,2023-03-23 09:56:48,,Negativ topic and opinion of the speaker,Negative,2023-03-23 11:23:09,,,Negative,Agreement - Negative,Agreement - Negative,Agreement - Negative,Negative
453,"Stališča Republike Slovenije, ki so jih zagovarjali nosilci politike, ministri, so bili medli, predvsem pa brez kakršne koli iniciative.",2023-03-23 11:18:29,,"Very neutral statement, but negative sentiment clearly.",N_Neutral,2023-03-23 09:57:28,,No direct opinion and just a statment on more negativ side,N_Neutral,2023-03-23 11:23:49,,"Accusation, really not neutral",Negative,I don't see opinion here and to me this is just a well formed negative statement. N_Neutral.,No direct opinion and just a statment on more negativ side. N_Neutral,"I still think that it is accusatory and not really all that neutral. Majority vote will probably be needed, but I still think it is more Negative than Neutral",N_Neutral
