id,text,timestamp_tamara,flagged_tamara,comment_tamara,tag_tamara,timestamp_anze,flagged_anze,comment_anze,tag_anze,timestamp_katja,flagged_katja,comment_katja,tag_katja,rev_tamara,rev_anze,rev_katja,final_tag
111,Jaz kot politik nisem nikoli kompromisa razumel za poraz.,2023-03-02 13:14:54,,Clear opinion.,Positive,2023-03-02 13:16:19,,"speakers opinion, with positiv notes",P_Neutral,2023-03-02 13:15:45,1.0,"Expressed opinion, but sentiment is only implied",P_Neutral,To me this can't really be neutral because his opinion is clear and it is thematically and sentimentally positive. Positive.,"speakers opinion, with positiv notes","I agree with Tamara, opinion is clearly expressed (zato menim), I guess the problematic part for me was the last part (kompromisa razumel za poraz), which misguided me. I think Positive",Positive
112,"Očitno je vonj po morju bil tisti, ki je presegel zamere in nas povezal za dobrobit naroda.",2023-03-02 13:15:05,,,Positive,2023-03-02 13:16:22,,"speakers opinion, with positiv notes",P_Neutral,2023-03-02 13:17:05,,,Positive,Clear opinion (očitno) and positive sentiment.Positive. ,"speakers opinion, with positiv notes",I still believe that it is clear positive opinion by the speaker. Positive,Positive
113,"To je grožnja za te programe, grožnja, upam si trditi, za socialno državo.",2023-03-02 13:15:29,,"""grožnja"" - strong negative.",Negative,2023-03-02 13:16:56,,Maybe S,Negative,2023-03-02 13:17:13,,,Negative,Strong words. Clear negative sentiment. Negative. ,"Negativ opinion, as I wrote maybe with an S","I did not detect strong sarcasm, or even any to be frank. As per the rules, sarcasm label should be only taken into consideration when it is really clear- therefore, I would remain with the Negative without sarcasm.",Negative
114,"Na to nezanesljivost teh naprav so pristojne opozorile tudi posamezne policijske postaje, ki so predlagale pristojnim določene postopkovne spremembe, saj jim testerji pri njihovih postopkih predstavljajo težavo.",2023-03-02 13:16:02,,No opinion by speaker.,N_Neutral,2023-03-02 13:17:33,,,N_Neutral,2023-03-02 13:18:22,,"Implied negative connotation, no direct opinion",N_Neutral,"No real opinion by speaker, but negative sentiment. N_Neutral. ",Agree with Tamara,"We're in agreement, N_Neutral",N_Neutral
115,"Obnovljivi viri, učinkovita raba energije - 180 milijonov evrov.",2023-03-02 13:16:39,,"No opinion by speaker, just factual statement. Also really nothing that would make me lean to the negative side.",P_Neutral,2023-03-02 13:18:19,,positive interpretation of the speakers,Positive,2023-03-02 13:18:57,,"Statement, but no negative connotation",P_Neutral,"Just a statement, no opinion or even implied opinion. Positive sentiment. P_Neutral.",positive interpretation of the speakers,I think this is a statement with no negative connotation  therefore P_Neutral,P_Neutral
116,"Ker namreč mlajša generacija politikov, intimno ali pa tudi javno, kot jaz danes to počnem, si želimo normalizacije naše družbe, vsaj v odnosu do polpretekle zgodovine.",2023-03-02 13:17:08,,,Positive,2023-03-02 13:19:21,,"Mix message, but with positiv thinking because of the word ''normalizacije''",M_Positive,2023-03-02 13:20:57,,"Expressed postitve sentiment, hope and wishes.",Positive,"Positive sentiment, with very clear opinion. Positive. ","Mix message, but with positiv message because of the word ''normalizacije''","Very clear opinion by the speaker, I remain with Positive.",Positive
117,"Torej, poudarjam in res poudarjam in upam, da bo to vendarle enkrat slišano, šlo je za zlorabo zakonodaje in za nezakonito delovanje.",2023-03-02 13:17:41,,Repetition of the statement.,Negative,2023-03-02 13:20:04,,argumment which is negativ,Negative,2023-03-02 13:21:06,,,Negative,"Repetition, argument, negative sentiment. Negative.",argumment which is on negativ side,"Repetition and negative sentiment, Negative.",Negative
118,"Kako pa se zakonodaja izvaja v praksi, pa je že drugo vprašanje.",2023-03-02 13:18:26,,No actual opinion.,N_Neutral,2023-03-02 13:21:04,1.0,it is not clear from the text what the message of the sentence is,M_Positive,2023-03-02 13:22:02,,"Implied negative sentiment, no direct opinion, maybe even slight sarcasm?",N_Neutral,"No real opinion, but negative sentiment and theme. N_Neutral. ",it is not clear from the text what the message of the sentence is,"I think it is a statement, but with negative connotation, so I would say N_Neutral. ",N_Neutral
119,"Ja, to je gojenje živali v nekih separatih, s ciljem zadostiti nekaterim posameznikom užitke.",2023-03-02 13:18:56,,Implied opinion. Maybe some sarcasm.,Negative,2023-03-02 13:21:46,,Message with negativ position,N_Neutral,2023-03-02 13:22:24,,,Negative,"Negative theme and sentiment, implied opinion. Negative.","Negative theme and sentiment, implied opinion. Negative.",I would say it has implied opinion and very negative one at that. Negative,Negative
120,"In verjetno je ta aktivnost oziroma ta način dela povsem skladen z izrekom, da se udari po siromaku.",2023-03-02 13:19:27,,"Word ""verjetno"" leads me to believe that this is the speakers opinion.",Negative,2023-03-02 13:22:05,,S,Negative,2023-03-02 13:22:49,,,Negative,"Negative theme and sentiment, implied opinion. Negative.",Agree with Tamara and i would add that mybe is was ment as S,"We're in agreement, I would also say it has realitvely clear sarcasm, Negative or Negative(S).",Negative
121,"Gospod minister, pred slabim letom, točneje aprila 2012, sem vas javno vprašal o vaših pogledih in načrtovanih ukrepih za razrešitev zapletene situacije na področju odlagališč odpadkov.",2023-03-02 13:19:59,,No opinion (yet) just a statement.,N_Neutral,2023-03-02 13:22:28,,Argumment,Negative,2023-03-02 13:24:13,,"Question, but maybe even accusation, implied negative sentiment.",N_Neutral,No opinion (yet) just a statement. Negative sentiment. N_Neutral. ,Argumment or statment which is on negativ side,"I would say accusation with negative connotation, no direct opinion, N_Neutral",N_Neutral
122,V letošnjem letu čaka mene kot predsednika republike in vas kot državni zbor nekaj skupnih nalog.,2023-03-02 13:20:26,,"No opinion, just a statement. Nothing inherently negative.",P_Neutral,2023-03-02 13:22:46,,,Positive,2023-03-02 13:24:41,,"Statement, but with no implied negative connotation.",P_Neutral,Just a plain statement with a positive sentiment. P_Neutral. ,Maybe I agree with both Katja and Tamara that the statment is Neutral but defenetliy is on positiv note,"Statement with no implied negative connotation, so I would stick with P_Neutral. ",P_Neutral
123,"Mi želimo, da se minimalna socialna pomoč izenači s to število.",2023-03-02 13:20:49,,Opinion expressed. A wish.,Positive,2023-03-02 13:23:37,,"it is not clear from the text what the message of the sentence is, but for me text is more on the positiv side",M_Positive,2023-03-02 13:25:01,,,Positive,"Clear opinion ''Mi želimo'', with positive sentiment. Positive. ","it is not clear from the text what the message of the sentence is, but for me text is more on the positiv side","Clear opinion, positive sentiment. Positive",Positive
124,"Starši si absolutno želijo obravnave otrok v Sloveniji, ta obravnava pa mora biti kakovostna in predvsem varna.",2023-03-02 13:21:08,,Opinion implied.,Positive,2023-03-02 13:24:02,,For me text is more on the positiv side,P_Neutral,2023-03-02 13:25:35,,"Others opinions, no direct opinion of the speaker, but implied",P_Neutral,I'd change to neutral. The opinion expressed is by the parents and not by the speaker. P_Neutral. ,For me text is more on the positiv side but no direct opinion,"I agree with Tamara and Anže, P-Neutral",P_Neutral
125,"Smo pri obravnavi amandmaja, s katerim, verjamem, skoraj brezupno poskušamo popraviti sklepe, ki so jih dobesedno izsilili ali pa s preglasovanjem dosegli poslanci koalicije.",2023-03-02 13:22:35,1.0,"Conflicted. ""obravnavi...popraviti"" vs ""brezupno...izsilili"".",M_Positive,2023-03-02 13:25:15,,Speakers opinion,N_Neutral,2023-03-02 13:26:15,,"First part positive, second part negative, which is stronger than the positive first part.",M_Negative,"I'd change my first ruling. For me this is definitely mixed sentiment, but maybe  for me the second, negative part  trumps the first part. M_Negative. ",Maybe i can sens spekers opinion becasue of word ''Smo''. But easilly it's could be Neutral,"I would stick with my first label, as I can sense two sentiments, but the negative one prevails overall. M_Negative",M_Negative
126,"Naj opozorim, da so bile pred dobrim desetletjem, v času gospodarske krize, zaradi varčevalnih ukrepov ustavljene vse investicije v novo opremo in posodobitev Slovenske vojske.",2023-03-02 13:23:08,,"Statement, no opinion.",N_Neutral,2023-03-02 13:25:23,,Negativ speakers opinion,Negative,2023-03-02 13:27:58,,"Implied opinion, but of negative connotation",N_Neutral,"I really don't see opinion, I only see someone repeating a statement with a negative sentiment. N_Neutral. ",Negativ speakers opinion,"I stick with my first label, statement with negative connotation - N_Neutral",N_Neutral
127,"Če slučajno kolegice in kolegi niste zasledili, turško stališče je, da zamrzne pogajanja o vstopu, če bo grški del Cipra predsedoval Evropski uniji.",2023-03-02 13:23:25,,Statement.,N_Neutral,2023-03-02 13:27:43,,"Mix because I can't figure out of the sentiment of the speaker, but is more negativ because it's more of the argumennt",M_Negative,2023-03-02 13:32:31,1.0,"Overall tone is negative, but no direct opinion by the speaker. Still very present negative.",Negative,"Negative theme and sentiment, but no opinon by the speaker. N_Neutral. ","Mix because I can't figure out of the sentiment of the speaker, but is more negativ because it's more of the argumennt","Others' opinion, so no direct opinion by the speaker, so I would change this to N_Neutral",N_Neutral
128,"Zaveza pristojnih, da oblikujejo zakonsko besedilo v smeri ureditve, kot jo vključuje ta paket zakonov, je z izglasovanim sklepom popolnoma jasna.",2023-03-02 13:23:53,,Opinion.,P_Neutral,2023-03-02 13:33:52,,No direct opinion but the second part is maybe more on the positiv side because of the of the word ''jasna'',P_Neutral,2023-03-02 13:33:27,,"Statement, very neutral but with no negative connotation, therefore positive neutral",P_Neutral,"No opinon, but also nothing negative. P_Neutral.",No direct opinion but the second part is maybe more on the positiv side because of the of the word ''jasna'',Agreement,P_Neutral
129,"To, kar se dogaja, to je res kriminal in svinjarija.",2023-03-02 13:24:05,,Very negative.,Negative,2023-03-02 13:34:16,,probably S,Negative,2023-03-02 13:33:31,,,Negative,"Very negative, clear opinion. Negative. ",Negativ opinion probably with  S,Agreement,Negative
130,"Ampak sedaj smo ugotovili, da se je zaraščalo na veliko, pravzaprav da se je zaraščalo in da se je nenadzorovano pozidavalo.",2023-03-02 13:24:17,,,Negative,2023-03-02 13:35:25,,Argumment,Negative,2023-03-02 13:34:30,,"Implied opinion(smo), negative tone of the statement.",Negative,"Very negative, clear opinion. Negative. ",argumment which is on negativ side,Agreement,Negative
131,"In to je v skladu z Nacionalnim programom za kulturo 2014–2017, ki je za kakovostno ter raznoliko filmsko in avdiovizualno produkcijo predvidel 11 milijonov na letni ravni.",2023-03-02 13:25:22,,"Lacking context. Could also be N_Neutral with the use ""in to je"".",P_Neutral,2023-03-02 13:35:47,,,Positive,2023-03-02 13:34:37,,,Positive,"Positive sentiment, but no implied or clear opinion. P_Neutral. ",I would say that for me is positiv statment,"Positive tone overall, but no direct opinion by the speaker : P_Neutral",P_Neutral
132,"Še dobro, še dobro, da smo v koaliciji tudi kakšni drugi člani in da se to ni zgodilo, ker tak scenarij bi pa res peljalv neželeno smer.",2023-03-02 13:25:39,,Clear negative opinion.,Negative,2023-03-02 13:37:35,,"Argumennt in negativ side, mostly last part",N_Neutral,2023-03-02 13:35:09,,,Negative,Clear negative opinion. Negative. ,"Argumennt in negativ side, mostly last part. I would change my opinion to negativ","Overall tone of the statement is negative, with the opinion heavily implied, so I would stick with Negative",Negative
133,"Seveda je treba tudi priznati, da javno šolstvo ne more biti konkurenčno, konkurenčno v smislu dajanja rezultatov v kvaliteti pridobljenega znanja, če nima tekmeca.",2023-03-02 13:26:18,,"Known opinion, negative connotation.",Negative,2023-03-02 13:39:00,,"speaker's opinion, more on negativ becasue of the word ''konkurenčno''",N_Neutral,2023-03-02 13:36:18,,Statement but implied neg. Connotation,N_Neutral,To me speaker's opinion is clear ''seveda je treba tudi priznati''. The seniment in negative and therefor I stand with Negative. ,"Maybe no direct speaker's opinion, more on negativ becasue of the word ''konkurenčno''",Agree with Anže,N_Neutral
134,"Štirje bivši, ugledni rektorji pa so pozivali ministra, naj iz javne obravnave, naj umakne zakon, ki ga ni.",2023-03-02 13:26:38,,No opinion.,N_Neutral,2023-03-02 13:39:19,,,Negative,2023-03-02 13:37:16,,Slight sarcasm,Negative,"I see implied opinion now. I'd change to Negative, also agree with sarcasm. ",I agree with Tamara,Agreement with Tamara and Anže,Negative(S)
135,"Zaradi tega je skrajni čas, da se mednarodna javnost, kot se temu lahko reče, združi in oblikuje zahtevo po prepovedi uporabe kasetnih bomb.",2023-03-02 13:27:12,,No opinion. Expressed wish or prospect.,P_Neutral,2023-03-02 13:40:29,,speaker's opinion,Positive,2023-03-02 13:38:49,,Statement but implied positive consequences.,P_Neutral,Just a statement with positive sentiment. P_Neutral. ,I agree with Tamara,I stick with my first label - P_Neutral,P_Neutral
136,"Da vse te pritožbe, ki vam jih pošiljajo državljani, posredujete meni nemudoma.",2023-03-02 13:27:31,,"No opinion, a request.",P_Neutral,2023-03-02 13:41:33,1.0,,P_Neutral,2023-03-02 13:40:20,,"Anger, expectation, negative tone",Negative,"No opinion, a request. P_Neutral.",No direct opinion but more on the positiv side ,"Two possible interpretations, but I agree with Tamara and Anže",P_Neutral
137,"Bil je zvezda komentiranja predčasnih volitev v letu 2011, saj si je po zmagi Zorana Jankovića privoščil napad na profil volivca Pozitivne Slovenije in ga označil za trenirkarja.",2023-03-02 13:28:10,,"Sarcasm, implied opinion.",Negative,2023-03-02 13:42:31,,"Negativ argumment, with maybe Sarcasem on the end (ga označil za trenirkarja)",Negative,2023-03-02 13:42:10,,Sarcasm,Negative,Negative + sarcasm.,"Negativ argumment, with maybe Sarcasem on the end (ga označil za trenirkarja)",Agreement,Negative(S)
138,"Vsaka čast Forumu 21, ustavili so raj za tako vrsto podjetništva!",2023-03-02 13:32:46,,"""Vsaka cast"" implies opinion.",Positive,2023-03-02 13:44:38,,S,Negative,2023-03-02 13:44:38,,Sarcasm,Negative,"Maybe my opinion differs from Katja's and Anže's, because idk what Forum 21 is, but I stand with Positive. :''')",Negativ with S,"""svaka čast"" has two different connotations, depends on the speakers tone, so ..... as I am lacking context, I would decide with Negative (As agreement in slovenian parliament is rearly a thing), also sarcasm; so majority rule",Negative(S)
139,"Garant bo to pismo, ki mu ne bo potrebno prilagati nobene dokumentacije, evidentiral pri upravni enoti.",2023-03-02 13:33:17,,"""Garant"" implies opinion. Also sarcasm.",Negative,2023-03-02 13:46:32,,speaker's opinion,P_Neutral,2023-03-02 13:45:45,,"Opinion implied (Garant), overall tone negative, maybe even slightly sarcastic.",N_Neutral,"Opion is there (Garant), sentiment is negative. Negative. ","Agree with both, sarcasm present but not clear enough","I change my initial label - I agree with Tamara. I can sense the sarcasm (also two different tone interpretations of the word ""Garant""), but I dont think it is clear enough, would need additional context.",Negative
140,"Tu je še umetna inteligenca, s pomočjo katere bo možno vse, prav vse, kar se tiče nabave dobrin.",2023-03-02 13:33:43,,No actual opinion.,P_Neutral,2023-03-02 13:46:51,,Positiv speaker's opinion,Positive,2023-03-02 13:46:54,,"No direct speaker opinion, statement but implied overall positive effect and sentiment.",Positive,"No opinion, but overall sentiment positive. P_Neutral. ",Positiv speaker's opinion,"Repetition of the word ""prav vse"" heavily implies speakers' opinion, so I would remain with my original label. Majority rule",Positive
141,"Tisti, ki je več zadolžen, mora več plačati, če ne odplača v roku.",2023-03-02 13:34:17,1.0,Depends on context: between N_Neutral and Negative.,N_Neutral,2023-03-02 13:47:16,,speaker's opinion,P_Neutral,2023-03-02 13:48:25,,"Statement, no negative connotation, so P_Neutral.",P_Neutral,"Negative theme, no opinion. N_Neutral.",I would change it and agree with Tamara,"I agree with Tamara and Anže, N_Neutral",N_Neutral
142,To zavržno dejanje je vredno vsakršne obsodbe in nikjer v Evropi narodnih izdajalcev ne častijo.,2023-03-02 13:34:24,,,Negative,2023-03-02 13:47:30,,S,Negative,2023-03-02 13:48:31,,,Negative,Strong words. Negative. ,Strong words. Negative. I would add maybe with S,"Agree with Tamara and Anže, but sarcasm is not clear enough",Negative
143,"Sicer tu minister ni nič kriv, še pogumno se drži in vztraja, tako da to mu štejem v dobro.",2023-03-02 13:34:50,,Clear positive opinion.,Positive,2023-03-02 13:48:17,,Positiv speaker's opinion,Positive,2023-03-02 13:48:41,,,Positive,Clear positive opinion. Positive. ,Positiv speaker's opinion,Agreement,Positive
144,"Okoljski projekti, kot so odvajanje in čiščenje odpadnih voda, ravnanje s komunalnimi odpadki in vodooskrba, pa so ostali.",2023-03-02 13:35:17,,"No opinion, ""pa so ostali"" implies negative sentiment.",N_Neutral,2023-03-02 13:48:46,,,P_Neutral,2023-03-02 13:49:27,,"Statement, no direct opinion, positive theme and exclusion of any negative connotation.",P_Neutral,To me ''pa so ostali'' implies that something is lacking. Therefor N_Neutral. ,"Statment with no opinion, but in positiv note","I stick with my first ruling, agree with Anže",P_Neutral
145,"V svetniški skupini v ljubljanskem mestnem svetu smo se vedno zavzemali za to, da bi se ta gradnja ustavila.",2023-03-02 13:36:48,1.0,,Negative,2023-03-02 13:49:15,,speaker's opinion,M_Positive,2023-03-02 13:51:26,1.0,"Expressed opinion(smo se zavzemali) , negative overall tone and consequences.",Negative,Opinion expressed and it is negative ''ustavila'' Negative.,I would change it and agree with Tamara,Agree with Tamara and Anže,Negative
146,"To je med drugimi tudi njena zaveza, ki je zapisana v koalicijski pogodbi.",2023-03-02 13:37:07,,No opinion.,P_Neutral,2023-03-02 13:50:41,,"speaker's opinion, but you can't defently see if the sepeakers ment it as P or N",M_Positive,2023-03-02 13:53:48,1.0,"Could be interprted as p_neutral as a statement with no direct opinion, or maybe n_negative as it can be critique.",P_Neutral,"No opinion, nothing inherently negative, therefor P_Neutral. ","speaker's opinion, but you can't defently see if the sepeakers ment it as P or N","No inherent clear opinon and not clearly negative, so I stick with P_Neutral",P_Neutral
147,"Tako je tudi sedaj, ko Prevent ugaša, pada atomska bomba ni koroško regijo, kaj šele v Slovenske Gorice.",2023-03-02 13:37:48,,"No idea what this means, but it seems very negative.",Negative,2023-03-02 13:51:25,,s,Negative,2023-03-02 13:54:05,,,Negative,"No idea what this means, but it seems very negative. Negative. ",Negativ with S,"Such a weirddddd sentence, I stick with Negative. I can hear the sarcasm but not clear enough",Negative
148,"Tisti, ki jih ni strah, so vedno jasno in brez sramu priznali napako in potem delali naprej pravilno.",2023-03-02 13:38:43,,"No opinion, but seems like a slight praise.",P_Neutral,2023-03-02 13:51:54,,Speakers argumment,P_Neutral,2023-03-02 13:54:18,,,Positive,"No actual opinion, seem like a slight praise. P_Neutral. ",argumment,"I agree with Tamara, opinion only implied not really clearly expressed, I would change to P_Neutral",P_Neutral
149,"Vidim, da je hudo razburjenje, pa bom malo potrpel.",2023-03-02 13:39:02,,,Negative,2023-03-02 13:52:27,,S,Negative,2023-03-02 13:56:57,1.0,"Statement, no direct opinion, negative connotation",N_Neutral,To me the usage the word ''vidim'' implies opinion. Negative sentiment and theme. Negative. ,Negativ which maybe include S,"I missed ""vidim"", so I agree with Tamara and Anže, but I dont think sarcasm is clear enough, Negative",Negative
150,"Po svoje je to razumljivo, saj gre za vprašanje ločnice med javnim in zasebnim, to pa vedno odpira polje za ideološki boj.",2023-03-02 13:39:41,,"Statement, with negative sentiment.",N_Neutral,2023-03-02 13:53:17,,Porbably Negativ speaker's opinion,N_Neutral,2023-03-02 13:57:26,,"First part positive to neutral, second part negative.",M_Negative,"Statement, with no expressed opinion, negative sentiment though. N_Neutral. ",Porbably Negativ speaker's opinion,"I agree that positive part of my first judgement is really more negative than positive, I agree with N_Neutral",N_Neutral
151,"Kar se pa tiče samega vsebinskega dela, pa tudi samo pohvalno.",2023-03-02 13:40:12,,,Positive,2023-03-02 13:53:35,,,Positive,2023-03-02 13:57:32,,,Positive,Praise. Positive. ,Positiv statment,Agreement,Positive
152,"In mogoče Saint Simon bi se pod to lahko podpisal, ker je bil utopist.",2023-03-02 13:40:26,,Sarcasm,Negative,2023-03-02 13:53:44,,S,Negative,2023-03-02 13:57:56,,Sarcasm?,Negative,Negative + sarcasm.,Negative + sarcasm.,Agreement,Negative(S)
153,Predvsem se izpostavlja problem trajnosti in trdnosti te ureditve.,2023-03-02 13:40:48,,"""problem"". No opinion.",N_Neutral,2023-03-02 13:53:54,,speaker's opinion,P_Neutral,2023-03-02 13:59:03,,"No direct opinion, but implied negative connotation",N_Neutral,"No direct opinion, word ''problem'' brings negative sentiment. N_Neutral. ","No direct opinion,thats why is Neutral and on more positiv side","I agree with Tamara, N_Neutral",N_Neutral
154,"Okrog jezikov mu lahko v tolažbo povem, da govorim aktivno angleško in nemško ter pogovorno rusko in italijansko.",2023-03-02 13:41:50,1.0,"First part negative, but then a positive information. Maybe slight sarcasm.",M_Positive,2023-03-02 13:54:13,,speaker's opinion,P_Neutral,2023-03-02 14:00:05,,Sarcasm.,Negative,I would agree with Katja and change it to negative. ''Mu lahko v tolažbo'' clearly implies sarcasm. I'd change to Negative (S),"Positiv, maybe include opinion with the word ''povem''","Speakers opinion, I think that ""mu lahko v tolažbo"" really implies negative connotation and also sarcasm.",Negative(S)
155,"Spoštovana ministrica, ne znate voditi dialoga s šolniki, ne znate pomiriti staršev, učiteljev, ravnateljev, ne iščete skupnih rešitev.",2023-03-02 13:42:13,,,Negative,2023-03-02 13:54:37,,Negativ argumment,Negative,2023-03-02 14:00:38,,Sarcasm?,Negative,Negative. ,Negativ argumment,"Negative, sarcasm implied (spoštovana ministrica) but not clear enough",Negative
156,"Ta reprezentanca je lahko skromna, ampak je pa dobro, da je.",2023-03-02 13:42:40,,Weak positive.,Positive,2023-03-02 13:54:59,,Positiv speaker's opinion,Positive,2023-03-02 14:00:47,,,Positive,Positive opinion. ,Positiv speaker's opinion,agreement,Positive
157,"Neizvršni, se opravičujem, to je pa res, ja.",2023-03-02 13:43:13,,"Apology, but confirmation.",P_Neutral,2023-03-02 13:55:18,1.0,S,Negative,2023-03-02 14:04:16,1.0,"Too little context, could be read as very sarcastic remark or purely an appology - statement fragment, P_Neutral",P_Neutral,"I agree with Katja's first comment. Very little context, but to me at this point seems as a genuine apology and I'd therefor stick with P_Neutral.","Too little context, could be read as very sarcastic ",I would stick with my first ruling and explanation in the comment - P_Neutral,P_Neutral
158,To je zgolj megla za naivne in kadrovski principi pri tej vladi so strogo nadzorovani in potekajo.,2023-03-02 13:46:20,,"Maybe I'm confused, but first part is negative and second part seems positive.",M_Positive,2023-03-02 13:56:25,,"Negativ speaker's opinion, mostly negativ of the first part and the word ''naivne ''",Negative,2023-03-02 14:04:31,,,Negative,"As I said in my first comment this one confused me. I agree with Anže, it's an opinionated statement, with negative sentiment. I'd change to Negative. ","Negativ speaker's opinion, mostly negativ of the first part and the word ''naivne ''",Agree with Anže,Negative
159,"Govorice, da je bilo za razne analize namenjenih, celo zapravljenih 74 milijonov evrov, so pa lažne.",2023-03-02 13:46:29,,,Negative,2023-03-02 13:57:04,,Argumment,N_Neutral,2023-03-02 14:04:37,,,Negative,'So bile pa lažne'' clear negative opinion. Negative.,"No direct opinion, but negativ sentiment",Agree with Tamara,Negative
160,"Poglejte, da to avtokratsko samovoljo preprečimo rabimo referendum.",2023-03-02 13:47:05,,,Negative,2023-03-02 13:57:15,,speaker's opinion,N_Neutral,2023-03-02 14:06:22,,"Overall tone is negative, opinion of the speaker implied.",Negative,Implied opinion. Negative. ,"Overall tone is negative, opinion of the speaker implied.",Agree with Tamara,Negative
