id,text,timestamp_tamara,flagged_tamara,comment_tamara,tag_tamara,timestamp_anze,flagged_anze,comment_anze,tag_anze,rev_tamara,rev_anze,final_tag,Unnamed: 13
317,"Takšno preslikavanje je nesmiselno, ker bo moral Zakon o vrtcih vselej slediti spremembam citiranih predpisov.",2023-03-10 14:40:46,,very weak negative,N_Neutral,2023-03-10 14:45:23,1.0,"Direct opinion, i chose negativ just becasue of the word ''nesmiselno''.",Negative,"I really don't see this sentance as a strongly negative sentance. As I wrote in my initial comment, this is a very weak sentance, so I'm still in between N_Neutral and Negative. ","Direct opinion, i chose negativ just becasue of the word ''nesmiselno''. Negative",Negative,
318,"Sodobno zdravstvo, sodobna medicina, sodobna nega 21. stoletja gre v neke perpleksne time, ki nekaj delajo skupaj.",2023-03-10 14:41:08,,"neutral, but positive",P_Neutral,2023-03-10 14:46:30,,"Statment, with no direct opinion",P_Neutral,We agree on P_Neutral.,"Statment, with no direct opinion. P_Neutral",P_Neutral,
319,"To je namreč procent, ki kaže procent izvoljenih svetnikov, dejansko pa so stranke dobile nekoliko manj.",2023-03-10 14:44:02,,"lacks opinion, negative sentiment",N_Neutral,2023-03-10 14:46:49,,"Statment, with no direct opinion. but positiv topic",P_Neutral,"To me the second part is negative ''dejansko pa so stranke dobile nekoliko manj''. Idk maybe it's just me, but thats sort of a negative theme. N_Neutral. ","Statment, with no direct opinion, but i think is on postiv side. P_Neutral",N_Neutral,Majority vote
320,"Na njegovi podlagi je Vlada marca 2013 sprejela Uredbo o izvajanju ukrepov za krepitev stabilnosti bank, ki je podrobno določila tri kriterije za terjatve, ki izpolnjujejo pogoje za prenos.",2023-03-10 14:44:48,,"no opinion, very neutral",P_Neutral,2023-03-10 14:47:38,,"Direct opinion (Na njegovi podlagi), on positiv side (postiv topic)",Positive,I agree with Anže's comment. P_Neutral.,i agree with Tamara on second reading it's has no direcut opinion. So I change it to P_Neutral,P_Neutral,
321,"Sramotno je, da nekdo tukaj v Državnem zboru govori, da nečesa ne bo podprl zato, ker na drugi strani ni nekoga na svojem mestu.",2023-03-10 14:45:15,,"speakers opinion is clear, negative sentiment",Negative,2023-03-10 14:48:03,,Negativ argumment and of course negativ opinion,Negative,We agree here. Negative. ,Negativ argumment and of course negativ opinion. Negativ,Negative,
322,"O mnogih priložnostih doslej sem v tej dvorani, v tej hiši zaneseno in velikokrat naivno pel slavospeve vladni politiki.",2023-03-10 14:45:58,,"transcription error, clear opinion, negative sentiment",Negative,2023-03-10 14:48:49,,Negativ opinion and maybe S (pel slavospeve vladni politiki),Negative,We agree here. Negative. ,Negativ opinion and maybe S (pel slavospeve vladni politiki). Negativ,Negative,
323,"Če tega ne naredijo, ko pride šolska inšpekcija, so vrtci sankcionirani.",2023-03-10 14:46:16,,"just a statement,but negative sentiment",N_Neutral,2023-03-10 14:49:25,,"Negativ opinion and statment, negativ word (sankcionirani)",Negative,I agree with Anže. It's a statement with a negative connotation. N_Neutral. ,Agree with Tamara just a statment but on negativ side as i wrote because of the word ''sankcionirani''. N_Neutral,N_Neutral,
324,Čez 5 leto bomo torej praznovali njegovo 200. letnico.,2023-03-10 14:47:05,,"just a statement, nothing negative",P_Neutral,2023-03-10 14:49:45,,"Statment, no direct opinion",P_Neutral,We agree here. P_Neutral.,"Statment, no direct opinion. P_Neutral",P_Neutral,
325,"Skupaj postavimo temelje krožnemu gospodarstvu, zasledujmo strategijo »zero waste«, snujmo izdelke in proizvode, da jih lahko popravljamo in ponovno uporabljamo ter učinkovito recikliramo.",2023-03-10 14:47:13,,"No opinion, again just a statement by the speaker",P_Neutral,2023-03-10 14:51:05,,"Positiv statment and opinion, overall the statment is talkin about greater good so it's postiv",Positive,"I agree with Anže, although there is no opinion and the sentance is just a statrement, it is a very positive sentance and therefor I'd change to Positive. ","Positiv statment and opinion, overall the statment is talkin about greater good so it's postiv. Positiv",Positive,
326,"Jaz bi rekel, da je kar prihajalo do namernih opustitev.",2023-03-10 14:47:34,,"clear opinion,with negative seniment",Negative,2023-03-10 14:52:52,,Negativ argumment and sentiment With direct opinion (Jaz bi rekel),Negative,We agree in Negative. ,Negativ argumment and sentiment With direct opinion (Jaz bi rekel). Negativ,Negative,
327,"To se je izvajalo zlasti v partizanskih enotah, kjer se je izvajalo mučenje sumljivih civilistov.",2023-03-10 14:48:40,,"Although no clear opinion by the speaker, the sentiment is very negative",Negative,2023-03-10 14:52:55,,Negativ argumment and sentiment. But no direct opinion,N_Neutral,"To me the second part is a very strong negative, so I have to lable this sentance as Negative. ",Negativ argumment and sentiment. But no direct opinion. N_Neutral,Negative,Majority rule
328,"Moram priznati, da skoraj ne vem, kje bi začel, ker imam veliko stvari, predvsem v smeri razočaranja nad dosedanjo razpravo marsikaterih poslancev.",2023-03-10 14:49:23,,"Negative sentiment, clearly expressed opinion and feelings of the speaker.",Negative,2023-03-10 14:53:41,,Negativ argumment and sentiment. With direct opinion (Moram priznati),Negative,We agree on Negative. ,Negativ argumment and sentiment. With direct opinion (Moram priznati). Negativ,Negative,
329,"Sedaj se s temi ukrepi, s temi postopki, ki se jih prinaša predvsem na področju pravosodja, zadeve dražijo.",2023-03-10 14:49:41,,"Negative theme, just a statement",N_Neutral,2023-03-10 14:53:42,,Negativ argumment and sentiment. With direct no opinion,N_Neutral,We agree on N_Neutral. ,Negativ argumment and sentiment. With direct no opinion. N_Neutral,N_Neutral,
330,"Ampak celo kolega Breznik ve, da je v ameriškem pravu to že 30 let resna debata pod Privacy Issues, lahko rečem, vsebinskim poudarkom.",2023-03-10 14:50:30,,"Just a statement, nothing I'd consider negative looking at this sentance alone.",P_Neutral,2023-03-10 14:54:10,,Negativ argumment and sentiment. With direct opinion/ argumment,Negative,"Here I'd change from positive to negative sentiment, but I don't see explicit, hardcore opinion. I'd change to N_Neutral.",Negativ argumment and sentiment. With direct opinion/ argumment. Negativ,N_Neutral,Majority rule
331,"Mislim, da je to zelo pohvalno, čeprav se mi zdi, da bo lahko jutri prišlo Računsko sodišče, pa bo ocenilo poslovanje Soda kot negospodarno in nesmotrno.",2023-03-10 14:51:40,,"first part positive, second negative. Second part is stronger and sours the mood.",M_Negative,2023-03-10 14:54:34,,Negativ argumment and sentiment. With direct opinion (Mislim),Negative,"I'd have ti stick with my first opinion. ''Mislim da je to zelo pohvalno'' is for me too strong to just simply lable the sentance as Negative. M_Negative, ",Negativ argumment and sentiment. With direct opinion (Mislim). Negativ,M_Negative,Majority rule
332,"Popolnoma jasno je, da vas spoštujem in ne samo to; mislim, da bi bilo življenje brez vas pusto in prazno kot življenje brez čebel na svetu.",2023-03-10 14:52:34,1.0,sarcasm,Positive,2023-03-10 14:55:04,,Negativ statment and sentiment. With S,Negative,"Again the problem of taking the sentance as is or as I imagine it to be. Because here is the prime example of that. Without context this is a Positive sentance, with context it could possibly be Negative. How do we evauluate this? ",Negativ statment and sentiment. With S. Negativ,Negative(S),
333,"Sledi tistemu, čemur minister za kmetijstvo ne upa priti za to govornico in povedati slovenski javnosti in slovenskemu kmetu.",2023-03-10 14:53:09,,"negative sentiment by the speaker, resentful",Negative,2023-03-10 14:56:49,,Negativ statment and opinion,Negative,We agree on Negative. ,,Negative,
334,Nekaj malega pa ima že Ministrstvo za izobraževanje v svojem proračunu.,2023-03-10 14:53:19,,just a statemenet,P_Neutral,2023-03-10 14:58:14,,Negativ statment with. Opinion but very weak,Negative,"Again a similar problem as before. As is sentance or?? But in this case I really don't see the inherit negative sentiment, to me this is just a statement and if I had to choose (and evaluating the sentance ''as is'') I'd still choose P_Neutral.",Negativ statment with. Opinion but very weak. Negativ,P_Neutral,Majority rule
335,"Rad bi povedal tudi to, da je uradna prazna glasovnica škandal brez primere.",2023-03-10 14:53:32,,clear opinion with negative sentiment,Negative,2023-03-10 14:59:42,,Negativ statment with negativ opinion (škandal),Negative,We agree on Negative. ,Negativ statment with negativ opinion (škandal). Negativ,Negative,
336,"Vemo, da ste zaostrili sedaj ta boj, da ste umaknili, hočete imeti neka trdna zagotovila in ste si natančno ogledali projekt, kot pravite.",2023-03-10 14:53:59,,very weak negatve sentance,N_Neutral,2023-03-10 15:00:09,,,Negative,"Definitely a negative connotation, but I agree with Anže - very weak. N_Neutral. ","very weak negativ sentance, that's why i can agree with Tamara. N_Neutral",N_Neutral,
337,"Ljudje božji, manj kot dva milijona nas je.",2023-03-10 14:54:09,,sarcasm,Negative,2023-03-10 15:00:35,,"Negativ statment and opinion, could be meant as S",Negative,We agree on Negative. ,"Negativ statment and opinion, could be meant as S. Negativ",Negative,
338,"Javni zavod z izvajanjem trajnostih ukrepov prispeva k ohranjanju Škocjanskim jam in z uspešnim vključevanjem lokalnega prebivalstva v njegove aktivnosti, k razvoju celotne skupnosti na območju regijskega parka.",2023-03-10 14:54:18,,,Positive,2023-03-10 15:01:01,,Statment with no direct opinion,P_Neutral,"I'd agree with Anže's comment, but this is just an overly positive and hopeful sentance and not even  weak positive sentence. If need be I'd agree to P_Neutral, but I still stand that this is a very Positive sentance. ","Statment with no direct opinion, i can see any opinion as Tamara, thats why i stick with P_Neutral",P_Neutral,
339,"Pridobili smo tudi podatke, da so sodišča od leta 2004 pa do danes prisodila odškodnino 124 osebam v skupnem znesku milijon 838 tisoč 22,18 evra.",2023-03-10 14:54:38,,"Positve sentiment, just a statement",P_Neutral,2023-03-10 15:01:42,,"Positiv statment, with opinion (Pridobili smo)",Positive,"I don't really believe that the ''pridobili smo'' actually shows opinion. To me it just implies that they gained a set of informaton and this sentance offers those, rather objective and straightforward, informations. P_Neutral. ","Positiv statment, with opinion (Pridobili smo). Positiv",P_Neutral,
340,"Proslavljeni hrvaški rodoljub ima po tej logiki moralno pravico, da se ga ne povezuje z njegovo lastno ustvarjalnostjo.",2023-03-10 14:54:55,,"sarcasm, negative sentiment",Negative,2023-03-10 15:05:24,,"No direct opinion statment, with no direct opinion. But it's not very logic statment, but i think is on negativ side",N_Neutral,We agree on Negative + Sarcasm. ,"Yea I can agree on second reading it's is sarcasem, so Negative+S.",Negative(S),
341,Početje Srbov je bilo takrat odločilno v izidu plebiscita.,2023-03-10 14:55:40,,"nothing inherently negative in this sentance, just a statement",P_Neutral,2023-03-10 15:07:16,,Statment with no direct opinion,P_Neutral,We agree P_Neutral. ,Statment with no direct opinion. P_Neutral,P_Neutral,
342,Ministrici mag. Alenki Bratušek se za njen odgovor že v naprej najlepše zahvaljujem.,2023-03-10 14:57:51,,(could also be interpreted the other way),Positive,2023-03-10 15:07:47,,Statment with direct opinion in positiv side. But it could be ment as S,Positive,We agree on Positive. ,Statment with direct opinion in positiv side. But it could be ment as S. Positiv+ S?,Positive,
343,"Kremelj je uradno potrdil, da je bilo strmoglavljenje letala na Egiptom plod terorističnih dejanj.",2023-03-10 14:58:36,,"opinion of someone else, but very negative",Negative,2023-03-10 15:09:11,,No direct opinion and statment. But the theme is overall bad.,N_Neutral,"Opinion of someone else, but very negative. We agree with Negative. ",Agree with Tamara just a statment but on negativ side and it is opinion (of someone else) so Negativ,Negative,
344,"Torej, vidite argumentov ima tudi Slovenija do Evropske komisije kar nekaj.",2023-03-10 14:58:51,,just a statement,N_Neutral,2023-03-10 15:10:44,,Statment with the weak opinion.,Positive,"To me this is a negative theme. ''Argumentov'' as in ''pripomb''. I think that that has a negative connotation. That's why I must stick with negative connotation, but neutral stance. N_Negative. ","Statment with the weak opinion. I could be Neutral, but i would stay with P. Positiv",N_Neutral,Majority rule
345,"Vzpostavljena bo neka matičnaevidenca, vendar to še zdaleč ni to, kar smo predlagali.",2023-03-10 14:59:37,,"first part positive, second negative. second part wins.",M_Negative,2023-03-10 15:11:59,,Negativ statment and opinion,Negative,"I still see mixed here. 1. positive (they gained something that might be a part or a split of what they wanted), but it's not enough or not exatclly that, which they wanted. The second part is much overwhelming and that's why I chose M_Negative. ",Negativ statment and opinion.Negativ,M_Negative,Majority rule
346,"Glede vloženega amandmaja koalicijskih poslanskih skupin je povedala, da ni upoštevana njihova pripomba, da se ta dodatna uskladitev ne sme vnašati v 430. člen ZPIZ-2.",2023-03-10 15:00:16,,very weak statement with negative sentiment,N_Neutral,2023-03-10 15:12:26,,,P_Neutral,We agree on N_Neutral. ,"Agree with Tamara, very weak statement with negative sentiment. N_Neutral",N_Neutral,
347,"In še enkrat, dobri projekti ne dobijo denarja.",2023-03-10 15:00:39,,just a realistic statement with negative connotation,N_Neutral,2023-03-10 15:13:07,,Maybe S I am not 100% sure,Negative,If need be I'd change to Negative as we could see an implied opinion. ,"Maybe S I am not 100% sure, but it could be just a statment with no opinion, so negativ but it could be neutral. Negative",Negative,
348,"Drži tudi, da pravna podlaga, ki bi lahko pomenila pravno podlago za izplačilo takšne škode, je lahko le zakon.",2023-03-10 15:01:17,1.0,"very neutral, could also be negative",P_Neutral,2023-03-10 15:13:44,,No direct opinion and negativ statment,N_Neutral,I'd stick with my initial comment. P_Neutral.,No direct opinion and statment. P_Neutral,P_Neutral,
349,"Pred meseci smo posodobili zakon, ki ureja vprašanja jedrske škode in vprašanja, povezana z odgovornostjo za povzročeno škodo.",2023-03-10 15:01:44,,"neutral statement, nothing negative",P_Neutral,2023-03-10 15:14:18,,"Just a statment, but blunt opinion on positiv side",Positive,This one is really vague and weak to me. That's why I chose P_Neutral. ,"Just a statment, but blunt opinion on positiv side it could be Neutral. Positive",P_Neutral,
350,"Država je pač po pravilu stvari zanesljiv plačnik, zato pa rabi nekoliko več časa.",2023-03-10 15:02:27,,"very vague, with negative connotation in my opinion",N_Neutral,2023-03-10 15:14:51,,Statment with no direct opinion,P_Neutral,I agree with Anže's comment. N_Neutral. ,Statment with no direct opinion but it is Negativ i can agree with Tamara so i change it to N_Neutral,N_Neutral,
351,"Verjamem pa, da tudi v rebalansu proračuna niste ustrezno umestili tega, kar zahtevate kot dopolnilo.",2023-03-10 15:03:03,,"vague, but negative",N_Neutral,2023-03-10 15:15:22,,Negativ statment/argumment and opinion,Negative,"I'll agree with Anže here. Opinion is there, shown by example he gave. Senriment is negative. Negative. ","Negativ statment/argumment and opinion, I sens oinion ''Verjamem pa''. Negativ",Negative,
352,"In ko sem v teh zadnjih letih malo več hodil po podjetjih, moram reči, da sem zelo presenečen kako veliko pripadnost imajo delavci do določenih podjetij.",2023-03-10 15:03:24,,opinion is clear,Positive,2023-03-10 15:16:03,,Postiv statment and direct opinion ''moram reči'',Positive,We agree on Positive. ,Postiv statment and direct opinion ''moram reči''. Positiv,Positive,
353,"Tokrat so zatajili in nobene garancije ne bo, da ne bi tudi jutri zatajili.",2023-03-10 15:03:50,,negative opinion,Negative,2023-03-10 15:16:29,,Negativ argumment and for sure negativ direct opinion,Negative,We agree on Negative. ,Negativ argumment and for sure negativ direct opinion. Negativ,Negative,
354,"Spomnite se projektov regijskih odlagališč, kjer je bila zgodba podobna.",2023-03-10 15:05:15,,"it might be different, but just this sentance has nothing inherently negative",P_Neutral,2023-03-10 15:16:55,,Statment with no direct opinion,P_Neutral,We agree on P_Neutral. ,"Statment with no direct opinion, but on positiv note. P_Neutral",P_Neutral,
355,"Gospod Soniboj, veste, različni kazalci so o neki inteligenci, ena od njih je tudi čustvena pa tudi empatija.",2023-03-10 15:06:13,,maybe some sarcasm,Negative,2023-03-10 15:17:15,,Negativ maybe S,Negative,We agree on Negative + sarcasm. ,"Negative, maybe S not because of the statment, but the way it's present at begging ''Gospod Soniboj''. Negative+S",Negative(S),
356,Olajšave oziroma oprostitve v zvezi z zakonom o dohodnini - nameni: humanitarne in dobrodelne dejavnosti.,2023-03-10 15:07:20,,"what is this sentance. vague, nothing negative",P_Neutral,2023-03-10 15:17:29,,,P_Neutral,We agree on P_Neutral. ,"Agree with Tamara: what is this sentance. vague, nothing negative. P_Neutral",P_Neutral,
357,"Če bo Mercator slučajno Merkur reševal, je vprašanje, če ne bosta celo oba potonila.",2023-03-10 15:07:37,,opinion of the speaker,Negative,2023-03-10 15:17:55,,Negativ statment and opinion,Negative,We agree on Negative. ,Negativ statment and opinion. Negativ,Negative,
358,"Nihče ne reče nič, rečete pač, da ne boste posegali v to, ko pa kdo naredi kakšno drugo napako, smo pa takoj glasni.",2023-03-10 15:09:23,,sarcastic,Negative,2023-03-10 15:18:21,,Negativ argument and direct opinion,Negative,We agree on Negative. ,Negativ statment and opinion. Negativ,Negative,
359,"Taki tvegani posli so bili tudi krediti cerkvenim holdingom in domačim tajkunom, ki so povzročili zadnjo slovensko bančno krizo.",2023-03-10 15:10:16,,,Negative,2023-03-10 15:18:48,,"Negativ topic and statment, but no direct opinion",N_Neutral,"We definitely need to clarify whether statement that have no direct opinion,but with a very negative connotation can be labeled as Negative/Positive or must it always be Neutral. Here the theme is very negative and maybe opinion is not really there, but I'd still consider this Negative. ","Negativ topic and statment, but no direct opinion. N_Neutral",Negative,Majority rule
360,Po enem letu vključenosti v ta način zdravljenja kažejo analize urina zmanjšanje uporabe heroina pri 80 do 90 % zdravljenih pacientov.,2023-03-10 15:11:01,,"positve consequence, just a statememt",P_Neutral,2023-03-10 15:19:27,,,P_Neutral,We agree on P_Neutral. ,Positiv overall no direct opinion. P_Neutral,P_Neutral,
361,In da nasilje ne prinese kaj dobrega in sam sem ga pripravljen samo v eni točki zagovarjati.,2023-03-10 15:11:56,,,N_Neutral,2023-03-10 15:20:32,,Statment with direct opinion ''sam sem'',Positive,"Hmm. I agree with Anže's comment, but I am not sure that I'd push it to the Negative label. It just lacks something. N_Neutral, but I'd change to Negative. THIS SENTANCE MAKES NO SENSE!","Statment with direct opinion ''sam sem'', but i would change it to negativ side because of the topic and sentiment of the statment. Negativ",Negative,
362,"Lahko bi to naredili ne glede na vse pripombe, ki jih imamo.",2023-03-10 15:12:31,,first part positive trumps second part negative,M_Positive,2023-03-10 15:21:33,,,Negative,We agree on M_Positive. ,Yes as Tamara wrote: first part positive trumps second part negative. M_Positive,M_Positive,
363,"Dokapitalizacija in s tem višji osnovni kapital bo zagotovo omogočal posojanje višjih zneskov podjetjem, kar bo pomenilo večjo in boljšo pomoč izvoznikom srednje in malim podjetjem.",2023-03-10 15:13:37,,"""bo zagotovo"" speakers opinion. positive sentiment.",Positive,2023-03-10 15:22:02,,Statment with no direct opinion,P_Neutral,I agree with Anže. The sentance is a bit vague. I'd change to P_Neutral. ,"I can't sense opinion as Tamara, so for me it's just a statment with no direct opinion. P_Neutral",P_Neutral,
364,"Z izdajo odredbe, da se zaustavi predajo orožja, je zavlačeval tri oziroma štiri dni, dokler večina tega orožja ni bila pobrana.",2023-03-10 15:14:00,,,Negative,2023-03-10 15:22:50,,Negativ with no direct opinion,N_Neutral,"Yes, I agree with Anže. I'd change to N_Neutral. ",Negativ with no direct opinion. N_Neutral,N_Neutral,
365,"Dosedanja dejstva namreč izkazujejo, da so za sedanji položaj kmetijstva najbolj zaslužne levosredinske vlade z Janezom Drnovškom, Borutom Pahorjem in Alenko Bratušek.",2023-03-10 15:14:46,,"ok could be negative, but as is and not context it's positive",Positive,2023-03-10 15:23:27,,Statment with no direct opinion,P_Neutral,"Again as is sentance. To me this is an overtly positive sentance, that expresses a positive sentiment. Positive.",Statment with no direct opinion. P_Neutral,P_Neutral,Majority rule
366,"V Državljanski listi pa se zavzemamo prav za transparentnost, racionalnost in jasnost na vseh področjih našega življenja.",2023-03-10 15:15:53,,"clear opinion, positive theme",Positive,2023-03-10 15:23:47,,,Positive,We agree on Positive. ,"clear opinion, positive theme. Positiv",Positive,
367,"Vemo, da je pomanjkanje izvajalskih organizacij, da je teh zelo malo, ki obvladajo ta posel in moram reči, dobivamo vse sorte stvari.",2023-03-10 15:16:11,,,Negative,2023-03-10 15:24:32,,Statment with no direct opinion but on postiv note,P_Neutral,"I agree with Anže. It's a bit vague to be strictly Negative, so I'd change to N_Neutral. ",Statment with no direct opinion but yea it's is Negativ. So N_Neutral,N_Neutral,
368,"Vsekakor, lani ni bilo pozebe, letos je pozeba kot dodatek, je pa lani bil tisti nesrečni plaz in Mangart in tako naprej, kar letos ni.",2023-03-10 15:16:36,,"statement stating a lot of things, negatove theme",N_Neutral,2023-03-10 15:25:08,,"No direct opinion, but over all theme is negativ",N_Neutral,We agree on N_Neutral. ,Statment with no direct opinion. N_Neutral,N_Neutral,
369,"Sam bom, tako kot kolegi iz Poslanske skupine nepovezanih poslancev, samooklicanih Lipa, nasprotoval Zakonu oziroma bom podprl veto.",2023-03-10 15:17:35,,"statement, too weak, opinion cleared, ""nasprotoval"" negative",N_Neutral,2023-03-10 15:25:39,,Statment with direct opinion,Positive,I agree with Anže and would stick with N_Neutral.,"Agree with Tamara: statement, too weak, opinion cleared, ""nasprotoval"" negative. So i change it to N_Neutral",N_Neutral,
370,"V preteklem mandatu sta vlada pa mogoče parlament naredila korak naprej pri odpravi razvojnega problema tega dela okolja Slovenije, torej savinjsko-šaleške pokrajine in tudi koroške pokrajine.",2023-03-10 15:17:49,,statement,P_Neutral,2023-03-10 15:26:30,,Statment with no direct opinion but on positiv side,P_Neutral,We agree with P_Neutral. ,Statment with no direct opinion but on positiv side. P_Neutral,P_Neutral,
