id,text,timestamp_tamara,flagged_tamara,comment_tamara,tag_tamara,timestamp_anze,flagged_anze,comment_anze,tag_anze,timestamp_katja,flagged_katja,comment_katja,tag_katja,rev_tamara,rev_anze,rev_katja,final_tag,notes,disagreement
11,"To je argument, ki bi ga bilo treba presoditi, vendar ne sodi v to zakonodajo, ampak v delovnopravno in morda socialno zakonodajo.",2023-02-23 10:15:06,,,P_Neutral,2023-02-23 10:14:31,,His/her argumennt,N_Neutral,1677144157,,Neutral,,First statement positive,His/her statement,Neutral but with slight negative second part of the statement,N_Neutral,,
12,"Če pa pri tem potunkamo še kakšnega ministra, pa še toliko bolje.",2023-02-23 10:18:17,,Sarcasm,,2023-02-23 10:14:45,,S,Negative,1677144200,,Sarcasm,,,,,Negative(S),,
13,Seveda mi predvsem želimo v tem delu mladim in mladim družinam olajšati začetek njihove samostojne poti.,2023-02-23 10:18:43,,,Positive,2023-02-23 10:15:01,,,Positive,1677144265,,"Statement, but highlights the positive changes",Positive,,,,Positive,,
14,"Zato vas lepo prosim, da v tem oziru ne zavajate.",2023-02-23 10:18:53,,,Negative,2023-02-23 10:15:25,,Maybe S,Negative,1677144271,,,Negative,,,,Negative,,
15,"Te so bile različnih političnih barv in okusov ter so se razprostirale po celotnem spektru – levo, sredina in desno.",2023-02-23 10:19:33,,"No opinion by speaker, no context.",P_Neutral,2023-02-23 10:19:09,,His/her toughts about politic parties,P_Neutral,1677144347,,"Neutral statement, no authority/personal pronouns, no underlying sentiment.",,"No opinion by speaker, no context.",His/her toughts about politic parties,"Neutral statement, but I agree that it has more positive connotation than negative.",P_Neutral,,
16,"V njej je predstavljena nova trajnostna in vključujoča strategija za rast, katere cilji so spodbuditi gospodarstvo, izboljšati zdravje in kakovost življenja ljudi ter poskrbeti za ohranitev našega življenjskega okolja.",2023-02-23 10:20:13,,No opinion by speaker.,P_Neutral,2023-02-23 10:19:30,,,Positive,1677144373,,,Positive,"No opinion by speaker, no context.","Neutral statement, but highly positive connotation","Neutral statement, but highly positive connotation",Positive,,
17,"Saj to ne pomeni, da bomo postali suicidalni, to pomeni, da moramo najti nek optimizem v tem praznem prostoru.",2023-02-23 10:20:56,,Sarcasm?,M_Negative,2023-02-23 10:20:06,,S,P_Neutral,1677144489,1.0,"First part negative, second part highlights necessity of finding positive things in it, but it still rather negative",M_Negative,"First part negative, second part highlights necessity of finding positive things in it, but it still rather negative",Statement with sarcasm,"First part negative, second part highlights necessity of finding positive things in it, but it still rather negative",M_Negative(S),,
18,"Že sam njihov obstoj bo dejavnik odvračanja za države in skupine, ki bi utegnile povzročiti neravnovesje v svoji regiji.",2023-02-23 10:23:25,,Could be neutral.,Negative,2023-02-23 10:20:34,,,Negative,1677144512,,,Negative,,,,Negative,,
19,"Največkrat je razlog za preseljevanje lakota, v zadnjem času tudi globalno segrevanje, vojne in slabe ekonomske razmere.",2023-02-23 10:23:54,,No opinion by speaker.,N_Neutral,2023-02-23 10:20:48,,,Negative,1677144559,,"Factual statement, but highlights war, crisis etc.",Negative,Agreement with Negative,,,Negative,,
20,"Pravilno ste ugotovili, da so za projekt predvidena sredstva kohezijskega sklada in operativni program razvoja okolja in prometne infrastrukture za obdobje 2007-2013 je pred nami.",2023-02-23 10:24:39,,no actual opinion by speaker.,P_Neutral,2023-02-23 10:22:01,,They are think same,P_Neutral,1677144634,,"Neutral - statement, no speakers opinion",,,,"Neutral statement, but I agree that it is more positive",P_Neutral,,
21,Ali zdaj ga je pa treba dejansko dobesedno uničiti?,2023-02-23 10:25:16,,Sarcasm,Negative,2023-02-23 10:22:31,,,N_Neutral,1677144651,,,Negative,,Agree with negative,,Negative,,
22,"In tega nisem doživela, in to je moje največje razočaranje.",2023-02-23 10:25:25,,,Negative,2023-02-23 10:22:55,,,M_Negative,1677144695,,Regret,Negative,,"Mixed, expresses regret",,Negative,,
23,"Pričakujemo, da bo z odločnim in strogim nadzorom število kršitev na teh področjih mogoče zmanjšati.",2023-02-23 10:25:47,,,Positive,2023-02-23 10:23:58,,,Positive,1677144797,,Speaker expresses expected (slightly) positive results,P_Neutral,,,I agree that it is more than just slightly positive,Positive,,
24,"Morda bi samo to omenila, da je verjetno praksa sodišč, ko ugotovijo, da so kršene človekove pravice, imajo seveda možnost odpraviti tako odločbo.",2023-02-23 10:26:23,,No opinion by speaker.,P_Neutral,2023-02-23 10:24:35,,,Positive,1677144879,,,P_Neutral,,Positive topic,,P_Neutral,,
25,"Ampak to, da si odločen, ne pomeni, da moraš biti zato še tudi jezen, sovražen ali kaj podobnega.",2023-02-23 10:27:46,,,N_Neutral,2023-02-23 10:24:58,,S,,1677144970,,"Statement, no opinion of the speaker (though of negative topic), seems a bit defensive",N_Neutral,,,,N_Neutral,,
26,"Ampak če se je to zgodilo, pa je kriv Državni zbor.",2023-02-23 10:27:54,,,Negative,2023-02-23 10:25:12,,,N_Neutral,1677144980,,,Negative,,Negative,,Negative,,
27,"Tukaj se delno strinjam s tem, kar je predlagatelj povedal, tudi če ne bi bil potomec začetnikov gasilstva v Sloveniji.",2023-02-23 10:28:35,,Possible sarcasm?,M_Positive,2023-02-23 10:26:59,,they don't completely agree,M_Positive,1677145065,,Partial agreement (of the speaker),P_Neutral,,,Agree that it is more mixed than neutral,M_Positive,,
28,"Amandmaja, dragi kolegi, res ne morem podpreti, zaupam pa ministru Virantu, da bo to čim hitreje izplačano, tako da bo čim manj boleče za državni proračun.",2023-02-23 10:29:14,,"Disagrees, but...",M_Negative,2023-02-23 10:27:39,,,Positive,1677145099,,"First part negative, second part positive (hope for positive and painless changes)",M_Positive,"Mixed sentiment, but it has more negative connotation",Agree that there are mixed sentiments,"First part negative, second part positive (hope for positive and painless changes)",M_Positive,,
29,"Vseskozi poslušamo besede, kako so vaši predlogi konstruktivni, kako želite tej vladi pomagati, ampak navesti eno lestvico in uvrstitev Slovenije označiti za sramotno za moje pojme ni konstruktivno.",2023-02-23 10:30:35,,,Negative,2023-02-23 10:27:59,,S,,1677145145,,Slight sarcasm,Negative,,,,Negative(S),,
30,"V razpravi je bilo največ pozornosti posvečeno določbam 6. in 7. člena, konkretno Svetu za avtorsko pravo.",2023-02-23 10:30:58,,No opinion by speaker.,P_Neutral,2023-02-23 10:28:20,,,N_Neutral,1677145175,,Neutral,,"Neutral, but I do not see a negative leaning","Neutral, with no particular sentiment","I hear no sentiment, but if I had to choose, maybe more on the negative side",N_Negative,,
31,"35 vojakov je pa majhen dim v veter, pa še vprašanje, kaj bo z njimi.",2023-02-23 10:31:26,,Sarcasm,,2023-02-23 10:28:51,,,N_Neutral,1677145216,,,Negative,,,,Negative(S),,
32,"Tisto, kar bo očitno povzročila ta koalicija, je gospodarski zlom Slovenije.",2023-02-23 10:31:34,,,Negative,2023-02-23 10:28:58,,,Negative,1677145225,,,Negative,,,,Negative,,
33,"In to bi rekel čudovito, vendar v tem času, v teh desetih letih se število splošnih zdravnikov ni nič spremenilo, število splošnih ambulant se ni nič povečalo.",2023-02-23 10:32:38,,"First sentance is positive by meaning of the words, second is negative.",M_Negative,2023-02-23 10:29:19,,,Negative,1677145363,1.0,"First part positive, but severe negative sentiment in the second part",M_Negative,,,,M_Negative,,
34,"Samo te tri, pa bo na svetu vladala taka harmonija, ki je ni večje na svetu.",2023-02-23 10:33:18,,sarcasm,,2023-02-23 10:31:10,,the speaker's opinion,P_Neutral,1677145399,,Sarcasm,,"""Harmonija"" (negative and sarcastic connotation)",Harmonija (slightly positive connotation in the meaning of the word),"Negative connotation, severe sarcasm",Negative(S),,
35,"Od teh 29 javnih zdravstvenih zavodov je kar 14 bolnic pridelalo izgubo v višini 19,3 milijona, 12 bolnic pa, čudež, poglejte, 2,8 milijona presežka.",2023-02-23 10:34:39,,sarcasm,,2023-02-23 10:31:55,,S,Negative,1677145485,,"Second part (""čudež, poglejte"")- sarcasm",,,,,Negative(S),,
36,"In ni res, da je vse tako rožnato; vprašajte župane, vprašajte poslance, policiste.",2023-02-23 10:35:01,,,Negative,2023-02-23 10:32:24,,the speaker's opinion,M_Negative,1677145517,,,N_Neutral,,Agree that it is negative sentiment,"I do not see mixed sentiment, agree that it is negative",Negative,,
37,"Predsednik računskega sodišča sicer, da ne bom rekel kako, bolj veličastno razlaga, da so poročila računskega sodišča namenjena obveščanju javnosti.",2023-02-23 10:35:36,,sarcasm,,2023-02-23 10:33:53,,S,,1677145528,,,Negative,,,"I missed the sarcasm in the initial annotation, def. sarcasm",Negative(S),,
38,"Imamo pa to področje vzorno zakonsko urejeno s temi praksami na nivoju Evrope, samo držati se moramo tega.",2023-02-23 10:35:58,,No actual opinion.,P_Neutral,2023-02-23 10:34:09,,,Positive,1677145540,,,Positive,Second part may as well be opinion - agree with positive,,,Positive,,
39,"In kot ste videli, smo v predlogu proračuna tudi dejansko namenili sredstva za izgradnjo železnic v naslednjem letu in še v prihajajočem letu 2011.",2023-02-23 10:36:21,,No actual opinion.,P_Neutral,2023-02-23 10:34:43,,,P_Neutral,1677145550,,,Positive,,,On second thought - it is more neutral that pure positive,P_Neutral,,
40,"Povsem nasprotujoči si začetni interesi so se na koncu uravnotežili in dobili smo kompromisni predlog, ki ga danes sprejemamo.",2023-02-23 10:36:45,,No actual opinion.,P_Neutral,2023-02-23 10:35:35,,in the end they all agreed,N_Neutral,1677145562,,,M_Positive,,I agree with P_Neutral,"More neutral than mixed, but I agree that it is of positive connotation",P_Neutral,,
41,"Tako da je zelo zanimivo poslušati takšno očitajoče stališče do SDS iz vaših ust, saj vemo, kdo so največji kritiki po navadi – tisti, ki zapustijo lastne vrste.",2023-02-23 10:37:00,,,Negative,2023-02-23 10:35:47,,S,,1677145585,,Sarcasm,Negative,Sarcasm,Sarcasm,Sarcasm,Negative(S),,
42,"Gre za tako hudo kršitev zakonodaje, ki ureja lokalno samoupravo, da zakon v takih okoliščinah predvideva skrajni ukrep, predčasno razpustitev občinskega sveta.",2023-02-23 10:37:09,,,Negative,2023-02-23 10:36:04,,,Negative,1677145594,,,Negative,,,,Negative,,
43,"To, da je prvi obveščevalec v odstopu, da si je takrat vzel dva meseca in za dva meseca si je osebno prisvojil tajno gradivo.",2023-02-23 10:37:48,,No opinion by speaker?,N_Neutral,2023-02-23 10:36:49,,accusations,Negative,1677145612,,,Negative,No opinion by the speaker - N_Neutral,Negative- accusation,"Accusation, also negative",Negative,,
44,Zlasti bo za uporabnike sistem elektronskih vinjet bolj prijazen v primeru poškodovanega oziroma razbitega vetrobranskega stekla.,2023-02-23 10:38:22,,,Positive,2023-02-23 10:36:59,,,P_Neutral,1677145624,,,P_Neutral,"No actual opinion, but positive",,"No actual opinion, but positive",P_Neutral,,
45,"Podcenjujoče je tudi do drugih in teh malih trikov, bom rekel, boljševističnih pač ne moremo sprejeti.",2023-02-23 10:38:42,,Sarcasm.,Negative,2023-02-23 10:37:49,,the speaker's opinion,Negative,1677145637,,,Negative,, boljševističnih - sarcasm,Sarcasm,Negative(S),,
46,"Uporni so tisti, ki so za TEŠ 6, uporni so tisti, ki niso za TEŠ 6.",2023-02-23 10:39:09,,,M_Negative,2023-02-23 10:38:08,,,N_Neutral,1677145687,,Might be slight sarcasm,N_Neutral,Two sentiments,,I do not see two sentiments,N_Neutral,,
47,"Nisem vas omenil, če ste pa to razumeli kot neke vrste žalitev ali napad na vas osebno, se vam pa najgloblje opravičujem.",2023-02-23 10:39:24,,Sarcasm,,2023-02-23 10:38:43,,Apology,Positive,1677145748,,,P_Neutral,Sarcasm,Apology (but because I cannot hear the sentence),"Yes, there might be sarcasm",P_Neutral(S),,
48,"Oni dajo denar za obresti in nobenega strahu ni, da tega denarja ne bodo dobili, ker bo jamčila država za te kredite in bo ta denar prišel nazaj.",2023-02-23 10:39:51,,,P_Neutral,2023-02-23 10:38:58,,,P_Neutral,1677145838,,,P_Neutral,,,,P_Neutral,,
49,"Predlagala sta določbo, ki bi omogočila, da se v eni lokalni skupnosti lahko ustanovi le en medijski svet.",2023-02-23 10:40:54,,Neutral!,N_Neutral,2023-02-23 10:39:59,,disagreement,M_Negative,1677145882,,Neutral,,"Not explicit feeling or opinion, but it is more negative than positive","Not explicit feeling or opinion, but it is more negative than positive",Negative connotation - N_Neutral,N_Neutral,,
50,"Varuh človekovih pravic tukaj to pripisuje predvsem poslabšanju življenjskih razmer prebivalcev zaradi, kot že rečeno in tudi mi ugotavljamo, splošne krize v državi.",2023-02-23 10:42:05,,,Negative,2023-02-23 10:40:28,,,Negative,1677145906,,,N_Neutral,,,"""Mi ugotavljamo"" - actual opinion; negative",Negative,,
51,"Jaz temu delu v celoti nasprotujem, mislim, da ni dovolj premišljen ukrep z vsemi možnimi učinki.",2023-02-28 10:58:59,,,Negative,2023-02-28 10:59:08,,,Negative,2023-02-28 10:58:57,,,Negative,Firm opposition - negative.,the speaker's argument,Opposition - negative.,Negative,,
52,"Izvršilna oblast, vaša naloga je izvršilna, operativna.",2023-02-28 11:00:05,,"No direct sentiment by the speaker. The statement itself is positive, there may be slight sarcasm.",P_Neutral,2023-02-28 10:59:45,,Secons part is kind of negativ,N_Neutral,2023-02-28 10:59:35,,"Statement, but sounds as criticism.",N_Neutral,"Okay, since I think I overlooked that it repeats ''izvršilna oblast'' twice. With that in mind I'd change the sentiment to Negative - repetition, but remain in the neutral category. N_Neutral",Secons part is kind of negativ,"Neutral statemenet, but second part implies criticism, N_Neutral.",N_Neutral,,
53,"Za katero pa se borimo, je možno, da nekoč dobimo nazaj.",2023-02-28 11:01:17,,"No direct opinio by the speaker, but I think its implied - positive.",Positive,2023-02-28 11:00:48,,No special filinga negativ or positive,N_Neutral,2023-02-28 11:00:17,,"Statement, but speaker weakly expresses hope",P_Neutral,Could be neutral since the opinion of the speaker is simply implied but not necessarily spoken or clearly shown. But the sentiment is definitely positive. P_Neutral,"Speakr opinion is mostly negativ, but it's not really positiv or negativ","As opinion is simply implied, I would stick with P_Neutral (I agree that the implied sentiment is positive)",P_Neutral,,
54,"Predlagani zakon ne pomeni bistvenih vsebinskih premikov, kljub temu pa ne moremo reči, da je nepomemben ali celo nepotreben.",2023-02-28 11:02:33,,"First part weak negative, second part positive.",M_Positive,2023-02-28 11:01:44,,The second part tells that the law is positiv,P_Neutral,2023-02-28 11:01:07,,"First part slightly negative, second part mostly positive.",M_Positive,Leans on the positive side (because of the second part) but it falls into the mixed category: first part is negative and second in positive. M_Positive,"First part slightly negative, second part mostly positive.","I agree that it has two (mixed) sentiments, first part negative, but second positive; M_Positive",M_Positive,,
55,"Torej, čez jarek ni mogoče skočiti v dveh skokih.",2023-02-28 11:03:17,,"Clear sarcasm, no actual opinion by speaker.",P_Neutral,2023-02-28 11:01:59,,S,Negative,2023-02-28 11:01:46,1.0,,N_Neutral,"Here I put positive, because without context I couldn't judge the positive/negative emotion, but since it's clearly sarcastic It is probably truly more on the Negative side. N_Neutral","Speakr opinion is mostly negativ,with a sarcasem","Reading it again, I agree that there is clear sarcasm, but I would still say it has negative sentiment; but am still unclear on the strenght of the sentiment; would suggest N_Neutral(S) or even Negative(S).",N_Neutral(S),,
56,"Ugotavljamo, da v zakonu pravzaprav vse predvidevajo sredstva, ki so znana že danes in jih pravzaprav se koristi za odpravo nesreč po neki ustaljeni praksi.",2023-02-28 11:05:45,,"No opinion by speaker, but implied positive connotation (sentiment and consequence)",Positive,2023-02-28 11:02:40,,Speaker opinion,P_Neutral,2023-02-28 11:02:56,,"Statement, but not negative per se.",P_Neutral,The sentance itself is positive. Positive or P_Neutral,"No opinion by speaker, but implied positive connotation (sentiment and consequence)","I still lean more on neutral position, but with expressed positive sentiment, P_Neutral.",P_Neutral,,
57,"Me zanima, kako pa zdaj bolnišnice vmes nabavljajo.",2023-02-28 11:07:33,,"Withouth context, a sarcastic question with negative connotation.",N_Neutral,2023-02-28 11:03:02,,S,Negative,2023-02-28 11:03:12,,Sarcasm.,N_Neutral,"A sarcastic question that leans on the negative side, but the speaker didn't really express opinion. N_Neutral","Speakr opinion is mostly negativ,with a sarcasem","I agree with Tamara, I would suggest N_Neutral; though the implied negative sentiment could also be purely Negative(S).",N_Neutral(S),,
58,"Tukaj se je nekako šlo na roko, da se to ne opredeljuje kot neke turistične zadeve.",2023-02-28 11:08:16,,"No opinion by speaker, negative connotation though.",N_Neutral,2023-02-28 11:04:08,,,M_Positive,2023-02-28 11:04:06,,,Negative,"No opinion by speaker, but ''neke turistične zadeve'' has a negative connotation for me. N_Neutral","The speaker is talking about some tourism matters, i.e. something that is positive for the country",I do agree that there is no directly expressed opinion by the speaker; but with negative connotation; would suggest N_Neutral,N_Neutral,,
59,"Se pravi, zgodila se je panika in v tem smislu so bili članki na nek način prerokba, ki se sama uresniči.",2023-02-28 11:08:36,,,Negative,2023-02-28 11:04:23,,Speaker opinion,M_Positive,2023-02-28 11:05:19,,"Statement, might be speakers' opinion, but not clear.",N_Neutral,"I stand by my negative declaration. The usage of the words ''panika'' and ''prerokba'', especially in this sentance makes me think it was meant as a negative thing. Negative",Speaker opinion,"Yes, I agree with Tamara and would change my N_Neutral to Negative.",Negative,,
60,"Nadaljnji razlog za sprejem tega zakona je, da je Vlada Republike Slovenije decembra leta 2000 sprejela pogajalsko izhodišče, vezano za področje 4, to je prost pretok kapitala.",2023-02-28 11:09:07,,"No opinion by the speker, seems positive connotation.",P_Neutral,2023-02-28 11:05:05,,The law was past,P_Neutral,2023-02-28 11:06:10,,"Statement, no opinion of the speaker.",P_Neutral,"No opinion, just a statement, but since there is nothing negative in it, I'd consider it positive. P_Neutral",Speaker opinion which is more positiv,Seems like we all agree with P_Neutral; I agree with explanation Tamara provided.,P_Neutral,,
61,"Če je prišlo pri vseh gimnazijah, vas prosim, spoštovani minister, če nas lahko seznanite z zakonsko podlago, na podlagi katere ste izvršili to znižanje.",2023-02-28 11:10:51,,"Sarcasm ""spostovani minister"", negative sentiment.",Negative,2023-02-28 11:05:44,,Argumennt,Negative,2023-02-28 11:06:46,,Sarcasm,Negative,Sarcastic and negative. ,Negativ sarcasem,We're in agreement - Negative(S),Negative(S),,
62,"Ampak pomemeben poudarek pri tem, kar je zame osebno bolj pomembno, ker teh odstotnih točk smo bili nekako vajeni v prejšnji vladi in ljudem niso kaj veliko pomenile.",2023-02-28 11:12:28,1.0,Hard to judge with no context.,M_Negative,2023-02-28 11:06:51,,Argumennt,M_Negative,2023-02-28 11:08:14,,"Speakers opinion expressed, but not clear what that opinion is.",N_Neutral,"Weirdly phrased statement: mixed because: ''zame bolj pomembno'' is positive, but second part is negative. M_Negative",It's an argumennt with no context.,"Rereading the sentence, I can see the mixed sentiment, agree with Tamara (first part positive, second part negative); agree with M_Negative",M_Negative,,
63,"Je pa po navadi osebnostno izčrpavanje hujše, ko človek ve, da nekaj ne dela dobro; takrat je veliko bolj izčrpan kot sicer, to pa vam lahko povem.",2023-02-28 11:12:44,,,Negative,2023-02-28 11:07:42,,Speaker opinion,M_Negative,2023-02-28 11:08:37,,,Negative,Both parts very negative. ,"Speaker opinion, 
I agree with Katja's comment","Expressed opinion, overall tone of the sentence is very negative; Negative",Negative,,
64,"Tudi v razpravi o primeru Zavgajev vladna politika ni dovolila, da bi navadno človeško sočutje do čečenskih žrtev kakorkoli vplivalo na politično odločitev.",2023-02-28 11:13:03,,Clear negative.,Negative,2023-02-28 11:08:27,,Argumennt on the topic of war,Negative,2023-02-28 11:09:14,,Possible sarcasm?,Negative,Negative.,"Argumennt on the topic of war, which is negativ","I cannot see mixed sentiments in the sentence, I would stand with Negative",Negative,,
65,"To sporočate ob tem zakonu in važno je, da veste, kaj vam sporoča minister, ki naj bi skrbel za vas.",2023-02-28 11:14:31,1.0,"First part could be positive, second negative. Could also be positive sentiment.",M_Negative,2023-02-28 11:09:09,,,N_Neutral,2023-02-28 11:10:41,,"No speakers opinion, but tone is slightly negative.",N_Neutral,"I'd change to neutral negaitive, because no opinion by speaker. N_Neutral","I'd change to neutral negaitive, because no opinion by speaker. N_Neutral",No opinion of the speaker; tone negative; I would keep N_Neutral,N_Neutral,,
66,"Našteto seveda ima za posledico proračunski primanjkljaj in potrebo po dodatnem, a vendar še obvladljivem zadolževanju.",2023-02-28 11:15:28,,Second part (positive) is maybe stonger the first (negative).,P_Neutral,2023-02-28 11:10:49,0.0,Speaker opinion,N_Neutral,2023-02-28 11:11:26,1.0,No speakers opinion.,N_Neutral,I considered ''še vedno obvladljivem'' as overall positive. P_Neutral,speakers opinion mostly negativ because of the word ''posledico''.,"I would change my initial tag to P_Neutral, as I agree that the subject might be negative, but as Tamara said, ""še vedno obladljivem"" is still positive, which changes the tone of the sentence.",P_Neutral,,
67,"Zato še enkrat ponavljam: rešitev je na mestu, je pa preskromna, premalo ambiciozna in nezadostna.",2023-02-28 11:16:33,,"The ""resitev je na mestu"" is positive, but second part is much stronger in the negative sentiment.",Negative,2023-02-28 11:11:11,,,Negative,2023-02-28 11:12:15,,"First part positive, but very negative in the second part.",M_Negative,"The ""resitev je na mestu"" is positive, but second part is much stronger in the negative sentiment.","Speaker opinion, which is mostly negativ espesicaly the second part","I would agrue there are still mixed sentiments in the statement, but yes, the second part is very strong  - I would change my initial tag to Negative",Negative,,
68,"Zdaj pa, prvič v zgodovini UKC Ljubljana takšna izguba, 25-milijonska.",2023-02-28 11:16:41,,,Negative,2023-02-28 11:11:26,,,Negative,2023-02-28 11:12:22,,,Negative,"No comment, strong negative.",Agree with Tamara in Katja,Strong negative; Negative,Negative,,
69,220 milijonov evrov letno za potrebni vsakoletni prihranek za doseganje srednjeročnega javnofinančnega cilja.,2023-02-28 11:17:48,,No opinion by speaker. A lot of money - may be negative sentiment.,N_Neutral,2023-02-28 11:11:56,1.0,,P_Neutral,2023-02-28 11:13:38,,"Factual statement, but implies negatve consequences, no direct opinion of the speaker.",N_Neutral,"No opinion by speaker, but negative sentiment. N_Neutral","No direct opinion of the speaker, the second part is for me positiv because of the words ''doseganje cilja''","Statement, no direct opinion by the speaker, with negative sentiment - N_Neutral",N_Neutral,,
70,"Nobenega razloga ni, da bi socialno šibki najemniki pokrivali stroške davka za lastnike, ki so z denacionalizacijskimi postopki pridobili včasih tudi zelo veliko premoženje.",2023-02-28 11:18:21,,"No opinion, but implied negative.",Negative,2023-02-28 11:12:21,,Speaker opinion,Negative,2023-02-28 11:14:36,1.0,Implied opinion of the speaker.,Negative,"No direct opinion (may be implied), but strong negative sentiment. ","No opinion, but implied negative.",We're in agreement - Negative,Negative,,
71,"Hvala lepa in to sem samo želela pojasniti, zato sem vpisovala napore v zvezi z amandmaji.",2023-02-28 11:18:43,,,Positive,2023-02-28 11:12:44,,S,Negative,2023-02-28 11:15:27,,"No direct opinion, implied positive sentiment.",P_Neutral,"Nothing that I would consider negative. At  most I'd change to neutral, but still with a positive sentiment. P_Neutral","The sign was changed to N- Neutral, since the speaker does not express an opinion, but it seems to me that the sentence was still intended as sarcasm (which could only be understood from the recording of the speech)","I cannot see negative sentiment in this, I would say that without the context, I would stick with P_Neutral.",P_Neutral,,
72,"To podpiše vsak državni sekretar na Ministrstvu za finance, ne samo mag. Saša Jazbec, Natalija Kovač Jereb, Metod Dragonja in mag. Alojz Stan.",2023-02-28 11:18:53,,,Positive,2023-02-28 11:13:12,,Speaker opinion,N_Neutral,2023-02-28 11:16:12,,"Sarcasm, no direct opinion.",N_Neutral,"Why is this positive?? Second part has a negative sentiment, may be some sarcasm. N_Neutral",Just Speaker opinion,"I would stick with my argumentation and tag in the Comments, no direct opinion with negative connotation and sarcasm.",N_Neutral(S),,
73,"Policist bo ostal pa isti, ker bo to delal 30 in več let, in se praska po glavi, ali je nekaj vznemirljivo ali ni vznemirljivo.",2023-02-28 11:19:31,,Sarcasm.,Negative,2023-02-28 11:13:41,,S,Negative,2023-02-28 11:17:08,,Sarcasm. No directly expressed opinion of the speaker.,N_Neutral,Very negative + sarcasm. ,Very negative + sarcasm. Agree with Tamara,"I do agree it is negative and with implied speakers opinion, I would change my tag to Negative(S)",Negative(S),,
