Method,Score
mean,3.6399353742599487
mean,4.011457443237305
mean,3.254060697555542
mean,3.248352640204959
mean,3.578360438346863
mean,3.5588512818018594
mean,3.5091223186916776
mean,3.235744206110636
mean,3.969346046447754
mean,3.6574172973632817
mean,3.3346056175231933
mean,1.7081231623888014
mean,3.2360201098702173
mean,3.0873331705729163
mean,2.900653886795044
mean,1.3779934981083937
mean,3.282976627349853
mean,1.9880699343979356
mean,3.743957996368408
mean,2.023284735956362
mean,3.400595664978027
mean,3.4535802602767944
mean,2.5126697591372893
mean,2.381210495830224
mean,3.098248958587646
mean,2.6055716814533354
mean,1.844617236186476
mean,3.493833144505819
mean,1.610638996078209
mean,0.386525720357894
mean,3.426095283948458
mean,3.799753189086914
mean,2.7183396021525064
mean,2.937811776995659
mean,3.1185007691383357
mean,3.205696165561676
mean,2.836132526397705
mean,1.5428516410968518
mean,1.888917703398863
mean,3.544070243835449
mean,3.3521202564239503
mean,2.243492290377617
mean,2.6146485060453415
mean,4.062575578689575
mean,3.154235045115153
mean,3.854993820190429
mean,3.3739768862724304
mean,3.496385097503662
mean,1.173781135274718
mean,3.119367599487304
mean,2.1860831334040713
mean,3.5641853332519533
mean,2.7933979034423833
mean,0.8913153863917938
mean,3.314751360151502
mean,3.3240291595458986
mean,2.2031016295154884
mean,3.1440194967118176
mean,3.1865832465035573
mean,1.3590398782920925
mean,3.3665008544921875
mean,3.6554922064145408
mean,2.5332677409052846
mean,3.69586173693339
mean,3.5294559001922607
mean,1.2531503398683574
mean,3.188077656428019
mean,2.1362174891612744
mean,2.232588835969203
mean,3.787081241607666
mean,2.406291007995605
mean,3.4929683208465576
mean,3.437232812245687
mean,4.028658390045166
mean,3.762824177742004
mean,4.113291331699917
mean,3.581496477127075
mean,2.9755761623382573
mean,1.36712421203653
mean,2.425691001117229
mean,3.6375911235809326
mean,3.582158009211222
mean,3.57409143447876
mean,1.6908101527814694
mean,2.795474328100681
mean,1.9873979210853576
mean,3.0994684423719128
mean,1.1472610847817526
mean,3.490597407023112
mean,1.5695806145668023
mean,2.936589320500692
mean,3.677618741989136
mean,2.993079235920539
mean,3.699972629547119
mean,3.2606115341186523
mean,3.9993056058883663
mean,2.5005608235414205
mean,2.440028835265409
mean,2.9847138214111326
mean,2.951014995574951
mean,3.102677239312066
mean,3.5690377950668335
mean,4.113067865371704
mean,1.7736748315926103
mean,2.8931637605031333
mean,1.9424409238355496
mean,1.5814151139929888
mean,2.863735014572739
mean,2.084936145941416
mean,2.5113079786300654
mean,2.1160687506198883
mean,2.8559736842289567
mean,1.2979961984287136
mean,1.760371502488851
mean,2.4604305779111795
mean,4.510695457458496
mean,2.9480868469585064
mean,3.751655817031861
mean,3.616323471069336
mean,3.2152649164199825
mean,3.730082392692566
mean,3.499151110649109
mean,2.33805573079735
mean,3.5269336700439453
mean,3.146728682518005
mean,3.644668499628702
mean,3.355369567871093
mean,3.8923321962356567
mean,2.63689261674881
mean,3.659021615982055
mean,3.778054475784301
mean,3.8101980686187744
mean,3.686570962270101
mean,3.3734246492385864
mean,0.276498734951019
mean,4.082499027252197
mean,1.9135934607184024
mean,3.60085662206014
mean,3.827409863471985
mean,1.24541621412272
mean,3.8190947771072383
mean,2.825501441955566
mean,2.576549018067973
mean,2.2595297070220113
mean,2.485686446750356
mean,3.001097202301025
mean,2.867473179101944
mean,2.5150459664208547
mean,3.1006701463147213
mean,3.9198489189147945
mean,3.4621554017066956
mean,3.7000927925109863
mean,3.824221611022949
mean,3.803091049194336
mean,3.480858325958252
mean,2.0389441727277107
mean,3.568883895874023
mean,4.109209179878235
mean,1.6344040273516265
mean,1.8012201614744427
mean,3.770158608754476
mean,2.8028422236675397
mean,3.5040679772694907
mean,3.0556516647338867
mean,3.777683854103088
mean,3.2545608997344972
mean,1.9079441063774696
mean,1.9975173257823495
mean,2.9409832954406743
mean,3.1017732620239262
mean,3.186547517776489
mean,3.4941965341567993
mean,1.7075502574443815
mean,2.9774715650607555
mean,2.414980930835008
mean,3.4820220470428467
mean,1.3278429722413418
mean,3.6067874431610103
mean,4.051283001899719
mean,3.683300495147705
mean,2.7997503626346583
mean,1.5629905658463632
mean,3.056412709941124
mean,2.2041159676653996
mean,3.101127862930298
mean,3.5772812366485596
mean,3.1609270057894965
mean,2.698332680123193
mean,3.14197301864624
mean,3.439775943756103
mean,2.4411531502292267
mean,4.1075119972229
mean,3.700763702392578
mean,3.787064620426723
mean,3.981463670730591
mean,1.965950754160682
mean,2.4497034420137815
mean,3.139192169904709
mean,2.8502418597539267
mean,2.503714631729085
mean,3.404491424560547
mean,3.311217546463012
mean,3.5756781101226807
mean,2.278394719958305
mean,3.490616798400879
mean,3.6369975805282593
mean,3.55228042602539
mean,3.725651661554972
mean,3.748311638832092
mean,3.552776336669922
mean,1.6213057061960527
mean,2.8183345976803036
mean,1.9880059866968969
mean,2.005261055686894
mean,4.480865716934204
mean,3.099661827087402
mean,3.126426488161087
mean,2.273979895881244
mean,2.776013523340225
mean,2.7214986764722395
mean,0.1441189050674435
mean,2.031233357583604
mean,2.9364080601616904
mean,2.6789063215255733
mean,3.281438261270522
mean,3.1898334026336665
mean,2.2222713232040405
mean,3.157368779182433
mean,3.825426816940307
mean,3.1813427209854126
mean,3.018895626068115
mean,3.743348836898804
mean,2.969677045941353
mean,3.6052282452583313
mean,2.779559617457182
mean,2.318480564902226
mean,3.026159511009852
mean,3.4972895979881287
mean,3.594742774963379
mean,3.627164435386658
mean,3.2527058919270835
mean,3.913956244786581
mean,2.1616070458872447
mean,3.4616506099700928
mean,3.3619166287508877
mean,3.614858945210775
mean,3.183632969856262
mean,4.084590435028076
mean,3.1208702325820923
mean,3.670464038848877
mean,3.1061952114105225
mean,1.3383625913411374
mean,3.765149593353271
mean,2.59816929272243
mean,2.250338717550039
mean,1.0193911768934305
mean,1.2822866539160402
mean,2.381238460540771
mean,3.733832597732544
mean,2.9632387310266495
mean,1.845210811677011
mean,1.9995071044191717
mean,2.0217853784561157
mean,1.1571865809075104
mean,1.673492669511367
mean,3.2062398062811956
mean,2.5864612885883873
mean,3.595953345298767
mean,2.0035713016986847
mean,2.881279067397118
mean,3.065534690022468
mean,3.201972961425781
mean,3.025284767150879
mean,3.1823388735453286
mean,1.6349148232312427
mean,2.321094525357087
mean,2.6514391438527536
mean,3.5389325618743896
mean,3.702312171459198
mean,2.8477646020742564
mean,3.320719242095947
mean,3.63169527053833
mean,3.819547653198242
mean,2.3516934275627133
mean,2.4492402747273445
mean,2.6771693713963027
mean,3.8621983528137207
mean,2.2532469954341647
mean,3.4490596453348794
mean,2.9700113435586295
mean,2.238431347771124
mean,3.6266170660654704
mean,3.9917454719543457
mean,3.3513073444366457
mean,3.439749240875244
mean,4.087155103683472
mean,3.4719568061477997
mean,3.643579244613647
mean,3.069579839706421
mean,2.8660782873630524
mean,2.788158051048716
mean,3.7162270545959473
mean,2.0746373878075524
mean,3.1449078619480133
mean,3.4599407513936353
mean,3.537385861078898
mean,3.260598838329315
mean,3.557453632354736
mean,3.4542896747589107
mean,2.905972963199019
mean,3.074343681335449
mean,3.468189398447672
mean,3.1032328605651855
mean,2.890678644180298
mean,3.472338914871216
mean,3.157454776763916
mean,2.8835413924285342
mean,3.8324873447418217
mean,3.204072141647339
mean,2.3934905761852856
mean,3.725853681564331
mean,2.653001308441162
mean,2.58664870262146
mean,2.399044147133827
mean,3.1180699328158763
mean,3.698057532310486
mean,3.301620994295393
mean,3.636926344462803
mean,2.7189500071108337
mean,1.7708530775431923
mean,2.7271718978881836
mean,3.3488615681143368
mean,1.4227802721517422
mean,4.024543523788452
mean,4.095789432525635
mean,2.0200531942149
mean,3.0254311185134086
mean,2.7770193576812736
mean,2.4273361493098107
mean,3.717211067676544
mean,2.650169671154939
mean,3.132076501846313
mean,3.514008124669393
mean,1.4562373345096904
mean,4.087155103683472
mean,2.13925552368164
mean,3.075295116590417
mean,1.8077449450890215
mean,3.1674986680348716
mean,0.7131242156028741
mean,2.3701261488720773
mean,2.5403588937165646
mean,3.9679960012435913
mean,1.501981272901359
mean,3.799413919448853
mean,3.4044792652130127
mean,3.6125505765279127
mean,3.4385228951772056
mean,3.4976364374160767
mean,2.4928404092788696
mean,2.7739776725118808
mean,1.5404672429431228
mean,1.653677717298269
mean,2.5183723686319404
mean,3.351010719935099
mean,2.1325055658817287
mean,2.949683209260305
mean,1.9035232712825136
mean,3.29220199584961
mean,3.1872768998146057
mean,2.056788183667737
mean,2.937055736780166
mean,1.963015689350226
mean,2.4320989449818926
mean,1.7190540961921217
mean,2.7209576964378352
mean,2.8683766523996987
mean,2.9784340940672775
mean,3.661247730255127
mean,1.993827858008444
mean,3.151106357574463
mean,2.670279274384181
mean,2.6738150384691024
mean,1.9945276796817777
mean,3.1581599712371826
mean,3.230027437210083
mean,2.6665409803390503
mean,2.072175502777099
mean,1.9316957667469976
mean,3.3568151791890464
mean,3.055491924285888
mean,3.766245683034261
mean,2.543885170260355
mean,3.456806739171346
mean,3.1595082680384317
mean,3.3766892751057935
mean,1.336510269665731
mean,3.2291244665781655
mean,3.263611793518066
mean,2.610291802883148
mean,1.9281753133982416
mean,3.756783008575439
mean,3.4626053969065347
mean,3.4170557657877603
mean,2.2523554870310947
mean,3.1275393962860107
mean,3.7296607494354257
mean,2.624624252319336
mean,3.21125590801239
mean,3.3423744440078735
mean,3.010572910308838
mean,2.4403184089395733
mean,3.6537976264953618
mean,3.785446511374579
mean,3.778939366340637
mean,2.485716223716736
mean,3.111052989959717
mean,3.712543249130249
mean,3.676356554031372
mean,1.1045778203679586
mean,3.999323844909668
mean,3.787820577621459
mean,2.7211840152740474
mean,2.6768999246082137
mean,3.5564540794917514
mean,1.213037210796028
mean,3.2956228733062742
mean,2.6612056257824097
mean,3.39781904220581
mean,2.6755613505840303
mean,0.167860954999923
mean,3.6600183248519897
mean,2.776118755340576
mean,1.7194344316210064
mean,0.6696295739151533
mean,3.515463709831238
mean,3.427144447962443
mean,2.311774718761444
mean,3.064667224884033
mean,2.424595127503077
mean,2.988246488571167
mean,1.8980285386470228
mean,3.6068289279937744
mean,3.6864655017852783
mean,2.3088114038109775
mean,3.3394599676132204
mean,2.048696209878643
mean,3.2219035733829844
mean,3.532149871190389
mean,3.402709166208903
mean,3.269941508769989
mean,3.4178903102874756
mean,3.3450871308644614
mean,3.5492784182230626
mean,3.156832218170166
mean,3.125943740208944
mean,3.664695143699646
mean,3.6636561155319214
mean,3.6636147499084473
mean,3.3421664237976074
mean,3.4276533722877502
mean,3.613444169362386
mean,3.474048256874084
mean,2.8855532010396314
mean,3.789350271224976
mean,3.721648693084717
mean,3.4964932600657144
mean,3.436224460601806
mean,3.4008731842041016
mean,2.2275257665663957
mean,3.5726219415664673
mean,2.8210749626159672
mean,2.608667373657226
mean,3.588015556335449
mean,3.814255714416504
mean,1.8923031128942964
mean,3.481789793287005
mean,2.0598906215566855
mean,2.781286916732788
mean,3.2735866705576577
mean,2.9167971611022945
mean,3.00946044921875
mean,1.8439541980337637
mean,3.756065209706625
mean,2.8386644635881697
mean,2.8548969984054566
mean,1.8674349005405717
mean,2.789605617523193
mean,3.0987593302359944
mean,3.211754262447357
mean,2.107284307479858
mean,2.0259886544484353
mean,2.368663937530734
mean,3.799540281295776
mean,2.638034634865247
mean,4.335218032201131
mean,2.045835171001298
mean,3.057072833180427
mean,2.7995766103267665
mean,2.176459227821657
mean,3.5255095958709717
mean,2.254154313462121
mean,2.0420311955468993
mean,3.1286509037017822
mean,2.78008953978618
mean,3.192523045973344
mean,2.5678614079952236
mean,2.6250751733779905
mean,3.351825714111328
mean,3.686470985412597
mean,1.7710620945449482
mean,2.5952939680394005
mean,3.8958725929260254
mean,3.467528978983561
mean,2.899417996406555
mean,3.449701502919197
mean,3.541280746459961
mean,2.8246781826019283
mean,2.2654776573181152
mean,3.2569638093312583
mean,2.082159526646137
mean,3.849855661392212
mean,3.5739810466766357
mean,2.9386791464957325
mean,2.6690271937328833
mean,2.865651607513427
mean,2.2098633137842016
mean,3.206674893697103
mean,2.80993914604187
mean,3.4616050720214844
mean,3.656269669532776
mean,2.2627425131698446
mean,3.5985835790634155
mean,3.3800913095474243
mean,1.9785331084447744
mean,3.063251193364461
mean,3.868748426437378
mean,3.478361129760742
mean,3.9277284145355225
mean,2.5183389286200204
mean,3.3236513278063606
mean,3.0769790675905018
mean,2.8053425073623655
mean,2.2238148780396347
mean,3.9876112937927246
mean,3.62579642023359
mean,3.3035852313041683
mean,3.5088047981262207
mean,1.976078391075134
mean,3.0172943047114775
mean,2.752577074112431
mean,2.1215114064719893
mean,4.235925197601318
mean,1.5083694981118705
mean,3.4558049043019614
mean,0.291186481714248
mean,3.619557539621989
mean,1.6870168937059735
mean,2.947842280069987
mean,2.3539046384394164
mean,2.8943259716033936
mean,2.0059004859490823
mean,3.0589004516601563
mean,2.15734058192798
mean,2.2010703012347217
mean,3.377906163533529
mean,3.6206612586975098
mean,3.8737692832946777
mean,2.4232135862112045
mean,3.44016440709432
mean,3.958218455314636
mean,1.354190994731404
mean,1.619987416190616
mean,3.8120217323303223
mean,1.5179874134751463
mean,3.16971492767334
mean,2.1986525972132327
mean,2.3676377534866333
mean,2.089557396417314
mean,3.12115683725902
mean,2.1474596709012985
mean,3.2112051248550415
mean,2.793548107147217
mean,3.3927534421284995
mean,3.8703944683074942
mean,3.1264455263813336
mean,1.97126663748234
mean,3.0513612202235625
mean,3.923396348953247
mean,2.40261803141662
mean,3.7685821056365967
mean,3.451007684071859
mean,3.9860638380050655
mean,3.62932026386261
mean,3.356915533542633
mean,2.8554772668414645
mean,3.232711708545685
mean,2.932449340820312
mean,2.589579275120859
mean,3.3732376098632812
mean,3.726238250732422
mean,3.6430678367614746
mean,3.068470163004739
mean,3.8941301107406616
mean,3.035501718521118
mean,3.057589054107666
mean,2.2040485924702473
mean,1.452460245669794
mean,4.77310848236084
mean,3.772323369979858
mean,1.5289370697068014
mean,2.6114851058675694
mean,3.757534344991048
mean,3.4988109270731607
mean,2.1518923797105485
mean,1.757229089736938
mean,3.32112193107605
mean,3.6054270267486577
mean,2.8635944979886214
mean,1.6525079160928724
mean,2.50897750664841
mean,2.996636812503521
mean,3.108641624450683
mean,3.636310338973999
mean,3.5238703886667886
mean,3.663728237152099
mean,3.6787172014063056
mean,4.147669315338135
mean,1.7291084593605424
mean,3.750929355621338
mean,2.1584881411067074
mean,3.548396348953246
mean,3.3663672606150308
mean,3.6269529660542807
mean,3.3788872957229614
mean,3.646084189414978
mean,2.8290382862091064
mean,3.2691684961318965
mean,3.789229393005371
mean,2.7061006277799606
mean,2.769271850585937
mean,3.5695157051086426
mean,2.1559612775842347
mean,4.79553747177124
mean,1.850234270095825
mean,3.1520847082138057
mean,3.069382647105625
mean,2.479682488366961
mean,2.5514329563487657
mean,3.762059450149536
mean,3.1787312662601463
mean,3.1767789324124656
mean,1.8681435485680893
mean,2.143972333786743
mean,3.3471545775731406
mean,2.2209665102618077
mean,2.936104158560435
mean,1.2352619530125095
mean,2.3466832468907035
mean,3.749828338623047
mean,1.994443260381619
mean,3.7890288829803462
mean,3.752089142799377
mean,3.138400316238403
mean,2.8660093678368463
mean,3.395082950592041
mean,3.958656787872314
mean,2.242197231010154
mean,2.9853096082806583
mean,2.222924040549475
mean,2.475495606660843
mean,2.3308987443645797
mean,3.167354861895243
mean,2.082791805267334
mean,3.0842498540878296
mean,3.523653030395508
median,2.636968612670898
median,3.340635776519775
median,3.166192293167114
median,1.8698490858078
median,3.1567492485046382
median,3.638325929641723
median,2.262624025344848
median,3.64136803150177
median,3.888101100921631
median,3.616334915161133
median,3.5846506357192993
median,2.985323667526245
median,0.604042708873748
median,3.160907745361328
median,3.632723331451416
median,2.795875787734985
median,2.947428584098816
median,3.301764249801635
median,2.9584611654281616
median,1.180171728134155
median,3.6636147499084473
median,3.9907466173172
median,2.773806095123291
median,3.4272899627685542
median,0.9120300710201256
median,2.5750101804733276
median,2.272233963012695
median,2.662116050720215
median,2.231696367263794
median,2.832564115524292
median,2.764878034591675
median,2.60121750831604
median,2.943936586380005
median,3.4272899627685542
median,3.1106481552124023
median,2.857502460479736
median,3.459916591644287
median,3.8438018560409546
median,3.781187891960144
median,3.1840016841888428
median,3.803091049194336
median,3.071713924407959
median,0.679234325885772
median,1.7209312915802
median,3.281688690185547
median,3.4768670797348022
median,3.4272899627685542
median,0.975812256336212
median,2.733437538146972
median,3.607897520065307
median,4.084590435028076
median,2.7254092693328857
median,3.038193702697754
median,3.4272899627685542
median,3.5837154388427734
median,3.834529995918274
median,3.106112480163574
median,3.065545082092285
median,3.8518784046173096
median,3.221384286880493
median,2.096789360046386
median,2.527635097503662
median,3.3099402189254756
median,2.547524452209472
median,3.409374356269836
median,2.0544975996017456
median,3.057097434997558
median,1.5725671648979187
median,3.475167989730835
median,1.5439449548721311
median,3.749624013900757
median,1.737776637077331
median,1.767519950866699
median,3.627379894256592
median,2.6882643699645996
median,2.5911593437194824
median,3.828618764877319
median,3.157573699951172
median,2.819028854370117
median,3.297714471817016
median,0.5550901293754571
median,3.582977771759033
median,1.2500265836715694
median,3.275580525398254
median,3.4272899627685542
median,2.5335307121276847
median,0.7300750613212581
median,3.6292418241500854
median,3.617824673652649
median,0.258414298295974
median,1.858157396316528
median,1.7398202419281
median,3.315005302429199
median,3.028195858001709
median,3.095184087753296
median,2.478446722030639
median,3.040287971496582
median,3.0280146598815914
median,3.4946919679641724
median,3.047717928886413
median,0.75586649775505
median,3.543686866760254
median,2.150790452957153
median,3.271746635437011
median,2.6651265621185303
median,2.473719596862793
median,3.936909914016723
median,3.2355554103851314
median,3.7892994880676265
median,1.503246665000915
median,2.966272354125976
median,4.492652416229248
median,3.483233690261841
median,3.6233720779418945
median,3.1612148284912105
median,3.07484221458435
median,3.115689754486084
median,3.072197437286377
median,1.944331407546997
median,3.084455966949463
median,2.960183024406433
median,3.2174023389816284
median,3.724774837493897
median,3.6848583221435542
median,3.6399353742599487
median,4.011457443237305
median,2.948366641998291
median,3.361681699752807
median,3.578360438346863
median,3.74532949924469
median,3.44955825805664
median,3.2362020015716553
median,3.969346046447754
median,3.6574172973632817
median,3.16624641418457
median,1.064975261688232
median,3.224927425384521
median,3.324877262115478
median,2.821708679199218
median,0.549811720848083
median,3.282976627349853
median,2.0617341995239253
median,3.804698944091797
median,1.7544682025909422
median,3.400595664978027
median,3.166082262992859
median,2.792095184326172
median,2.7994494438171382
median,3.098248958587646
median,2.636932373046875
median,2.145864963531494
median,3.4272899627685542
median,0.467420727014541
median,0.386525720357894
median,3.011981010437011
median,3.799753189086914
median,3.5082616806030273
median,2.840558528900146
median,3.0004945993423453
median,3.0805094242095947
median,2.836132526397705
median,1.281224489212036
median,1.881805658340454
median,3.4272899627685542
median,3.914228916168213
median,2.243492290377617
median,2.841577172279358
median,4.062575578689575
median,3.455910086631775
median,3.854993820190429
median,3.359643459320068
median,3.496385097503662
median,0.255183964967727
median,3.119367599487304
median,2.422733068466186
median,3.322714924812317
median,2.7933979034423833
median,0.205492854118347
median,3.159833431243896
median,3.195421934127807
median,2.498437404632568
median,3.62265682220459
median,2.967215061187744
median,0.654912054538726
median,3.393301486968994
median,3.6355350017547607
median,2.846193790435791
median,3.6636147499084473
median,3.4028186798095703
median,0.5887051820755
median,3.211673736572265
median,2.454774379730224
median,2.571853637695312
median,3.748288631439209
median,2.406291007995605
median,3.4929683208465576
median,3.4272899627685542
median,4.028658390045166
median,3.762824177742004
median,4.233203887939453
median,3.581496477127075
median,2.9755761623382573
median,1.0180772840976715
median,2.6667140722274776
median,3.6375911235809326
median,3.633986234664917
median,3.57409143447876
median,1.448164105415344
median,2.7910960912704468
median,1.588458061218261
median,3.084583759307861
median,0.589978635311126
median,3.4272899627685542
median,1.4090648889541626
median,3.047306776046753
median,3.599297285079956
median,3.0262866020202637
median,3.699972629547119
median,3.076221227645874
median,3.9993056058883663
median,2.6261178255081177
median,2.7830048799514766
median,3.038572788238525
median,2.951014995574951
median,3.073351621627807
median,3.5690377950668335
median,4.113067865371704
median,1.7125154733657837
median,4.084590435028076
median,1.5835316777229305
median,0.3282076120376584
median,2.899444341659546
median,2.326424121856689
median,3.033481359481811
median,2.1160687506198883
median,3.1161191463470455
median,0.7328988611698146
median,1.6207548975944517
median,2.648977756500244
median,4.510695457458496
median,2.960454225540161
median,3.751655817031861
median,3.4272899627685542
median,3.274405837059021
median,3.730082392692566
median,3.499151110649109
median,2.6114968061447144
median,3.4272899627685542
median,3.1572376489639273
median,3.4272899627685542
median,3.355369567871093
median,3.8923321962356567
median,2.63689261674881
median,3.555015087127685
median,3.778054475784301
median,3.819877624511718
median,3.547832489013672
median,3.3734246492385864
median,0.276498734951019
median,4.082499027252197
median,1.2030310928821562
median,3.4272899627685542
median,3.827409863471985
median,0.6870652437210081
median,3.8190947771072383
median,2.825501441955566
median,2.7137800455093384
median,2.5502965450286865
median,2.9795327186584473
median,3.001097202301025
median,3.297952175140381
median,2.533711433410644
median,3.370650291442871
median,3.9198489189147945
median,3.5021884441375732
median,3.7000927925109863
median,3.824221611022949
median,3.803091049194336
median,3.480858325958252
median,2.299935817718506
median,3.265387058258056
median,4.109209179878235
median,1.20567786693573
median,1.87067437171936
median,3.679139614105224
median,3.2650196552276607
median,3.529901504516601
median,2.956472992897033
median,3.777683854103088
median,3.043530464172363
median,2.239443778991699
median,2.3517758846282955
median,2.9409832954406743
median,3.1017732620239262
median,3.186547517776489
median,3.4941965341567993
median,1.7075502574443815
median,3.416559696197509
median,2.5804872512817383
median,3.4820220470428467
median,1.1480718851089475
median,3.6067874431610103
median,4.051283001899719
median,3.374803304672241
median,3.224918842315674
median,1.5867097973823538
median,3.197248697280884
median,2.52409267425537
median,3.101127862930298
median,4.084590435028076
median,3.320186614990234
median,2.965865135192871
median,3.14197301864624
median,3.4272899627685542
median,2.392868041992187
median,4.1075119972229
median,3.679139614105224
median,4.14000940322876
median,3.981463670730591
median,2.3935989141464233
median,2.580438137054443
median,3.095527768135071
median,3.135492205619811
median,2.899900197982788
median,3.2803955078125
median,3.311217546463012
median,3.5756781101226807
median,2.392960548400879
median,3.490616798400879
median,3.6369975805282593
median,3.717536687850952
median,3.665074586868286
median,3.748311638832092
median,3.552776336669922
median,1.242292046546936
median,2.8711469173431396
median,2.0056623220443717
median,2.313221454620361
median,4.480865716934204
median,3.099661827087402
median,2.971278667449951
median,2.070305585861206
median,3.238088369369507
median,3.1428836584091187
median,0.1441189050674435
median,2.209545850753784
median,2.9599938392639156
median,2.867561817169189
median,3.1765705347061157
median,2.8645458221435542
median,2.307850837707519
median,3.157368779182433
median,3.825426816940307
median,3.1813427209854126
median,3.018895626068115
median,3.743348836898804
median,3.130253791809082
median,3.575167298316955
median,2.79761004447937
median,2.257712960243225
median,3.304266452789306
median,3.592376232147217
median,3.4272899627685542
median,3.799057722091675
median,2.806600093841552
median,3.831729173660278
median,2.3061484098434444
median,3.4616506099700928
median,3.337148666381836
median,3.679139614105224
median,3.051414370536804
median,4.084590435028076
median,3.1208702325820923
median,3.49951171875
median,3.1452330350875854
median,0.8697019815444942
median,3.765149593353271
median,2.626514434814453
median,2.502636551856994
median,0.303641229867935
median,0.871040701866149
median,2.381238460540771
median,3.382171630859375
median,2.9859719276428223
median,2.127387762069702
median,2.4319510459899902
median,2.0217853784561157
median,0.6113117337226861
median,1.524314641952514
median,3.10485029220581
median,2.827420473098755
median,3.683629989624023
median,2.0035713016986847
median,3.017512321472168
median,3.090494871139526
median,3.201972961425781
median,3.025284767150879
median,3.264649868011474
median,1.192346453666687
median,2.469038605690002
median,3.023521184921264
median,3.679139614105224
median,3.892910480499267
median,2.810549020767212
median,3.320719242095947
median,3.63169527053833
median,3.819547653198242
median,3.119565486907959
median,2.3124260902404785
median,2.8592664003372184
median,3.8621983528137207
median,2.4521787166595455
median,3.4272899627685542
median,2.9526203870773315
median,2.511102676391601
median,3.701230525970459
median,3.9917454719543457
median,3.3084336519241333
median,3.450649738311767
median,4.087155103683472
median,3.5847480297088623
median,3.643579244613647
median,2.790567994117737
median,2.926657199859619
median,2.8314290046691895
median,3.7162270545959473
median,2.322845220565796
median,3.2717519998550415
median,3.366159915924072
median,3.4272899627685542
median,3.012378215789795
median,3.557453632354736
median,3.4542896747589107
median,3.5337014198303223
median,3.074343681335449
median,3.321213245391845
median,3.1032328605651855
median,2.890678644180298
median,3.472338914871216
median,3.094054222106933
median,3.05049204826355
median,3.8324873447418217
median,2.905839443206787
median,2.8839514255523673
median,3.819330215454101
median,2.653001308441162
median,2.58664870262146
median,2.7871929407119747
median,3.050888538360595
median,3.698057532310486
median,3.271783351898193
median,3.401257038116455
median,2.658532857894897
median,1.929877281188964
median,2.6554629802703857
median,3.145961284637451
median,0.448017209768295
median,4.024543523788452
median,4.095789432525635
median,2.474065780639648
median,2.991313934326172
median,2.9154233932495113
median,2.474867343902588
median,3.949400186538696
median,2.751235485076904
